epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.487351,0.487351,1.000000,0.670947,0.670947,0.000000,0.000000,1.001545,0.659257
1,0.467661,0.467661,1.000000,0.658064,0.658064,0.000000,0.000000,0.985230,0.650446
2,0.461709,0.461709,1.000000,0.655902,0.655902,0.000000,0.000000,0.983316,0.649321
3,0.458289,0.458289,1.000000,0.658593,0.658593,0.000000,0.000000,0.988198,0.651431
4,0.455839,0.455839,1.000000,0.656186,0.656186,0.000000,0.000000,0.978570,0.648907
5,0.454156,0.454156,1.000000,0.652367,0.652367,0.000000,0.000000,0.968210,0.645698
6,0.452487,0.452487,1.000000,0.651137,0.651137,0.000000,0.000000,0.968707,0.644375
7,0.451380,0.451380,1.000000,0.650644,0.650644,0.000000,0.000000,0.966941,0.643427
8,0.450349,0.450349,1.000000,0.652738,0.652738,0.000000,0.000000,0.969816,0.645767
9,0.449689,0.449689,1.000000,0.654325,0.654325,0.000000,0.000000,0.966771,0.646872
10,0.448911,0.448911,1.000000,0.654205,0.654205,0.000000,0.000000,0.969669,0.646899
11,0.444785,0.444785,1.000000,0.650770,0.650770,0.000000,0.000000,0.963490,0.643599
12,0.444066,0.444066,1.000000,0.650387,0.650387,0.000000,0.000000,0.963092,0.642926
13,0.443852,0.443852,1.000000,0.649540,0.649540,0.000000,0.000000,0.961157,0.641989
14,0.443528,0.443528,1.000000,0.650277,0.650277,0.000000,0.000000,0.961589,0.642729
15,0.443376,0.443376,1.000000,0.650309,0.650309,0.000000,0.000000,0.962880,0.642698
16,0.443134,0.443134,1.000000,0.650018,0.650018,0.000000,0.000000,0.961229,0.642174
