epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.480127,0.480127,1.000000,0.662019,0.662019,0.000000,0.000000,0.998894,0.654833
1,0.464432,0.464432,1.000000,0.657498,0.657498,0.000000,0.000000,0.986941,0.650071
2,0.460120,0.460120,1.000000,0.659393,0.659393,0.000000,0.000000,0.985644,0.652408
3,0.457858,0.457858,1.000000,0.654691,0.654691,0.000000,0.000000,0.976605,0.647996
4,0.456135,0.456135,1.000000,0.656174,0.656174,0.000000,0.000000,0.975341,0.648879
5,0.454813,0.454813,1.000000,0.656526,0.656526,0.000000,0.000000,0.975017,0.648915
6,0.453862,0.453862,1.000000,0.651412,0.651412,0.000000,0.000000,0.969170,0.644259
7,0.452960,0.452960,1.000000,0.651528,0.651528,0.000000,0.000000,0.968880,0.644333
8,0.452343,0.452343,1.000000,0.651557,0.651557,0.000000,0.000000,0.966054,0.643561
9,0.451647,0.451647,1.000000,0.651900,0.651900,0.000000,0.000000,0.969991,0.644491
10,0.448227,0.448227,1.000000,0.650373,0.650373,0.000000,0.000000,0.964163,0.642839
11,0.447726,0.447726,1.000000,0.650455,0.650455,0.000000,0.000000,0.963481,0.642760
12,0.447510,0.447510,1.000000,0.650905,0.650905,0.000000,0.000000,0.964137,0.643386
13,0.447250,0.447250,1.000000,0.652437,0.652437,0.000000,0.000000,0.967101,0.644542
14,0.446756,0.446756,1.000000,0.650386,0.650386,0.000000,0.000000,0.963542,0.642674
