epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.698437,0.480191,0.916682,0.037861,0.724539,0.660269,0.788810,0.062962,0.997399,0.652138
1,0.541836,0.465407,0.618265,0.085528,0.567827,0.663509,0.472145,0.100306,0.994362,0.655713
2,0.449808,0.460617,0.438999,0.110004,0.522958,0.654650,0.391266,0.116163,0.980946,0.647810
3,0.416591,0.457890,0.375292,0.123604,0.499552,0.653534,0.345570,0.125057,0.977727,0.646663
4,0.398847,0.456169,0.341526,0.130137,0.489114,0.654951,0.323278,0.126773,0.977317,0.648419
5,0.385248,0.454791,0.315704,0.137515,0.478666,0.656165,0.301167,0.139550,0.977096,0.649292
6,0.374039,0.453851,0.294226,0.144143,0.468958,0.655724,0.282191,0.137538,0.973488,0.648376
7,0.365803,0.452784,0.278823,0.141916,0.459243,0.652933,0.265553,0.141357,0.969803,0.645868
8,0.357068,0.451599,0.262537,0.151948,0.449133,0.653374,0.244892,0.151340,0.970336,0.646544
9,0.349492,0.450732,0.248252,0.151745,0.445852,0.653871,0.237833,0.147864,0.968379,0.646556
10,0.344532,0.450079,0.238984,0.152748,0.437645,0.651323,0.223967,0.153715,0.966356,0.643893
11,0.337341,0.449217,0.225465,0.155705,0.430178,0.652174,0.208183,0.155634,0.965584,0.643924
12,0.331406,0.448523,0.214289,0.153515,0.427652,0.652006,0.203298,0.149818,0.966331,0.643396
13,0.328501,0.447879,0.209123,0.153200,0.426672,0.656376,0.196968,0.147725,0.970552,0.647799
14,0.324402,0.447729,0.201075,0.151841,0.421581,0.654855,0.188308,0.151237,0.968608,0.646549
