step,mae,mse
0,0.160547,0.061911
1,0.187726,0.084181
2,0.207576,0.104217
3,0.223884,0.120646
4,0.240326,0.138814
5,0.251870,0.152178
6,0.263921,0.167560
7,0.275682,0.184199
8,0.281758,0.193568
9,0.293389,0.208278
10,0.300588,0.217978
11,0.306839,0.228941
12,0.319318,0.245725
13,0.321307,0.251252
14,0.328379,0.262744
15,0.331499,0.270834
16,0.335479,0.278555
17,0.336434,0.282238
18,0.341422,0.291130
19,0.344561,0.297457
20,0.345888,0.301234
21,0.349530,0.306267
22,0.351084,0.310379
23,0.355326,0.315886
24,0.353228,0.315243
25,0.360676,0.324042
26,0.358602,0.323168
27,0.360262,0.325612
28,0.361522,0.328087
29,0.361665,0.330472
30,0.361695,0.330789
31,0.362182,0.332390
32,0.363395,0.334198
33,0.363123,0.335229
34,0.361711,0.334688
35,0.362354,0.335451
36,0.362185,0.335994
37,0.361777,0.336750
38,0.362798,0.336341
39,0.362409,0.335444
40,0.363392,0.338374
41,0.363215,0.336397
42,0.361836,0.334365
43,0.362771,0.334572
44,0.363082,0.335817
45,0.363132,0.338725
46,0.362841,0.337291
47,0.362711,0.336678
48,0.360671,0.334865
49,0.361108,0.338878
50,0.363573,0.340783
51,0.363681,0.339392
52,0.362382,0.339825
53,0.363581,0.339828
54,0.362220,0.339981
55,0.362869,0.341669
56,0.362909,0.341161
57,0.362445,0.339317
58,0.363237,0.340874
59,0.363379,0.341746
60,0.364923,0.344121
61,0.364280,0.340739
62,0.364678,0.338920
63,0.367332,0.342653
64,0.366836,0.341737
65,0.365289,0.340100
66,0.368221,0.340267
67,0.368310,0.340363
68,0.369884,0.341273
69,0.366081,0.337923
70,0.365389,0.337252
71,0.364493,0.337016
72,0.365131,0.336551
73,0.362465,0.334467
74,0.361577,0.333947
75,0.362072,0.334171
76,0.361473,0.333222
77,0.361252,0.332639
78,0.362631,0.334223
79,0.362354,0.332091
80,0.360355,0.330810
81,0.359658,0.328621
82,0.361878,0.329382
83,0.359446,0.328118
84,0.359161,0.325639
85,0.358241,0.323120
86,0.359661,0.323251
87,0.357852,0.321372
88,0.356775,0.320880
89,0.358200,0.318598
90,0.357248,0.316488
