epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.577962,0.481175,0.674749,0.048024,0.546304,0.664538,0.428071,0.060496,0.996687,0.654630
1,0.425625,0.466443,0.384807,0.073701,0.494852,0.656076,0.333627,0.080757,0.983657,0.648354
2,0.395187,0.461273,0.329102,0.086812,0.476747,0.656821,0.296674,0.093129,0.981855,0.648885
3,0.378892,0.458208,0.299576,0.093325,0.466859,0.657673,0.276046,0.091323,0.980322,0.650996
4,0.368084,0.455977,0.280191,0.096558,0.457139,0.653381,0.260897,0.095650,0.974298,0.646722
5,0.360001,0.454432,0.265571,0.099079,0.451441,0.653314,0.249568,0.097244,0.971577,0.646695
6,0.354856,0.453002,0.256710,0.101857,0.447938,0.651348,0.244528,0.100706,0.969339,0.644375
7,0.351163,0.451948,0.250377,0.105583,0.445694,0.652285,0.239104,0.106237,0.966773,0.645500
8,0.347310,0.450780,0.243841,0.110317,0.441102,0.653138,0.229067,0.113383,0.967786,0.645988
9,0.343756,0.450147,0.237366,0.116394,0.441580,0.654329,0.228831,0.113116,0.969984,0.647372
10,0.340279,0.449538,0.231020,0.123676,0.435428,0.652969,0.217887,0.122571,0.968274,0.645993
