step,mae,mse
0,0.156580,0.060215
1,0.184447,0.083213
2,0.205205,0.103720
3,0.227244,0.124996
4,0.240068,0.140676
5,0.254496,0.158214
6,0.265909,0.171873
7,0.276658,0.187271
8,0.286194,0.200628
9,0.296161,0.214607
10,0.303899,0.224821
11,0.309901,0.236523
12,0.318430,0.248274
13,0.325770,0.259599
14,0.331077,0.269038
15,0.336423,0.278496
16,0.341033,0.286582
17,0.345754,0.294759
18,0.352933,0.305828
19,0.352657,0.307853
20,0.355160,0.311939
21,0.358005,0.317251
22,0.358985,0.320023
23,0.359431,0.320770
24,0.357819,0.320435
25,0.360686,0.324578
26,0.364022,0.329225
27,0.362836,0.328662
28,0.364161,0.330464
29,0.363583,0.332079
30,0.366745,0.334129
31,0.368187,0.336298
32,0.371016,0.339383
33,0.366627,0.336929
34,0.365889,0.336307
35,0.366771,0.337267
36,0.365970,0.336122
37,0.365994,0.337439
38,0.365443,0.336030
39,0.364433,0.335163
40,0.364564,0.335685
41,0.364554,0.335840
42,0.365384,0.335461
43,0.365845,0.336138
44,0.363405,0.335821
45,0.364144,0.335684
46,0.364153,0.335610
47,0.363258,0.335670
48,0.364940,0.336370
49,0.364518,0.334183
50,0.363974,0.336189
51,0.364129,0.335388
52,0.365680,0.335777
53,0.366274,0.336732
54,0.367852,0.337626
55,0.366054,0.336034
56,0.365862,0.335932
57,0.367030,0.336802
58,0.367396,0.337557
59,0.366641,0.336378
60,0.367767,0.339022
61,0.367949,0.339089
62,0.368552,0.338393
63,0.369227,0.339029
64,0.369198,0.339917
65,0.369921,0.340912
66,0.368439,0.339481
67,0.367730,0.338420
68,0.366894,0.339363
69,0.367257,0.339945
70,0.368058,0.339465
71,0.367869,0.340159
72,0.368061,0.342978
73,0.368421,0.342626
74,0.367368,0.340697
75,0.367722,0.342515
76,0.364313,0.338566
77,0.365332,0.340973
78,0.365539,0.339960
79,0.363604,0.339063
80,0.364472,0.336719
81,0.363638,0.336843
82,0.364408,0.341011
83,0.365373,0.339624
84,0.364053,0.336401
85,0.363474,0.337052
86,0.362359,0.333942
87,0.361449,0.333952
88,0.362351,0.334180
89,0.362712,0.335004
90,0.360357,0.330811
91,0.360852,0.332719
92,0.358992,0.329182
93,0.358569,0.329584
94,0.358322,0.328239
95,0.357398,0.326903
96,0.359802,0.328009
97,0.364063,0.332616
98,0.370277,0.340781
