epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.384573,0.384573,0.996878,0.034649,0.434487,0.434487,0.988828,0.040767,0.415271,0.420713
1,0.360290,0.360290,0.996859,0.044001,0.428612,0.428612,0.988793,0.044285,0.406069,0.417325
2,0.352951,0.352951,0.996994,0.048229,0.417120,0.417120,0.989123,0.046050,0.392268,0.406355
3,0.348722,0.348722,0.997016,0.050194,0.411379,0.411379,0.988902,0.048633,0.385055,0.400444
4,0.346164,0.346164,0.997061,0.051556,0.414445,0.414445,0.989078,0.049871,0.389209,0.403800
5,0.345262,0.345262,0.997133,0.051665,0.413140,0.413140,0.989103,0.049440,0.384499,0.402324
6,0.343487,0.343487,0.997067,0.052278,0.416518,0.416518,0.989091,0.051363,0.390712,0.406942
7,0.339030,0.339030,0.997081,0.053809,0.405715,0.405715,0.989075,0.053306,0.377736,0.395290
8,0.338065,0.338065,0.997176,0.055557,0.405537,0.405537,0.989105,0.053642,0.377204,0.395410
9,0.339118,0.339118,0.996601,0.056643,0.406504,0.406504,0.989007,0.055684,0.378337,0.396495
10,0.337626,0.337626,0.997140,0.057747,0.405889,0.405889,0.989115,0.055256,0.377459,0.395593
11,0.337494,0.337494,0.997226,0.058589,0.406956,0.406956,0.989100,0.055489,0.378129,0.396881
