step,mae,mse
0,0.145426,0.051242
1,0.173822,0.072535
2,0.192374,0.090609
3,0.210909,0.109307
4,0.224817,0.124381
5,0.239436,0.139740
6,0.249277,0.154390
7,0.260727,0.169838
8,0.269925,0.183491
9,0.277789,0.195975
10,0.288047,0.210049
11,0.294356,0.221084
12,0.299855,0.231882
13,0.307918,0.244841
14,0.317412,0.258933
15,0.319459,0.267143
16,0.325230,0.277226
17,0.329488,0.286198
18,0.331789,0.294226
19,0.335262,0.299331
20,0.342403,0.309097
21,0.344790,0.315306
22,0.344737,0.317948
23,0.348283,0.323111
24,0.349469,0.327177
25,0.354222,0.334157
26,0.354955,0.334851
27,0.355400,0.337052
28,0.359215,0.340707
29,0.358677,0.342761
30,0.359447,0.344379
31,0.360191,0.347021
32,0.362304,0.349195
33,0.363508,0.349890
34,0.363103,0.349048
35,0.361647,0.346965
36,0.364013,0.351671
37,0.362682,0.349046
38,0.361383,0.347980
39,0.362312,0.349177
40,0.363788,0.349935
41,0.361703,0.348507
42,0.361051,0.348483
43,0.362558,0.349450
44,0.363048,0.348980
45,0.362350,0.349006
46,0.363778,0.349605
47,0.366719,0.352203
48,0.365425,0.351242
49,0.365122,0.350025
50,0.362964,0.347378
51,0.362981,0.346893
52,0.363865,0.348341
53,0.365699,0.350111
54,0.363199,0.347897
55,0.363046,0.347299
56,0.363967,0.347306
57,0.364144,0.347496
58,0.363113,0.347198
59,0.361566,0.346049
60,0.362285,0.346446
61,0.362271,0.346613
62,0.361130,0.345082
63,0.361852,0.345656
64,0.362392,0.345323
65,0.363465,0.346251
66,0.360900,0.345690
67,0.363258,0.346546
68,0.362996,0.346813
69,0.363513,0.347528
70,0.360848,0.346009
71,0.361481,0.345352
72,0.360002,0.346604
73,0.360981,0.346414
74,0.361097,0.346460
75,0.360773,0.345296
76,0.362339,0.345081
77,0.362142,0.345591
78,0.363904,0.345793
79,0.361510,0.343220
80,0.360814,0.340914
81,0.363862,0.342608
82,0.362951,0.341965
83,0.363287,0.341769
84,0.363532,0.340566
85,0.359328,0.338327
86,0.359294,0.337167
87,0.358940,0.335760
88,0.360346,0.335842
89,0.357849,0.333682
90,0.357484,0.332141
91,0.358301,0.332069
92,0.354842,0.328573
93,0.353193,0.326290
94,0.352685,0.324262
95,0.351069,0.324337
