epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.364638,0.364638,1.000000,0.427560,0.427560,0.000000,0.000000,0.427591,0.427587
1,0.344609,0.344609,1.000000,0.417114,0.417114,0.000000,0.000000,0.407752,0.417232
2,0.337720,0.337720,1.000000,0.405137,0.405137,0.000000,0.000000,0.393269,0.404994
3,0.333908,0.333908,1.000000,0.406314,0.406314,0.000000,0.000000,0.393144,0.406164
4,0.331050,0.331050,1.000000,0.405154,0.405154,0.000000,0.000000,0.391086,0.405265
5,0.330506,0.330506,1.000000,0.412496,0.412496,0.000000,0.000000,0.399482,0.412539
6,0.324711,0.324711,1.000000,0.405404,0.405404,0.000000,0.000000,0.391412,0.405496
7,0.323702,0.323702,1.000000,0.404449,0.404449,0.000000,0.000000,0.389490,0.404367
8,0.323056,0.323056,1.000000,0.403964,0.403964,0.000000,0.000000,0.389209,0.404020
9,0.324122,0.324122,1.000000,0.408739,0.408739,0.000000,0.000000,0.394244,0.408692
10,0.322530,0.322530,1.000000,0.405749,0.405749,0.000000,0.000000,0.390738,0.405633
11,0.322295,0.322295,1.000000,0.406131,0.406131,0.000000,0.000000,0.391367,0.406105
