epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.391145,0.314711,0.887965,0.039673,0.363023,0.282926,0.883652,0.051429,0.169710,0.279680
1,0.353962,0.305740,0.667405,0.074981,0.329604,0.280663,0.647722,0.090877,0.169110,0.277545
2,0.336807,0.302584,0.559254,0.096011,0.320251,0.279941,0.582267,0.110176,0.167192,0.276662
3,0.328631,0.300653,0.510493,0.108253,0.314964,0.279691,0.544239,0.114158,0.167991,0.276995
4,0.322204,0.299324,0.470925,0.114996,0.309421,0.279461,0.504159,0.122502,0.166754,0.275997
5,0.317406,0.298182,0.442359,0.118672,0.306661,0.280211,0.478586,0.124655,0.168223,0.277065
6,0.314104,0.297263,0.423576,0.121799,0.304117,0.280349,0.458607,0.127627,0.167294,0.276957
7,0.310524,0.296806,0.399695,0.122418,0.300523,0.279614,0.436429,0.127031,0.166689,0.275849
8,0.307692,0.295820,0.384859,0.121157,0.298675,0.279198,0.425272,0.124966,0.166190,0.275688
9,0.305760,0.295260,0.374009,0.119769,0.299570,0.282365,0.411399,0.123290,0.169133,0.278305
10,0.303544,0.294669,0.361234,0.116914,0.294849,0.278529,0.400926,0.119523,0.166392,0.275620
11,0.302127,0.294259,0.353269,0.114759,0.294514,0.278941,0.395737,0.119252,0.167699,0.276037
