step,mae,mse
0,0.101449,0.032553
1,0.126571,0.047295
2,0.140625,0.056848
3,0.151771,0.064549
4,0.159489,0.070498
5,0.167277,0.076799
6,0.173796,0.082081
7,0.179416,0.086504
8,0.185133,0.091086
9,0.190669,0.096294
10,0.195576,0.101021
11,0.199846,0.105244
12,0.203841,0.108999
13,0.207152,0.112228
14,0.210249,0.115095
15,0.213081,0.118152
16,0.216687,0.121261
17,0.220489,0.125057
18,0.222554,0.127643
19,0.225182,0.130609
20,0.228188,0.133828
21,0.230360,0.136487
22,0.233320,0.139513
23,0.235586,0.142193
24,0.237427,0.144420
25,0.239013,0.146298
26,0.241004,0.149051
27,0.242954,0.151268
28,0.245142,0.153773
29,0.246704,0.155867
30,0.248377,0.158117
31,0.250070,0.160694
32,0.252213,0.163629
33,0.252392,0.164358
34,0.253557,0.166179
35,0.253917,0.167648
36,0.255475,0.169882
37,0.256564,0.172020
38,0.257884,0.174336
39,0.258811,0.176200
40,0.259664,0.178326
41,0.260675,0.179825
42,0.261682,0.181058
43,0.262362,0.182016
44,0.263038,0.183249
45,0.264143,0.184323
46,0.264850,0.186011
47,0.265209,0.187250
48,0.266931,0.189267
49,0.267861,0.191769
50,0.269192,0.194206
51,0.270056,0.195741
52,0.271078,0.197958
53,0.271697,0.199136
54,0.272174,0.200280
55,0.272697,0.201233
56,0.273413,0.202899
57,0.273822,0.203644
58,0.274468,0.205168
59,0.274858,0.205296
60,0.275291,0.205934
61,0.275658,0.206831
62,0.276485,0.208237
63,0.276495,0.208632
64,0.277136,0.209421
65,0.277692,0.210643
66,0.278108,0.212077
67,0.278544,0.213048
68,0.279166,0.214249
69,0.279977,0.215484
70,0.280131,0.216089
71,0.280590,0.217182
72,0.281387,0.218682
73,0.281049,0.219365
74,0.281852,0.221072
75,0.281943,0.221295
76,0.281961,0.221391
77,0.282121,0.222085
78,0.283079,0.222880
79,0.282384,0.223518
80,0.282914,0.224132
81,0.283085,0.224756
82,0.283473,0.225388
83,0.283849,0.225791
84,0.283955,0.226573
85,0.284260,0.227257
86,0.284644,0.227766
87,0.284673,0.228210
88,0.285113,0.228481
89,0.285074,0.229441
90,0.285379,0.230006
91,0.287092,0.232462
92,0.286935,0.232258
93,0.287108,0.232345
94,0.287630,0.233030
95,0.288695,0.234562
96,0.291033,0.237389
97,0.293702,0.240293
98,0.296901,0.243824
99,0.299347,0.246270
100,0.301701,0.249162
101,0.303440,0.251049
102,0.305830,0.253858
103,0.308678,0.257121
104,0.309856,0.258694
105,0.312362,0.262375
106,0.315838,0.266415
107,0.315858,0.266668
108,0.317795,0.269557
109,0.319527,0.272454
110,0.320888,0.274446
111,0.321756,0.276038
112,0.323701,0.278602
113,0.324954,0.280552
114,0.325543,0.281651
115,0.326299,0.282045
116,0.327385,0.284218
117,0.328501,0.285731
118,0.329834,0.287555
119,0.332179,0.291063
120,0.332845,0.291622
121,0.333261,0.292259
122,0.333557,0.293259
123,0.334121,0.294127
124,0.335048,0.295572
125,0.335772,0.297079
126,0.336845,0.299165
127,0.337028,0.299747
128,0.337652,0.300883
129,0.337733,0.301702
130,0.338595,0.303053
131,0.338678,0.303630
132,0.339017,0.304765
133,0.339164,0.305292
134,0.339469,0.306138
135,0.340145,0.307143
136,0.340408,0.308002
137,0.341406,0.309414
138,0.341584,0.310373
139,0.341416,0.309865
140,0.342202,0.311311
141,0.343361,0.312932
142,0.344310,0.314444
143,0.343255,0.312914
144,0.343534,0.313546
145,0.343917,0.314005
146,0.343991,0.314022
147,0.344505,0.314845
148,0.345166,0.315694
149,0.345863,0.316921
150,0.346709,0.318193
151,0.346978,0.318877
152,0.347212,0.319442
153,0.347314,0.319811
154,0.347717,0.320500
155,0.347960,0.320905
156,0.348313,0.321630
157,0.349072,0.322659
158,0.349174,0.322582
159,0.350081,0.324091
160,0.349658,0.323595
161,0.349309,0.323178
162,0.349334,0.323086
163,0.349259,0.323351
164,0.349104,0.322822
165,0.350236,0.325503
166,0.349890,0.324895
167,0.349661,0.324607
168,0.349400,0.323941
169,0.349646,0.324291
170,0.350069,0.325490
171,0.350098,0.325474
172,0.350183,0.326079
173,0.349950,0.325765
174,0.349697,0.325813
175,0.349715,0.325728
176,0.349196,0.324860
177,0.349132,0.324932
178,0.349006,0.325295
179,0.349001,0.325370
180,0.348877,0.325178
181,0.348599,0.324755
182,0.348757,0.324876
183,0.349013,0.325538
184,0.349054,0.325936
185,0.348945,0.325459
186,0.349619,0.326607
187,0.349630,0.326182
188,0.349329,0.325970
189,0.349556,0.327139
190,0.350303,0.328444
191,0.350458,0.328200
