step,mae,mse
0,0.100497,0.032434
1,0.125666,0.047315
2,0.141511,0.057148
3,0.153214,0.065251
4,0.160497,0.071201
5,0.168098,0.077191
6,0.175539,0.083244
7,0.180490,0.087388
8,0.187689,0.093201
9,0.191729,0.097273
10,0.196121,0.101281
11,0.201101,0.106153
12,0.204190,0.108956
13,0.208877,0.112919
14,0.212118,0.116005
15,0.216105,0.119764
16,0.218170,0.121938
17,0.220983,0.124754
18,0.223605,0.127852
19,0.227129,0.131546
20,0.230561,0.135118
21,0.232714,0.137704
22,0.235748,0.140659
23,0.240687,0.145532
24,0.241330,0.146536
25,0.241782,0.147972
26,0.244195,0.151537
27,0.246362,0.154333
28,0.247528,0.155939
29,0.249199,0.158343
30,0.251313,0.161085
31,0.252221,0.162756
32,0.256085,0.166752
33,0.255526,0.167074
34,0.256536,0.169183
35,0.256325,0.169459
36,0.257334,0.171031
37,0.258653,0.173238
38,0.260265,0.175199
39,0.260658,0.176570
40,0.263478,0.179881
41,0.264147,0.181080
42,0.265733,0.182723
43,0.265219,0.183307
44,0.267604,0.185772
45,0.267746,0.186484
46,0.268441,0.187682
47,0.268335,0.188996
48,0.269938,0.191281
49,0.271158,0.192750
50,0.271349,0.194507
51,0.272323,0.196125
52,0.272988,0.197277
53,0.274054,0.198448
54,0.275510,0.200985
55,0.276013,0.201245
56,0.277194,0.203278
57,0.277428,0.203578
58,0.277368,0.204207
59,0.277627,0.204519
60,0.279021,0.206910
61,0.277715,0.206418
62,0.279517,0.209060
63,0.279148,0.209209
64,0.279173,0.210248
65,0.280387,0.212023
66,0.280307,0.212631
67,0.281209,0.214268
68,0.282551,0.215840
69,0.281836,0.215826
70,0.281881,0.216160
71,0.284536,0.219704
72,0.283215,0.218810
73,0.282137,0.217920
74,0.283231,0.218982
75,0.284565,0.221647
76,0.283992,0.222110
77,0.282358,0.220540
78,0.282318,0.220925
79,0.282554,0.222031
80,0.283637,0.222857
81,0.283273,0.222398
82,0.283259,0.223387
83,0.283886,0.223917
84,0.284598,0.224873
85,0.284175,0.224979
86,0.284358,0.225630
87,0.284759,0.226270
88,0.285253,0.227802
89,0.285419,0.228324
90,0.285823,0.228510
91,0.286059,0.229021
92,0.286249,0.229433
93,0.286676,0.229822
94,0.287460,0.230821
95,0.288612,0.232530
96,0.290854,0.235476
97,0.293511,0.238536
98,0.296378,0.241954
99,0.299419,0.244756
100,0.301958,0.248014
101,0.304030,0.250467
102,0.305883,0.252471
103,0.308313,0.255303
104,0.309645,0.256982
105,0.311898,0.259883
106,0.313681,0.262227
107,0.315848,0.265871
108,0.317620,0.267722
109,0.319414,0.270221
110,0.319705,0.270879
111,0.321027,0.272981
112,0.322563,0.275360
113,0.323560,0.276794
114,0.325151,0.278999
115,0.326262,0.280348
116,0.327367,0.282502
117,0.328918,0.285194
118,0.331348,0.288251
119,0.331249,0.288414
120,0.331603,0.289240
121,0.332722,0.290898
122,0.333697,0.292192
123,0.333995,0.293039
124,0.334930,0.294786
125,0.334955,0.295128
126,0.335932,0.296676
127,0.337162,0.298136
128,0.337330,0.299021
129,0.337503,0.300085
130,0.338447,0.301291
131,0.338793,0.301930
132,0.339663,0.303176
133,0.341252,0.305506
134,0.340676,0.305209
135,0.340448,0.305530
136,0.341254,0.307167
137,0.342283,0.308150
138,0.342645,0.308737
139,0.342385,0.308574
140,0.344069,0.311151
141,0.343715,0.310957
142,0.344378,0.311907
143,0.343725,0.311354
144,0.343567,0.311223
145,0.345554,0.313944
146,0.345954,0.314092
147,0.346400,0.315463
148,0.347006,0.316246
149,0.347574,0.316833
150,0.349126,0.318780
151,0.348850,0.318654
152,0.349629,0.319549
153,0.350015,0.320335
154,0.349771,0.320127
155,0.349961,0.320529
156,0.351823,0.322728
157,0.349273,0.319668
158,0.349505,0.320289
159,0.350085,0.321404
160,0.350170,0.321755
161,0.348928,0.320425
162,0.349291,0.320953
163,0.349420,0.321014
164,0.349838,0.322160
165,0.350060,0.322026
166,0.349610,0.321345
167,0.349728,0.321597
168,0.350290,0.322573
169,0.350612,0.323242
170,0.350393,0.323366
171,0.350347,0.323338
172,0.349705,0.322731
173,0.349029,0.322107
174,0.348270,0.320960
175,0.348225,0.320773
176,0.348395,0.320594
177,0.348167,0.321189
178,0.349133,0.323126
179,0.348681,0.322480
180,0.349053,0.323041
181,0.349030,0.322226
182,0.348608,0.322439
183,0.348225,0.322091
184,0.348531,0.322793
185,0.349691,0.325192
186,0.349600,0.325334
187,0.349674,0.325485
188,0.349599,0.325586
189,0.349816,0.326111
190,0.349595,0.325270
191,0.349194,0.324933
