step,mae,mse
0,0.106486,0.034350
1,0.132066,0.049663
2,0.145502,0.059276
3,0.156869,0.067079
4,0.164838,0.073618
5,0.172438,0.079649
6,0.178956,0.085275
7,0.184592,0.090663
8,0.190609,0.095357
9,0.195330,0.100046
10,0.200165,0.104598
11,0.204535,0.108923
12,0.208519,0.112641
13,0.212264,0.116471
14,0.215625,0.119586
15,0.219239,0.123116
16,0.221855,0.125714
17,0.225498,0.129486
18,0.228210,0.132630
19,0.231167,0.135725
20,0.233984,0.138647
21,0.236927,0.142052
22,0.238433,0.144175
23,0.241198,0.146844
24,0.242854,0.149043
25,0.244014,0.150771
26,0.245579,0.153394
27,0.247369,0.155699
28,0.248758,0.157735
29,0.250476,0.160060
30,0.253112,0.162652
31,0.254366,0.164642
32,0.256346,0.166881
33,0.256574,0.167940
34,0.256839,0.169060
35,0.257899,0.170233
36,0.259132,0.172052
37,0.260677,0.174216
38,0.261626,0.175881
39,0.262632,0.177371
40,0.263321,0.178814
41,0.264557,0.181046
42,0.264643,0.182328
43,0.265682,0.183143
44,0.267099,0.184725
45,0.267553,0.186271
46,0.268119,0.187378
47,0.269267,0.189237
48,0.269967,0.190771
49,0.270758,0.192166
50,0.271337,0.193958
51,0.272688,0.196468
52,0.273030,0.197253
53,0.273960,0.199484
54,0.274172,0.199926
55,0.274972,0.200897
56,0.276551,0.203092
57,0.276738,0.203469
58,0.277620,0.205081
59,0.277254,0.204813
60,0.278955,0.207341
61,0.279600,0.208209
62,0.279097,0.208309
63,0.280206,0.210103
64,0.280816,0.211546
65,0.280582,0.211849
66,0.281252,0.212869
67,0.283445,0.215423
68,0.283085,0.215161
69,0.283270,0.216326
70,0.283972,0.217763
71,0.282983,0.216799
72,0.282765,0.217505
73,0.283734,0.218836
74,0.284547,0.219907
75,0.284735,0.220374
76,0.284436,0.221141
77,0.284754,0.222088
78,0.283635,0.221378
79,0.284031,0.221928
80,0.284536,0.222917
81,0.286163,0.225359
82,0.285702,0.225335
83,0.286903,0.227202
84,0.286406,0.227018
85,0.285406,0.226831
86,0.286944,0.228805
87,0.285910,0.228194
88,0.286342,0.228819
89,0.286039,0.228806
90,0.286604,0.230042
91,0.286529,0.230017
92,0.286772,0.231275
93,0.287056,0.231318
94,0.287517,0.232254
95,0.288619,0.233692
96,0.290325,0.235874
97,0.293847,0.240342
98,0.296492,0.243378
99,0.299071,0.246054
100,0.301412,0.248753
101,0.305186,0.253464
102,0.305864,0.254086
103,0.307909,0.256446
104,0.310429,0.259896
105,0.312558,0.262888
106,0.315396,0.266616
107,0.317120,0.268868
108,0.319955,0.272880
109,0.320475,0.273951
110,0.320864,0.274506
111,0.322204,0.276462
112,0.324777,0.280190
113,0.325515,0.281002
114,0.326440,0.282223
115,0.327968,0.284283
116,0.329172,0.285832
117,0.330820,0.288567
118,0.332255,0.290771
119,0.331915,0.290217
120,0.333283,0.292100
121,0.333116,0.291908
122,0.333777,0.293725
123,0.335127,0.295826
124,0.335742,0.296772
125,0.336127,0.297573
126,0.337614,0.300070
127,0.339201,0.302414
128,0.340250,0.304287
129,0.339420,0.303572
130,0.340339,0.304818
131,0.339935,0.304661
132,0.341816,0.307042
133,0.342315,0.308463
134,0.343516,0.310527
135,0.344376,0.311558
136,0.343983,0.311152
137,0.342904,0.310051
138,0.342352,0.309834
139,0.344355,0.312547
140,0.343488,0.310366
141,0.344169,0.311621
142,0.345089,0.313147
143,0.345669,0.313777
144,0.348186,0.317446
145,0.347109,0.316150
146,0.347816,0.317317
147,0.347925,0.317685
148,0.350399,0.320784
149,0.350319,0.320619
150,0.351062,0.322069
151,0.351372,0.322436
152,0.350641,0.321920
153,0.352209,0.324171
154,0.350430,0.321767
155,0.350437,0.321765
156,0.351402,0.323401
157,0.351794,0.324137
158,0.352438,0.324959
159,0.353274,0.326207
160,0.352727,0.325965
161,0.352757,0.325773
162,0.351252,0.323505
163,0.351238,0.323606
164,0.350551,0.323561
165,0.351423,0.325684
166,0.352621,0.327319
167,0.351287,0.325103
168,0.351664,0.326666
169,0.351085,0.325913
170,0.352107,0.327812
171,0.352819,0.328630
172,0.351715,0.327435
173,0.353005,0.329621
174,0.352323,0.328808
175,0.352854,0.329664
176,0.352859,0.330315
177,0.351709,0.328516
178,0.354001,0.332499
179,0.354321,0.333339
180,0.353250,0.331904
181,0.352486,0.330551
182,0.352419,0.330574
183,0.352507,0.330906
184,0.353670,0.333325
185,0.353189,0.332312
186,0.352205,0.330605
187,0.352830,0.332364
188,0.352683,0.332380
189,0.352475,0.332373
190,0.352095,0.331787
191,0.352059,0.332082
