step,mae,mse
0,0.112984,0.036421
1,0.135286,0.050923
2,0.149622,0.060990
3,0.160534,0.068896
4,0.169139,0.075354
5,0.176652,0.081456
6,0.183623,0.087323
7,0.188963,0.092277
8,0.195180,0.097615
9,0.200087,0.102380
10,0.205854,0.107871
11,0.211004,0.113105
12,0.214400,0.116168
13,0.218027,0.119735
14,0.221466,0.123535
15,0.224761,0.126449
16,0.228201,0.129900
17,0.231021,0.132940
18,0.233789,0.136076
19,0.236938,0.139797
20,0.239684,0.142870
21,0.241973,0.145718
22,0.244309,0.148136
23,0.246333,0.150862
24,0.247573,0.153042
25,0.249165,0.155824
26,0.250628,0.157423
27,0.251841,0.159125
28,0.253520,0.161412
29,0.255603,0.164247
30,0.257267,0.166389
31,0.258239,0.168202
32,0.259826,0.170241
33,0.260363,0.171898
34,0.261060,0.174427
35,0.262217,0.175668
36,0.262986,0.178024
37,0.264836,0.180361
38,0.265977,0.182321
39,0.266894,0.184313
40,0.268277,0.186806
41,0.268151,0.187559
42,0.269111,0.188355
43,0.269139,0.188803
44,0.269878,0.190461
45,0.270558,0.192346
46,0.271361,0.193527
47,0.272412,0.194915
48,0.273445,0.197277
49,0.274550,0.199058
50,0.275875,0.201027
51,0.276638,0.202852
52,0.277322,0.204249
53,0.277177,0.204906
54,0.277683,0.206667
55,0.278406,0.206494
56,0.279031,0.207792
57,0.279362,0.208330
58,0.279320,0.209257
59,0.280130,0.210800
60,0.280670,0.211581
61,0.281392,0.212339
62,0.281238,0.213371
63,0.281517,0.214109
64,0.281653,0.215618
65,0.281884,0.215836
66,0.282544,0.216585
67,0.282707,0.217505
68,0.283535,0.218278
69,0.283372,0.219135
70,0.283549,0.220346
71,0.283518,0.220272
72,0.283649,0.220943
73,0.284301,0.221886
74,0.284228,0.223036
75,0.284098,0.223342
76,0.284572,0.224043
77,0.284204,0.224637
78,0.284389,0.225943
79,0.284526,0.226398
80,0.284980,0.226611
81,0.285112,0.227007
82,0.285410,0.227892
83,0.285731,0.228578
84,0.287132,0.230020
85,0.286027,0.229030
