step,mae,mse
0,0.107478,0.034172
1,0.131011,0.048667
2,0.146657,0.058916
3,0.157956,0.066921
4,0.166031,0.073068
5,0.173078,0.078955
6,0.179791,0.084277
7,0.186289,0.089862
8,0.191341,0.094479
9,0.196375,0.099260
10,0.200963,0.103488
11,0.205756,0.107777
12,0.209118,0.111141
13,0.213284,0.115364
14,0.217251,0.118906
15,0.220281,0.122294
16,0.223769,0.125828
17,0.227433,0.129759
18,0.229671,0.132027
19,0.233413,0.136362
20,0.234974,0.138470
21,0.236747,0.140464
22,0.239484,0.143204
23,0.241319,0.145637
24,0.242907,0.148129
25,0.244920,0.150365
26,0.246568,0.152382
27,0.248960,0.155417
28,0.249916,0.156987
29,0.252547,0.160455
30,0.254454,0.162684
31,0.255098,0.163944
32,0.255569,0.165637
33,0.256598,0.167658
34,0.257712,0.169439
35,0.258554,0.171133
36,0.259730,0.173267
37,0.261381,0.176206
38,0.262305,0.177288
39,0.263429,0.180091
40,0.264422,0.181767
41,0.264771,0.182492
42,0.265581,0.183960
43,0.266293,0.185347
44,0.267024,0.186111
45,0.267851,0.187641
46,0.268095,0.189279
47,0.269459,0.191429
48,0.270252,0.192438
49,0.272031,0.194846
50,0.273391,0.196296
51,0.274141,0.198412
52,0.275565,0.200755
53,0.275827,0.201782
54,0.276880,0.203125
55,0.276647,0.203945
56,0.277356,0.204973
57,0.277932,0.205847
58,0.278235,0.206757
59,0.278831,0.207479
60,0.280079,0.209458
61,0.280740,0.210040
62,0.280926,0.210985
63,0.280521,0.211609
64,0.281716,0.213126
65,0.281720,0.213786
66,0.281986,0.214701
67,0.282285,0.215308
68,0.282643,0.216013
69,0.282679,0.216218
70,0.283238,0.217867
71,0.283771,0.219082
72,0.284260,0.219974
73,0.285025,0.221000
74,0.284934,0.221153
75,0.285621,0.222236
76,0.286403,0.223582
77,0.286399,0.224176
78,0.285755,0.224310
79,0.285505,0.224650
80,0.285733,0.225327
81,0.286001,0.226148
82,0.286324,0.226988
83,0.286445,0.227948
84,0.286756,0.228266
85,0.286671,0.228674
86,0.286838,0.229213
87,0.286631,0.230154
88,0.287674,0.231588
89,0.287511,0.231541
90,0.287856,0.232696
91,0.288225,0.233114
92,0.288617,0.233211
93,0.289783,0.233908
94,0.289973,0.234922
95,0.291164,0.236727
96,0.293755,0.239757
97,0.296749,0.243250
98,0.300134,0.246761
99,0.303166,0.250185
100,0.305700,0.253152
101,0.307913,0.255886
102,0.309711,0.258030
103,0.312291,0.261305
104,0.313919,0.263301
105,0.316157,0.266689
106,0.318547,0.270212
107,0.320333,0.272730
108,0.321382,0.274328
109,0.323547,0.277193
110,0.325111,0.279756
111,0.326795,0.282289
112,0.327756,0.283721
113,0.329764,0.286871
114,0.330736,0.288421
115,0.331797,0.289957
116,0.332775,0.291312
117,0.334341,0.293596
118,0.335566,0.295244
119,0.335693,0.295545
120,0.336831,0.297296
121,0.337522,0.298948
122,0.339423,0.301693
123,0.339587,0.302655
124,0.340077,0.303580
125,0.340597,0.304481
126,0.341421,0.306033
127,0.341867,0.307076
128,0.342587,0.308387
129,0.342737,0.308856
130,0.343792,0.310463
131,0.344437,0.311942
132,0.344796,0.312053
133,0.344747,0.313059
134,0.347239,0.316837
135,0.346013,0.315963
136,0.346651,0.316465
137,0.346244,0.316915
138,0.346444,0.317591
139,0.346777,0.317901
140,0.347412,0.319104
141,0.348257,0.320388
142,0.348175,0.320480
143,0.348642,0.321443
144,0.349546,0.322741
145,0.349756,0.323160
146,0.349417,0.323201
147,0.350207,0.323998
148,0.351840,0.326825
149,0.351771,0.327216
150,0.352085,0.327959
151,0.353183,0.329153
152,0.353616,0.329859
153,0.352679,0.328901
154,0.354115,0.330974
155,0.353702,0.329933
156,0.354272,0.330575
157,0.353844,0.329929
158,0.354156,0.330642
159,0.355146,0.332165
160,0.355056,0.332003
161,0.355657,0.333142
162,0.355189,0.332718
163,0.355192,0.332947
164,0.354288,0.331559
165,0.354449,0.331877
166,0.354658,0.332749
167,0.354939,0.333524
168,0.355219,0.333711
169,0.355091,0.333804
170,0.355282,0.333286
171,0.354790,0.332607
172,0.354481,0.332164
173,0.354763,0.333266
174,0.354423,0.333550
175,0.353901,0.332844
176,0.354269,0.333438
177,0.354461,0.333989
178,0.354562,0.334015
179,0.354794,0.335246
180,0.355466,0.336454
181,0.354886,0.335775
182,0.354300,0.335206
183,0.354708,0.336025
184,0.354222,0.335487
185,0.353903,0.334827
186,0.353471,0.333750
187,0.353296,0.333644
188,0.353316,0.333501
189,0.353328,0.333858
190,0.353842,0.334905
191,0.354316,0.335457
192,0.355246,0.336188
193,0.356380,0.337917
194,0.357843,0.338688
195,0.359462,0.340935
196,0.360193,0.342411
197,0.361129,0.343473
198,0.362641,0.344627
199,0.364342,0.347865
200,0.365224,0.349714
201,0.366101,0.350734
202,0.367520,0.353177
203,0.368604,0.355054
204,0.369604,0.356794
205,0.371102,0.358535
206,0.372585,0.361172
207,0.372991,0.360990
208,0.374118,0.362606
209,0.374932,0.363933
210,0.375422,0.364247
211,0.376396,0.366496
212,0.377511,0.367908
213,0.378669,0.369340
214,0.379605,0.371181
215,0.380178,0.372221
216,0.380895,0.372127
217,0.381375,0.372553
218,0.382165,0.374679
219,0.382931,0.376211
220,0.383921,0.377953
221,0.386650,0.381632
222,0.384829,0.379042
223,0.385484,0.380447
224,0.386214,0.381871
225,0.386587,0.381759
226,0.387172,0.382448
227,0.387459,0.384239
228,0.387488,0.383646
229,0.388755,0.385849
230,0.389037,0.386256
231,0.389152,0.387050
232,0.389307,0.387759
233,0.389474,0.388149
234,0.388675,0.386828
235,0.388315,0.387746
236,0.388498,0.388015
237,0.389259,0.388870
238,0.389582,0.389380
239,0.390428,0.391181
240,0.389856,0.389248
241,0.390182,0.389294
242,0.390469,0.389458
243,0.390299,0.389370
244,0.390936,0.390284
245,0.391268,0.390424
246,0.391516,0.390963
247,0.391056,0.390434
248,0.391227,0.390227
249,0.391286,0.389994
250,0.391244,0.390139
251,0.391984,0.391499
252,0.391892,0.390608
253,0.391748,0.388943
254,0.391993,0.389892
255,0.392661,0.391444
256,0.391789,0.390655
257,0.392132,0.390698
258,0.391694,0.390518
259,0.391281,0.389116
260,0.391226,0.389309
261,0.391594,0.389382
262,0.391322,0.389917
263,0.390577,0.388317
264,0.390946,0.389685
265,0.391375,0.390533
266,0.390181,0.388397
267,0.390146,0.387855
268,0.389798,0.387165
269,0.389888,0.386896
270,0.389796,0.386981
271,0.389196,0.386238
272,0.388564,0.385676
273,0.388724,0.385490
274,0.388607,0.385546
275,0.388580,0.385171
276,0.388589,0.385115
277,0.387894,0.384127
278,0.387570,0.384442
279,0.387082,0.383433
280,0.387200,0.383662
281,0.387006,0.382632
282,0.386925,0.381950
283,0.386517,0.381187
284,0.386187,0.380777
285,0.386173,0.380203
286,0.386120,0.380772
287,0.385604,0.378810
288,0.386232,0.378115
289,0.388033,0.380657
290,0.389417,0.381928
291,0.391191,0.384143
292,0.392106,0.386308
293,0.393247,0.387216
294,0.393991,0.388507
295,0.395067,0.389749
296,0.395804,0.391339
297,0.396677,0.391598
298,0.398448,0.394551
299,0.399040,0.394103
300,0.400004,0.395286
301,0.401496,0.397299
302,0.402538,0.400237
303,0.402718,0.400282
304,0.404571,0.403975
305,0.405049,0.405286
306,0.405359,0.405229
307,0.407734,0.410281
308,0.408619,0.411444
309,0.408543,0.410336
310,0.408670,0.410660
311,0.408579,0.410251
312,0.409232,0.410550
313,0.409556,0.410302
314,0.410019,0.411635
315,0.410580,0.412270
316,0.411174,0.413274
317,0.411667,0.413648
318,0.411528,0.414280
319,0.412056,0.415578
320,0.412512,0.416048
321,0.413203,0.417301
322,0.413139,0.417646
323,0.412840,0.416681
324,0.413254,0.417138
325,0.414097,0.419215
326,0.413883,0.419156
327,0.414403,0.419636
328,0.414155,0.418756
329,0.414170,0.418223
330,0.413926,0.417822
331,0.413930,0.418321
332,0.414045,0.418654
333,0.413839,0.419114
334,0.414795,0.421192
335,0.414270,0.419826
336,0.413910,0.418832
337,0.414324,0.419603
338,0.414873,0.420692
339,0.415096,0.420331
340,0.415856,0.422338
341,0.415501,0.421599
342,0.415481,0.420985
343,0.416635,0.424005
344,0.416578,0.423535
345,0.415868,0.421940
346,0.415895,0.422282
347,0.415558,0.421086
348,0.415792,0.421320
349,0.415527,0.421461
350,0.416098,0.422945
351,0.415653,0.421876
352,0.414925,0.421277
353,0.414566,0.420508
354,0.414367,0.420474
355,0.414589,0.421176
356,0.413382,0.418851
357,0.413034,0.418363
358,0.412879,0.418465
359,0.412543,0.418535
360,0.412241,0.418149
361,0.412151,0.418052
362,0.412064,0.417678
363,0.411498,0.417322
364,0.410831,0.416049
365,0.409873,0.414136
366,0.409409,0.413621
367,0.409371,0.413629
368,0.409301,0.414431
369,0.408712,0.413620
370,0.408683,0.413729
371,0.408038,0.412922
372,0.407061,0.411245
373,0.406867,0.410339
374,0.406470,0.410050
375,0.405527,0.408717
376,0.405303,0.409059
377,0.405380,0.409384
378,0.404543,0.407498
379,0.403985,0.407725
380,0.402616,0.405385
381,0.402568,0.405895
382,0.401821,0.404639
383,0.401401,0.404135
384,0.401332,0.404496
385,0.402799,0.406260
386,0.403344,0.407909
387,0.403926,0.407865
388,0.404686,0.409200
389,0.405756,0.411097
390,0.405936,0.413178
391,0.405918,0.412996
392,0.407059,0.413696
393,0.407729,0.415247
394,0.408294,0.416655
395,0.408493,0.417797
396,0.409126,0.418398
397,0.409231,0.418699
398,0.409581,0.419601
399,0.410483,0.421705
400,0.410901,0.423350
401,0.410868,0.423406
402,0.411860,0.425338
403,0.411735,0.424789
404,0.411629,0.424535
405,0.413127,0.428390
406,0.412721,0.427215
407,0.413402,0.428448
408,0.413453,0.428198
409,0.414076,0.428761
410,0.414284,0.429012
411,0.414354,0.428690
412,0.414482,0.429172
413,0.414465,0.428955
414,0.414889,0.430938
415,0.415441,0.433255
416,0.415280,0.432561
417,0.415508,0.433355
418,0.415584,0.433839
419,0.415857,0.434009
420,0.416167,0.434925
421,0.416889,0.436448
422,0.416315,0.436362
423,0.416803,0.436701
424,0.417071,0.438162
425,0.417003,0.437068
426,0.417152,0.437474
427,0.416938,0.437508
428,0.417356,0.438509
429,0.418144,0.440038
430,0.418284,0.440629
431,0.419260,0.443114
432,0.419130,0.442645
433,0.419315,0.442052
434,0.419389,0.441968
435,0.419559,0.441806
436,0.419721,0.441413
437,0.419466,0.441657
438,0.420284,0.443789
439,0.420990,0.444317
440,0.420543,0.443015
441,0.420440,0.443097
442,0.420487,0.442254
443,0.420774,0.442806
444,0.420576,0.442072
445,0.420264,0.441135
446,0.420690,0.441608
447,0.420549,0.441579
448,0.420075,0.439973
449,0.419951,0.440326
450,0.420259,0.440893
451,0.419817,0.440367
452,0.420024,0.439838
453,0.419796,0.440204
454,0.419943,0.441144
455,0.419872,0.441581
456,0.419763,0.441858
457,0.419276,0.440586
458,0.418940,0.439709
459,0.419474,0.440690
460,0.419142,0.439866
461,0.418962,0.439515
462,0.418578,0.438068
463,0.418813,0.438927
464,0.418228,0.437639
465,0.418444,0.437374
466,0.417663,0.437717
467,0.417833,0.438792
468,0.417347,0.437891
469,0.416552,0.436177
470,0.415937,0.435975
471,0.416249,0.435441
472,0.416109,0.435061
473,0.415400,0.435021
474,0.415325,0.435791
475,0.415092,0.435035
476,0.415343,0.434831
477,0.414845,0.434379
478,0.415027,0.434503
479,0.414992,0.434758
480,0.415820,0.436442
481,0.416910,0.437074
482,0.418181,0.440035
483,0.418763,0.441765
484,0.419881,0.442984
485,0.420494,0.446610
486,0.421019,0.447915
487,0.422342,0.451146
488,0.423010,0.451608
489,0.424043,0.453536
490,0.424852,0.453769
491,0.425660,0.454457
492,0.425888,0.455168
493,0.426738,0.457748
494,0.427322,0.459778
495,0.428046,0.461423
496,0.429235,0.463758
497,0.430032,0.465993
498,0.431378,0.469559
499,0.430944,0.467029
500,0.431766,0.468854
501,0.432576,0.470238
502,0.433650,0.471736
503,0.434693,0.473565
504,0.434548,0.472633
505,0.435806,0.474921
506,0.436293,0.474732
507,0.437436,0.477496
508,0.437323,0.476749
509,0.437836,0.477994
510,0.437885,0.479086
511,0.438279,0.478812
512,0.438803,0.479870
513,0.439554,0.481571
514,0.440674,0.484924
515,0.441121,0.484963
516,0.441141,0.483850
517,0.441550,0.486347
518,0.442086,0.486999
519,0.442400,0.487356
520,0.443202,0.489415
521,0.443079,0.488846
522,0.443400,0.489102
523,0.444057,0.490687
524,0.443643,0.489613
525,0.444213,0.491802
526,0.444224,0.491152
527,0.444855,0.492571
528,0.446350,0.495581
529,0.446272,0.495261
530,0.446177,0.495052
531,0.446365,0.494252
532,0.447541,0.496944
533,0.446811,0.495740
534,0.447241,0.496411
535,0.447107,0.495787
536,0.447325,0.496793
537,0.447433,0.496618
538,0.447999,0.498025
539,0.448048,0.498090
540,0.447699,0.496814
541,0.447636,0.496886
542,0.447821,0.496871
543,0.447903,0.497664
544,0.448039,0.499388
545,0.447800,0.498067
546,0.448059,0.498100
547,0.447904,0.499182
548,0.448023,0.499034
549,0.447319,0.497706
550,0.447288,0.497766
551,0.447546,0.497847
552,0.447460,0.496795
553,0.447486,0.496567
554,0.447625,0.497467
555,0.447260,0.496666
556,0.447406,0.497509
557,0.446835,0.495375
558,0.446997,0.494951
559,0.446698,0.494395
560,0.446467,0.494874
561,0.446020,0.494680
562,0.445676,0.493864
563,0.445811,0.495196
564,0.445642,0.495681
565,0.445769,0.494472
566,0.445888,0.495698
567,0.445820,0.495527
568,0.445079,0.493459
569,0.444790,0.492609
570,0.445107,0.493466
571,0.444700,0.491804
572,0.444072,0.490928
573,0.443757,0.489699
574,0.443443,0.489031
575,0.443651,0.488396
576,0.444165,0.489622
577,0.445307,0.490971
578,0.447412,0.492898
579,0.448591,0.495850
580,0.449560,0.496272
581,0.450410,0.497357
582,0.451090,0.499625
583,0.451717,0.500934
584,0.452744,0.502267
585,0.453612,0.503789
586,0.454261,0.505908
587,0.454860,0.506198
588,0.455651,0.508288
589,0.457095,0.510457
590,0.457617,0.511092
591,0.458081,0.512723
592,0.458928,0.514198
593,0.459503,0.515726
594,0.460161,0.514777
595,0.461018,0.515800
596,0.461025,0.518152
597,0.461634,0.519228
598,0.462425,0.521297
599,0.462653,0.521423
600,0.463357,0.522989
601,0.464054,0.524492
602,0.464696,0.525876
603,0.465504,0.526309
604,0.465576,0.526340
605,0.466512,0.526989
606,0.466852,0.528232
607,0.467220,0.527198
608,0.467950,0.527693
609,0.468332,0.528960
610,0.468646,0.530647
611,0.468729,0.531546
612,0.469356,0.533040
613,0.469512,0.533118
614,0.469692,0.533652
615,0.470095,0.533585
616,0.470571,0.535051
617,0.471087,0.535412
618,0.471307,0.536848
619,0.471853,0.537115
620,0.471851,0.537772
621,0.471838,0.539025
622,0.472425,0.539956
623,0.472658,0.539615
624,0.472593,0.539008
625,0.472778,0.539288
626,0.473173,0.537772
627,0.473512,0.538391
628,0.474128,0.539281
629,0.474309,0.540141
630,0.474638,0.541168
631,0.474574,0.539718
632,0.474750,0.540262
633,0.474660,0.540338
634,0.475047,0.540055
635,0.475322,0.540249
636,0.475651,0.540332
637,0.475847,0.540229
638,0.476031,0.540409
639,0.476361,0.541803
640,0.476278,0.541898
641,0.475907,0.541497
642,0.475867,0.540923
643,0.476267,0.542317
644,0.476466,0.542693
645,0.476401,0.541222
646,0.476547,0.541636
647,0.477078,0.542993
648,0.476852,0.541181
649,0.476773,0.541091
650,0.476738,0.540926
651,0.476031,0.540262
652,0.476248,0.540649
653,0.476400,0.540643
654,0.475839,0.539198
655,0.475200,0.538122
656,0.474967,0.537938
657,0.474687,0.537607
658,0.474992,0.538077
659,0.475011,0.538961
660,0.474531,0.537850
661,0.474412,0.536932
662,0.474282,0.537229
663,0.473731,0.534878
664,0.473568,0.533518
665,0.473089,0.534677
666,0.472879,0.534065
667,0.472711,0.533556
668,0.472650,0.533252
669,0.472788,0.531314
670,0.472338,0.532083
671,0.472325,0.531708
672,0.473110,0.533018
673,0.474292,0.534895
674,0.475185,0.536596
675,0.476310,0.537330
676,0.477129,0.539642
677,0.477945,0.539932
678,0.478772,0.541656
679,0.479282,0.543057
680,0.479671,0.544525
681,0.480528,0.546144
682,0.481086,0.547598
683,0.481525,0.547990
684,0.482477,0.549179
685,0.482714,0.550379
686,0.482862,0.551263
687,0.483247,0.552468
688,0.483930,0.554452
689,0.484756,0.555092
690,0.485140,0.555343
691,0.485520,0.556231
692,0.485991,0.556517
693,0.487030,0.558925
694,0.486790,0.558246
695,0.487495,0.560281
696,0.487804,0.560764
697,0.488083,0.561145
698,0.488229,0.562360
699,0.488443,0.562506
700,0.488736,0.564274
701,0.489426,0.565967
702,0.489642,0.567439
703,0.489833,0.566891
704,0.490269,0.568756
705,0.490869,0.569943
706,0.490711,0.569879
707,0.490880,0.570181
708,0.490857,0.569858
709,0.491171,0.570358
710,0.491337,0.571149
711,0.491790,0.571963
712,0.492173,0.573641
713,0.492285,0.572824
714,0.492422,0.572522
715,0.492806,0.572893
716,0.492963,0.574240
717,0.493371,0.573682
718,0.493639,0.573928
719,0.493802,0.573909
