step,mae,mse
0,0.106071,0.034130
1,0.130405,0.049074
2,0.145075,0.058811
3,0.156403,0.066804
4,0.163953,0.072642
5,0.171743,0.079051
6,0.178711,0.085130
7,0.185000,0.090462
8,0.190486,0.095473
9,0.196168,0.100776
10,0.201031,0.105360
11,0.204831,0.109153
12,0.208396,0.112544
13,0.212343,0.116415
14,0.215787,0.119830
15,0.219165,0.122939
16,0.222592,0.126327
17,0.225556,0.129273
18,0.228223,0.132386
19,0.231560,0.135669
20,0.234140,0.138467
21,0.237314,0.141128
22,0.239641,0.144126
23,0.242681,0.147280
24,0.244720,0.149626
25,0.246002,0.151881
26,0.247863,0.154599
27,0.249535,0.156453
28,0.251511,0.159175
29,0.253581,0.161757
30,0.255792,0.164473
31,0.257044,0.166430
32,0.258719,0.168828
33,0.259572,0.170604
34,0.260738,0.172587
35,0.261857,0.173981
36,0.263234,0.176268
37,0.264632,0.177959
38,0.265654,0.180171
39,0.266934,0.181896
40,0.267633,0.183392
41,0.268341,0.184994
42,0.268720,0.185940
43,0.269218,0.187504
44,0.270009,0.188975
45,0.271037,0.189825
46,0.271873,0.191907
47,0.273044,0.194108
48,0.274256,0.196066
49,0.274893,0.197504
50,0.275971,0.199864
51,0.277512,0.201355
52,0.278885,0.203541
53,0.278829,0.204068
54,0.279703,0.205151
55,0.280169,0.206409
56,0.281167,0.208073
57,0.281801,0.209761
58,0.281863,0.210387
59,0.282662,0.211275
60,0.283055,0.212600
61,0.284092,0.213567
62,0.284035,0.214062
63,0.284202,0.214844
64,0.284277,0.215727
65,0.285283,0.217052
66,0.285728,0.218451
67,0.286495,0.219600
68,0.286907,0.221244
69,0.287415,0.222056
70,0.286985,0.222179
71,0.287344,0.223168
72,0.288777,0.225145
73,0.289039,0.226849
74,0.288252,0.226036
75,0.288491,0.226731
76,0.289118,0.227957
77,0.288709,0.228063
78,0.288159,0.227963
79,0.288908,0.229334
80,0.289334,0.230170
81,0.289184,0.230958
82,0.289568,0.231647
83,0.290232,0.233016
84,0.290799,0.233079
85,0.290139,0.233846
86,0.290226,0.234151
87,0.290836,0.234912
88,0.290888,0.235201
89,0.291304,0.235743
90,0.291357,0.236574
91,0.292375,0.237047
92,0.292604,0.238819
93,0.292837,0.238586
94,0.293717,0.239723
95,0.295462,0.241848
96,0.297739,0.244924
97,0.300017,0.247300
98,0.302743,0.250467
99,0.305641,0.254047
100,0.308365,0.257182
101,0.310474,0.259810
102,0.313147,0.263279
103,0.315003,0.265138
104,0.317372,0.268874
105,0.319592,0.272151
106,0.321475,0.274871
107,0.322694,0.276491
108,0.324613,0.279172
109,0.325663,0.280136
110,0.327052,0.282083
111,0.328291,0.284395
112,0.329677,0.285937
113,0.331570,0.288857
114,0.333534,0.291359
115,0.335307,0.293469
116,0.335998,0.294960
117,0.337006,0.297142
118,0.338424,0.299662
119,0.339500,0.300758
120,0.340001,0.301828
121,0.340380,0.303136
122,0.340781,0.304674
123,0.342150,0.306175
124,0.343216,0.307716
125,0.343961,0.309136
126,0.344623,0.310140
127,0.344996,0.310844
128,0.346386,0.312579
129,0.346224,0.313404
130,0.346925,0.314674
131,0.346963,0.315298
132,0.348076,0.316890
133,0.348421,0.317843
134,0.348363,0.318360
135,0.348699,0.318877
136,0.349918,0.320740
137,0.349998,0.321274
138,0.351162,0.322909
139,0.352433,0.324956
140,0.351622,0.323888
141,0.351343,0.323324
142,0.352092,0.324718
143,0.352377,0.325585
144,0.352677,0.326324
145,0.353339,0.327008
146,0.353841,0.327742
147,0.354096,0.328549
148,0.354772,0.329418
149,0.357294,0.332548
150,0.357698,0.333831
151,0.357573,0.333734
152,0.357551,0.333823
153,0.358424,0.335181
154,0.359397,0.336529
155,0.358259,0.335258
156,0.357516,0.334634
157,0.357834,0.334899
158,0.357776,0.334996
159,0.358789,0.336446
