epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.544398,0.417584,0.671213,0.042664,0.584587,0.362731,0.806442,0.101580,0.285433,0.359853
1,0.413836,0.410837,0.416835,0.074009,0.430620,0.362933,0.498307,0.128334,0.285509,0.360169
2,0.356220,0.408242,0.304198,0.088671,0.361149,0.362346,0.359952,0.133194,0.285161,0.359343
3,0.322866,0.406813,0.238919,0.092282,0.329992,0.362920,0.297063,0.136420,0.285013,0.359770
4,0.306732,0.405529,0.207934,0.093021,0.320106,0.364665,0.275547,0.132045,0.287939,0.361350
5,0.297832,0.404461,0.191203,0.094978,0.314609,0.364294,0.264923,0.140622,0.285125,0.360261
6,0.289213,0.403441,0.174985,0.098846,0.305392,0.363151,0.247633,0.141859,0.283685,0.359562
7,0.283589,0.402312,0.164866,0.101514,0.294075,0.363556,0.224594,0.147281,0.283035,0.359801
8,0.278555,0.401503,0.155607,0.103108,0.289064,0.367815,0.210313,0.151303,0.293322,0.363797
9,0.274265,0.400851,0.147678,0.105482,0.283902,0.363851,0.203953,0.152634,0.284822,0.360021
10,0.270971,0.400146,0.141797,0.107922,0.278914,0.364739,0.193090,0.156708,0.285433,0.360633
