step,mae,mse
0,0.115431,0.037225
1,0.139329,0.052887
2,0.153407,0.063117
3,0.165557,0.072105
4,0.174841,0.078840
5,0.180393,0.083960
6,0.187354,0.089872
7,0.194487,0.095610
8,0.198927,0.099834
9,0.204798,0.105193
10,0.210742,0.110513
11,0.214998,0.114703
12,0.218619,0.118652
13,0.220852,0.121156
14,0.224880,0.125104
15,0.229145,0.129365
16,0.232440,0.133011
17,0.234999,0.135949
18,0.237536,0.139389
19,0.240586,0.142678
20,0.244488,0.146361
21,0.245845,0.148603
22,0.249192,0.152831
23,0.250558,0.154644
24,0.253000,0.156856
25,0.254445,0.158747
26,0.255711,0.161456
27,0.256953,0.163157
28,0.258850,0.165090
29,0.260062,0.167397
30,0.261874,0.169859
31,0.262358,0.171095
32,0.263098,0.172641
33,0.264233,0.174746
34,0.264600,0.176131
35,0.264586,0.177217
36,0.266045,0.178754
37,0.266810,0.180434
38,0.267619,0.182895
39,0.268580,0.184729
40,0.268802,0.185847
41,0.269865,0.186808
42,0.270630,0.188630
43,0.270807,0.190091
44,0.271673,0.191231
45,0.272281,0.192347
46,0.272223,0.193315
47,0.273636,0.195276
48,0.273804,0.196875
49,0.275578,0.199361
50,0.276471,0.201803
51,0.277306,0.203666
52,0.278507,0.205140
53,0.278743,0.206226
54,0.279808,0.208751
55,0.280107,0.209773
56,0.281024,0.211144
57,0.281447,0.212093
58,0.281255,0.213159
59,0.283067,0.215565
60,0.284043,0.216826
61,0.282930,0.216293
62,0.283827,0.217637
63,0.285528,0.220089
64,0.286016,0.220458
65,0.287757,0.222727
66,0.287388,0.223457
67,0.285410,0.221788
68,0.286649,0.223725
69,0.287793,0.225482
70,0.287837,0.226677
71,0.287837,0.226901
72,0.287166,0.225893
73,0.288464,0.228000
74,0.289119,0.229157
75,0.288894,0.229447
76,0.289398,0.230389
77,0.290474,0.232344
78,0.290758,0.232877
79,0.290065,0.232753
80,0.289137,0.232274
81,0.289063,0.232670
82,0.290187,0.233996
83,0.290380,0.234896
84,0.290537,0.235134
85,0.290239,0.235021
86,0.290189,0.234908
87,0.289991,0.235081
88,0.289442,0.234482
89,0.290558,0.236009
90,0.290282,0.236206
91,0.290039,0.236153
92,0.291421,0.237608
93,0.291450,0.237475
94,0.292120,0.238661
95,0.293842,0.240726
96,0.296317,0.243538
97,0.299095,0.246800
98,0.301543,0.249212
99,0.305233,0.253293
100,0.307287,0.255594
101,0.309772,0.258497
102,0.312204,0.261362
103,0.315006,0.264550
104,0.316172,0.266444
105,0.319228,0.270539
106,0.321614,0.274528
107,0.322765,0.275971
108,0.323811,0.277558
109,0.325750,0.280869
110,0.326686,0.282131
111,0.327959,0.283812
112,0.330066,0.286833
113,0.331491,0.289353
114,0.333807,0.292258
115,0.333861,0.292835
116,0.335158,0.294555
117,0.335593,0.296182
118,0.337548,0.298847
119,0.338244,0.300200
120,0.339002,0.301497
121,0.339344,0.302251
122,0.340357,0.303980
123,0.340648,0.305128
124,0.340887,0.305744
125,0.341687,0.306828
126,0.342787,0.308714
127,0.343407,0.310200
128,0.343272,0.310966
129,0.343964,0.312360
130,0.344246,0.313211
131,0.344904,0.314296
132,0.345485,0.314745
133,0.345695,0.315673
134,0.345816,0.316289
135,0.345783,0.317921
136,0.345965,0.318070
137,0.346011,0.318680
138,0.346062,0.318735
139,0.346098,0.319559
140,0.347491,0.321277
141,0.347508,0.321193
142,0.347355,0.321195
143,0.347816,0.322573
144,0.348690,0.323775
145,0.348923,0.324337
146,0.349535,0.325071
147,0.350456,0.326658
148,0.350843,0.327467
149,0.352104,0.329100
150,0.353029,0.330509
151,0.352709,0.329800
152,0.352973,0.329680
153,0.353597,0.331185
154,0.353974,0.332225
155,0.353563,0.331114
156,0.354336,0.331472
157,0.353883,0.331940
158,0.353797,0.332338
159,0.355511,0.334221
160,0.354765,0.333299
161,0.354829,0.333380
162,0.354668,0.333728
163,0.355341,0.334363
164,0.355834,0.334975
165,0.355879,0.335179
166,0.355275,0.334710
167,0.354843,0.334431
168,0.354877,0.334533
169,0.354505,0.334277
170,0.354662,0.334540
171,0.354699,0.334882
172,0.354295,0.334246
173,0.356053,0.336715
174,0.354615,0.334372
175,0.354876,0.335763
176,0.355150,0.336078
