step,mae,mse
0,0.102531,0.032791
1,0.127035,0.046812
2,0.141693,0.056067
3,0.153512,0.064124
4,0.160566,0.069571
5,0.166297,0.074372
6,0.173107,0.079754
7,0.179978,0.085260
8,0.184702,0.089387
9,0.188471,0.092965
10,0.193496,0.097135
11,0.198405,0.101463
12,0.200866,0.103922
13,0.204325,0.107078
14,0.206672,0.109767
15,0.210084,0.112823
16,0.213554,0.116216
17,0.216483,0.119631
18,0.218278,0.121519
19,0.221512,0.124613
20,0.223643,0.126897
21,0.227001,0.130676
22,0.228886,0.132643
23,0.230944,0.135115
24,0.232608,0.137400
25,0.235128,0.140335
26,0.236026,0.141794
27,0.237310,0.143411
28,0.238965,0.145993
29,0.240554,0.147883
30,0.242614,0.150658
31,0.244424,0.153683
32,0.245166,0.155070
33,0.246254,0.156548
34,0.247325,0.158243
35,0.248367,0.159610
36,0.249362,0.161123
37,0.250597,0.163306
38,0.251936,0.165259
39,0.253378,0.167364
40,0.254703,0.169465
41,0.255490,0.171352
42,0.255873,0.172480
43,0.256866,0.174522
44,0.257814,0.175072
45,0.258803,0.176996
46,0.259715,0.178610
47,0.259868,0.179164
48,0.261518,0.182196
49,0.262565,0.183581
50,0.263624,0.185160
51,0.265185,0.187853
52,0.267129,0.191305
53,0.267786,0.191268
54,0.267719,0.191868
55,0.268158,0.193068
56,0.268348,0.193713
57,0.269497,0.195481
58,0.270436,0.196590
59,0.270076,0.196916
60,0.270265,0.198356
61,0.272580,0.200969
62,0.273348,0.202127
63,0.273210,0.203095
64,0.272605,0.203589
65,0.272906,0.203581
66,0.273522,0.205055
67,0.274054,0.205903
68,0.274421,0.206623
69,0.275326,0.208053
70,0.276304,0.209585
71,0.276337,0.210323
72,0.275738,0.210033
73,0.276420,0.211229
74,0.276618,0.211513
75,0.278320,0.214603
76,0.278780,0.215602
77,0.278847,0.215882
78,0.278924,0.216555
79,0.279885,0.218201
80,0.280336,0.219832
81,0.280360,0.219568
82,0.281435,0.221505
83,0.281363,0.222032
84,0.281896,0.222764
85,0.281481,0.222071
86,0.282133,0.223560
87,0.284107,0.226070
88,0.283391,0.225809
89,0.283872,0.226495
90,0.283534,0.226662
91,0.283878,0.226801
92,0.284272,0.227561
93,0.285395,0.229265
94,0.285749,0.229508
95,0.287547,0.233212
