epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.272492,0.272492,0.931401,0.033789,0.243123,0.243123,0.986697,0.038687,0.124002,0.238692
1,0.261831,0.261831,0.931234,0.039141,0.243748,0.243748,0.986602,0.039844,0.124849,0.239865
2,0.260319,0.260319,0.931652,0.039656,0.244092,0.244092,0.986786,0.042001,0.124446,0.239601
3,0.258611,0.258611,0.931120,0.038837,0.239171,0.239171,0.986746,0.044033,0.122021,0.234805
4,0.255899,0.255899,0.931386,0.039315,0.238579,0.238579,0.986725,0.042475,0.122341,0.234531
5,0.255167,0.255167,0.931745,0.038414,0.239112,0.239112,0.986815,0.040368,0.121577,0.235089
6,0.254188,0.254188,0.931363,0.037926,0.238848,0.238848,0.986843,0.039775,0.121042,0.234535
7,0.253858,0.253858,0.931510,0.037521,0.239451,0.239451,0.986763,0.039609,0.120992,0.235075
8,0.253075,0.253075,0.931742,0.038800,0.237710,0.237710,0.986823,0.041888,0.120385,0.233565
9,0.251076,0.251076,0.931054,0.040503,0.237308,0.237308,0.986829,0.045531,0.120643,0.233247
10,0.250723,0.250723,0.931762,0.041840,0.237929,0.237929,0.986862,0.044126,0.120552,0.233670
11,0.250545,0.250545,0.931605,0.042855,0.237910,0.237910,0.986826,0.045778,0.120415,0.233652
