step,mae,mse
0,0.110074,0.034518
1,0.132125,0.047569
2,0.145366,0.055953
3,0.154863,0.062405
4,0.161543,0.067443
5,0.168898,0.072864
6,0.173673,0.077013
7,0.178793,0.081400
8,0.183658,0.084902
9,0.188636,0.089125
10,0.192672,0.092707
11,0.196920,0.096135
12,0.199686,0.098903
13,0.203240,0.102081
14,0.206464,0.105374
15,0.209676,0.108548
16,0.212484,0.111422
17,0.214604,0.113313
18,0.217181,0.115843
19,0.219821,0.117921
20,0.222227,0.120647
21,0.224601,0.122891
22,0.226907,0.125843
23,0.229205,0.128552
24,0.231369,0.130915
25,0.232487,0.132100
26,0.234554,0.134091
27,0.236380,0.136579
28,0.237208,0.137829
29,0.239933,0.140755
30,0.241288,0.142690
31,0.245645,0.147543
32,0.245205,0.147794
33,0.245430,0.148905
34,0.245299,0.148900
35,0.247402,0.151303
36,0.248324,0.152324
37,0.249979,0.154931
38,0.251167,0.156532
39,0.252162,0.158057
40,0.253539,0.160121
41,0.254028,0.161286
42,0.255419,0.162719
43,0.255714,0.163532
44,0.257161,0.164454
45,0.257764,0.166346
46,0.259049,0.168922
47,0.260392,0.170330
48,0.259063,0.169568
49,0.260987,0.172170
50,0.261845,0.173993
51,0.262267,0.176014
52,0.263841,0.177914
53,0.264800,0.179363
54,0.265716,0.180410
55,0.266821,0.182410
56,0.268472,0.184314
57,0.269096,0.186553
58,0.270484,0.188479
59,0.270956,0.189928
60,0.271615,0.191635
61,0.272688,0.193659
62,0.273760,0.196062
63,0.274572,0.196655
64,0.274991,0.197107
65,0.273821,0.196579
66,0.273866,0.197135
67,0.275562,0.199756
68,0.277212,0.201841
69,0.276444,0.201345
70,0.276095,0.200796
71,0.277030,0.204025
72,0.277385,0.204241
73,0.277513,0.204489
74,0.278490,0.206453
75,0.279621,0.208525
76,0.279859,0.209928
77,0.279682,0.209778
78,0.281714,0.212351
79,0.280056,0.210382
80,0.280621,0.212051
81,0.281485,0.214335
82,0.281865,0.214107
83,0.282250,0.215826
84,0.282668,0.216403
85,0.283729,0.218715
86,0.283947,0.219187
87,0.284569,0.219933
88,0.285169,0.220564
89,0.287019,0.223248
90,0.286673,0.223817
91,0.288709,0.225692
92,0.288749,0.226285
93,0.287406,0.225433
94,0.288939,0.228120
95,0.291645,0.231119
