step,mae,mse
0,0.098292,0.032029
1,0.123811,0.046536
2,0.139219,0.056238
3,0.150405,0.064046
4,0.158377,0.070099
5,0.165834,0.076063
6,0.172346,0.081437
7,0.178036,0.086190
8,0.183617,0.090877
9,0.188820,0.095802
10,0.193907,0.100420
11,0.197993,0.104427
12,0.201660,0.107986
13,0.205129,0.111209
14,0.208053,0.114155
15,0.211573,0.117607
16,0.214647,0.120590
17,0.217530,0.123512
18,0.220254,0.126464
19,0.223250,0.129663
20,0.226145,0.132690
21,0.228706,0.135315
22,0.231046,0.137872
23,0.233338,0.140653
24,0.235419,0.143035
25,0.237240,0.145399
26,0.239040,0.147557
27,0.240864,0.149945
28,0.242748,0.152115
29,0.244442,0.154460
30,0.246066,0.156690
31,0.247753,0.158948
32,0.249314,0.160936
33,0.250556,0.162680
34,0.251444,0.164283
35,0.252762,0.166242
36,0.254022,0.168047
37,0.255391,0.170132
38,0.256427,0.171822
39,0.257753,0.173827
40,0.258921,0.175639
41,0.259876,0.177358
42,0.260692,0.178763
43,0.261407,0.179859
44,0.262452,0.181239
45,0.263267,0.182689
46,0.264073,0.184200
47,0.265086,0.186119
48,0.266303,0.187881
49,0.267391,0.189756
50,0.268545,0.191267
51,0.269834,0.193364
52,0.270575,0.194659
53,0.271064,0.195822
54,0.271700,0.197187
55,0.272346,0.198410
56,0.272714,0.199049
57,0.273268,0.200256
58,0.273867,0.201508
59,0.274291,0.202494
60,0.274821,0.203374
61,0.275481,0.204869
62,0.275886,0.205706
63,0.276228,0.206640
64,0.276832,0.207862
65,0.277311,0.208930
66,0.277761,0.209732
67,0.278172,0.210817
68,0.278664,0.211979
69,0.279158,0.213097
70,0.279535,0.214184
71,0.279962,0.215187
72,0.280183,0.215660
73,0.280406,0.216289
74,0.280658,0.217205
75,0.280957,0.218071
76,0.281155,0.218654
77,0.281387,0.219250
78,0.281435,0.220043
79,0.281768,0.220722
80,0.282007,0.221206
81,0.282270,0.221948
82,0.282502,0.222597
83,0.282776,0.223218
84,0.283036,0.224080
85,0.283167,0.224475
86,0.283261,0.224984
87,0.283753,0.225965
88,0.283933,0.226302
89,0.284013,0.226639
90,0.284122,0.227133
91,0.284536,0.227800
92,0.284817,0.228485
93,0.285079,0.228909
94,0.285482,0.229415
95,0.286691,0.230871
