epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.277769,0.277769,0.931749,0.400625,0.251037,0.251037,0.986894,0.328014,0.129936,0.244166
1,0.263788,0.263788,0.931825,0.292776,0.242846,0.242846,0.986884,0.232072,0.123471,0.237581
2,0.260576,0.260576,0.931509,0.209521,0.265964,0.265964,0.986858,0.180782,0.144519,0.260496
3,0.259592,0.259592,0.931785,0.149686,0.240878,0.240878,0.986843,0.136158,0.123443,0.236955
4,0.255382,0.255382,0.931855,0.121523,0.239905,0.239905,0.986900,0.112049,0.123781,0.236232
5,0.253827,0.253827,0.931803,0.101995,0.242337,0.242337,0.986870,0.099139,0.125157,0.238352
6,0.252790,0.252790,0.931262,0.087324,0.238584,0.238584,0.986867,0.085634,0.121923,0.234611
7,0.252660,0.252660,0.931822,0.078109,0.238791,0.238791,0.986867,0.076784,0.122397,0.234838
8,0.251910,0.251910,0.931766,0.069109,0.241265,0.241265,0.986894,0.068762,0.123332,0.237310
9,0.250381,0.250381,0.931309,0.062736,0.238970,0.238970,0.986923,0.062880,0.122451,0.234818
