step,mae,mse
0,0.097464,0.032308
1,0.123464,0.046705
2,0.138953,0.056270
3,0.150214,0.064124
4,0.158062,0.069985
5,0.165644,0.075958
6,0.172062,0.081319
7,0.178140,0.086377
8,0.183820,0.091272
9,0.188815,0.096102
10,0.194000,0.100867
11,0.198271,0.105082
12,0.201971,0.108709
13,0.205620,0.112173
14,0.208826,0.115363
15,0.212438,0.118926
16,0.215494,0.121783
17,0.218416,0.124902
18,0.221289,0.128269
19,0.224532,0.131523
20,0.227279,0.134289
21,0.229730,0.137105
22,0.232123,0.139734
23,0.234560,0.142696
24,0.236659,0.145000
25,0.238706,0.147591
26,0.240584,0.149989
27,0.242557,0.152546
28,0.244509,0.155055
29,0.246265,0.157220
30,0.248135,0.159667
31,0.250169,0.162195
32,0.251836,0.164360
33,0.253283,0.166215
34,0.254261,0.168173
35,0.255754,0.170421
36,0.256909,0.172002
37,0.258402,0.174305
38,0.259293,0.176274
39,0.260904,0.178286
40,0.262407,0.180509
41,0.263241,0.182021
42,0.264046,0.183612
43,0.264916,0.184695
44,0.266108,0.186542
45,0.266992,0.187974
46,0.267695,0.189624
47,0.269032,0.191743
48,0.270292,0.193679
49,0.271211,0.195595
50,0.272500,0.197352
51,0.273973,0.199399
52,0.274771,0.200584
53,0.275256,0.201856
54,0.275907,0.203004
55,0.276460,0.203885
56,0.276720,0.204408
57,0.277357,0.205813
58,0.277916,0.206831
59,0.278420,0.207698
60,0.279140,0.208771
61,0.279571,0.210123
62,0.280014,0.210760
63,0.280627,0.211807
64,0.281235,0.213043
65,0.281599,0.213877
66,0.282048,0.214435
67,0.282460,0.215141
68,0.283082,0.216536
69,0.283599,0.217613
70,0.284191,0.218743
71,0.284618,0.219678
72,0.284536,0.219837
73,0.284743,0.220780
74,0.285004,0.221553
75,0.285267,0.222354
76,0.285324,0.222681
77,0.285165,0.223047
78,0.285226,0.223595
79,0.285692,0.224224
80,0.285767,0.224615
81,0.285976,0.225311
82,0.286226,0.225833
83,0.286409,0.226197
84,0.286652,0.226778
85,0.286730,0.227333
86,0.286715,0.227553
87,0.287205,0.228697
88,0.287354,0.228658
89,0.287465,0.228966
90,0.287690,0.229504
91,0.288133,0.230212
92,0.288285,0.230540
93,0.288526,0.231124
94,0.289007,0.231726
95,0.290223,0.233187
