epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.170882,0.170882,0.054814,0.054814,0.000000,0.000000
1,0.041914,0.041914,0.035460,0.035460,0.000000,0.000000
2,0.031962,0.031962,0.031222,0.031222,0.000000,0.000000
3,0.029373,0.029373,0.029723,0.029723,0.000000,0.000000
4,0.027810,0.027810,0.027318,0.027318,0.000000,0.000000
5,0.026610,0.026610,0.025607,0.025607,0.000000,0.000000
6,0.025797,0.025797,0.024845,0.024845,0.000000,0.000000
7,0.025099,0.025099,0.024673,0.024673,0.000000,0.000000
8,0.024762,0.024762,0.023930,0.023930,0.000000,0.000000
9,0.024386,0.024386,0.023323,0.023323,0.000000,0.000000
10,0.024084,0.024084,0.023586,0.023586,0.000000,0.000000
11,0.024034,0.024034,0.023108,0.023108,0.000000,0.000000
12,0.023829,0.023829,0.022974,0.022974,0.000000,0.000000
13,0.023648,0.023648,0.022925,0.022925,0.000000,0.000000
14,0.023584,0.023584,0.022826,0.022826,0.000000,0.000000
15,0.023468,0.023468,0.022515,0.022515,0.000000,0.000000
16,0.023548,0.023548,0.022180,0.022180,0.000000,0.000000
17,0.023415,0.023415,0.022471,0.022471,0.000000,0.000000
18,0.023223,0.023223,0.021887,0.021887,0.000000,0.000000
19,0.023321,0.023321,0.021976,0.021976,0.000000,0.000000
20,0.023265,0.023265,0.022089,0.022089,0.000000,0.000000
21,0.023098,0.023098,0.022019,0.022019,0.000000,0.000000
