epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.252698,0.220908,0.317894,0.126440,0.205243,0.165600,0.396433,0.018833
1,0.203389,0.179270,0.241192,0.148270,0.148587,0.120498,0.280886,0.102523
2,0.181848,0.161689,0.201590,0.161971,0.117232,0.097667,0.195655,0.150907
3,0.166366,0.148271,0.180953,0.168301,0.106142,0.088657,0.174854,0.158441
4,0.154262,0.137770,0.164922,0.173828,0.093830,0.077913,0.159175,0.161322
5,0.143599,0.128401,0.151989,0.177878,0.084206,0.069715,0.144902,0.166001
6,0.130177,0.116092,0.140851,0.180907,0.078130,0.064780,0.133504,0.167604
7,0.118993,0.106013,0.129801,0.184295,0.070551,0.058570,0.119810,0.173252
8,0.112079,0.100053,0.120264,0.187761,0.066303,0.055264,0.110389,0.174625
9,0.104912,0.093703,0.112086,0.190374,0.062534,0.052339,0.101943,0.176034
10,0.106076,0.095448,0.106278,0.192190,0.057654,0.048073,0.095806,0.178440
11,0.107232,0.097111,0.101218,0.194191,0.054707,0.045684,0.090234,0.179454
12,0.105382,0.095654,0.097276,0.195079,0.051964,0.043332,0.086323,0.179514
13,0.085429,0.076053,0.093756,0.196992,0.048765,0.040426,0.083387,0.181169
14,0.081288,0.072129,0.091597,0.198074,0.046680,0.038483,0.081967,0.181766
15,0.079252,0.070200,0.090524,0.199461,0.045291,0.037186,0.081054,0.182601
16,0.080307,0.071220,0.090870,0.201033,0.044073,0.035728,0.083450,0.182606
17,0.076435,0.067111,0.093245,0.201323,0.042543,0.034137,0.084060,0.187159
18,0.072454,0.063133,0.093206,0.202963,0.041296,0.033100,0.081953,0.186849
19,0.073506,0.064560,0.089454,0.205905,0.039287,0.031505,0.077821,0.189130
20,0.063665,0.055010,0.086549,0.207863,0.037766,0.030269,0.074966,0.192135
21,0.064030,0.055609,0.084217,0.209420,0.036839,0.029568,0.072709,0.191378
22,0.060048,0.051808,0.082398,0.209576,0.035889,0.028774,0.071150,0.192421
23,0.062811,0.054698,0.081128,0.210312,0.035156,0.028175,0.069801,0.191106
24,0.055221,0.047221,0.080001,0.210935,0.034826,0.027967,0.068593,0.191042
25,0.074646,0.066743,0.079037,0.211905,0.033472,0.026736,0.067364,0.192759
26,0.059115,0.051301,0.078134,0.212657,0.032758,0.026081,0.066767,0.192314
27,0.072720,0.064963,0.077572,0.213120,0.032354,0.025698,0.066555,0.193640
28,0.050312,0.042580,0.077322,0.212708,0.032252,0.025678,0.065742,0.191536
29,0.050862,0.043250,0.076123,0.212833,0.031886,0.025366,0.065198,0.192184
30,0.054267,0.046741,0.075260,0.213509,0.031062,0.024674,0.063883,0.192150
31,0.055415,0.047969,0.074461,0.213208,0.030205,0.023935,0.062702,0.191485
32,0.057145,0.049754,0.073903,0.213328,0.029729,0.023496,0.062330,0.192055
33,0.045746,0.038386,0.073597,0.213302,0.029784,0.023583,0.062008,0.192120
34,0.056322,0.048990,0.073315,0.213413,0.029169,0.022968,0.062010,0.191793
35,0.047709,0.040375,0.073341,0.212968,0.029114,0.022991,0.061237,0.191725
36,0.053578,0.046311,0.072676,0.212910,0.029122,0.022994,0.061283,0.191390
37,0.048041,0.040848,0.071927,0.213316,0.028125,0.022152,0.059728,0.192580
38,0.053208,0.046130,0.070781,0.213237,0.028593,0.022780,0.058123,0.190543
39,0.043785,0.036799,0.069861,0.213413,0.027564,0.021802,0.057617,0.190748
40,0.045513,0.038594,0.069195,0.213363,0.027070,0.021352,0.057182,0.189934
41,0.054410,0.047526,0.068841,0.213019,0.027554,0.021834,0.057203,0.188416
42,0.041834,0.035000,0.068333,0.213261,0.027140,0.021516,0.056244,0.191239
43,0.045814,0.039017,0.067965,0.213337,0.026840,0.021232,0.056079,0.188129
44,0.061212,0.054449,0.067634,0.212891,0.026303,0.020733,0.055706,0.190841
45,0.046483,0.039738,0.067453,0.212947,0.026377,0.020817,0.055599,0.189973
46,0.044603,0.037855,0.067474,0.212817,0.026733,0.021188,0.055456,0.190504
47,0.061253,0.054511,0.067417,0.212725,0.026026,0.020450,0.055765,0.191354
48,0.043880,0.037143,0.067378,0.212571,0.026591,0.021064,0.055264,0.188555
49,0.043742,0.037040,0.067023,0.212500,0.026227,0.020748,0.054783,0.188123
50,0.044647,0.037963,0.066835,0.212100,0.026572,0.021080,0.054925,0.189063
