epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.172563,0.172563,0.027959,0.027959,0.000000,0.000000
1,0.046988,0.046988,0.021242,0.021242,0.000000,0.000000
2,0.039861,0.039861,0.018982,0.018982,0.000000,0.000000
3,0.036943,0.036943,0.018121,0.018121,0.000000,0.000000
4,0.035927,0.035927,0.017471,0.017471,0.000000,0.000000
5,0.035117,0.035117,0.017184,0.017184,0.000000,0.000000
6,0.034559,0.034559,0.017643,0.017643,0.000000,0.000000
7,0.034538,0.034538,0.017977,0.017977,0.000000,0.000000
8,0.034278,0.034278,0.016919,0.016919,0.000000,0.000000
9,0.033859,0.033859,0.017921,0.017921,0.000000,0.000000
10,0.033690,0.033690,0.016062,0.016062,0.000000,0.000000
11,0.033214,0.033214,0.016187,0.016187,0.000000,0.000000
12,0.033497,0.033497,0.016172,0.016172,0.000000,0.000000
13,0.033271,0.033271,0.016120,0.016120,0.000000,0.000000
