epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.040081,0.011743,0.028338,0.092416,0.019052,0.001645,0.017407,0.095990
1,0.030278,0.010127,0.020150,0.100931,0.019297,0.001711,0.017586,0.102532
2,0.029940,0.010001,0.019939,0.099738,0.018517,0.001631,0.016886,0.096843
3,0.029530,0.009962,0.019568,0.097540,0.018299,0.001528,0.016771,0.095817
4,0.029205,0.009976,0.019229,0.095847,0.018107,0.001542,0.016565,0.093866
5,0.029055,0.009920,0.019135,0.094641,0.017953,0.001395,0.016558,0.093377
6,0.029049,0.009915,0.019134,0.094940,0.017821,0.001529,0.016292,0.096054
7,0.028996,0.009912,0.019084,0.094806,0.018057,0.001458,0.016599,0.095316
8,0.028952,0.009889,0.019062,0.094207,0.018225,0.001524,0.016701,0.092631
9,0.028488,0.009747,0.018742,0.093508,0.017412,0.001328,0.016084,0.094576
10,0.028508,0.009732,0.018776,0.094957,0.017228,0.001312,0.015916,0.095548
11,0.028382,0.009729,0.018652,0.095128,0.017604,0.001312,0.016292,0.097242
12,0.028432,0.009728,0.018705,0.096042,0.016925,0.001303,0.015621,0.094218
13,0.028348,0.009740,0.018608,0.095903,0.017656,0.001275,0.016381,0.099939
14,0.028415,0.009724,0.018690,0.096470,0.017092,0.001312,0.015780,0.096094
15,0.028422,0.009739,0.018683,0.096428,0.017076,0.001291,0.015785,0.095623
