epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,1.389374,1.385562,0.038119,1.390255,1.386325,0.039303,0.247148,0.246445,0.165353,0.239278
1,1.384041,1.380479,0.035611,1.389330,1.385654,0.036762,0.258555,0.259382,0.181230,0.174621
2,1.375423,1.372354,0.030698,1.385083,1.381278,0.038047,0.273764,0.274767,0.188528,0.261111
3,1.368790,1.365993,0.027971,1.381445,1.377611,0.038346,0.281369,0.281993,0.187608,0.144087
4,1.361566,1.359045,0.025211,1.376493,1.373241,0.032515,0.288973,0.289277,0.195471,0.403019
5,1.352307,1.349933,0.023743,1.372326,1.369628,0.026980,0.277567,0.277681,0.179119,0.147564
6,1.340302,1.337873,0.024284,1.382238,1.379635,0.026024,0.269962,0.270047,0.184278,0.194015
7,1.324811,1.322368,0.024434,1.396713,1.393947,0.027655,0.269962,0.270338,0.178862,0.141227
8,1.311536,1.309098,0.024383,1.403452,1.400455,0.029965,0.258555,0.258508,0.180219,0.176062
9,1.295313,1.292849,0.024643,1.415597,1.412697,0.028994,0.254753,0.254487,0.194620,0.312345
10,1.275144,1.272707,0.024370,1.406904,1.404087,0.028160,0.258555,0.258275,0.162357,0.159607
11,1.248001,1.245628,0.023727,1.481902,1.479285,0.026171,0.288973,0.289161,0.193139,0.234966
12,1.217520,1.215198,0.023224,1.451176,1.448594,0.025820,0.273764,0.273718,0.200412,0.266766
13,1.180940,1.178638,0.023019,1.492100,1.489676,0.024231,0.262357,0.261597,0.156542,0.190985
14,1.151779,1.149529,0.022494,1.471400,1.468934,0.024668,0.254753,0.254021,0.159774,0.213124
15,1.120104,1.117899,0.022053,1.581475,1.579094,0.023812,0.258555,0.257692,0.148613,0.218053
16,1.086855,1.084627,0.022280,1.512398,1.509979,0.024190,0.250951,0.250583,0.180476,0.191305
17,1.035949,1.033775,0.021741,1.669866,1.667510,0.023556,0.266160,0.266725,0.175705,0.133451
18,1.018645,1.016435,0.022098,1.655154,1.652800,0.023537,0.239544,0.238695,0.125048,0.237896
19,0.988920,0.986745,0.021755,1.615437,1.612974,0.024631,0.254753,0.254079,0.140448,0.184780
20,0.955287,0.953142,0.021452,1.548128,1.545871,0.022575,0.258555,0.258450,0.236095,0.271358
21,0.926745,0.924654,0.020905,1.566423,1.564298,0.021254,0.247148,0.246387,0.171897,0.220974
22,0.904391,0.902328,0.020626,1.507453,1.505340,0.021122,0.247148,0.247028,0.216134,0.248441
23,0.884889,0.882849,0.020397,1.529622,1.527526,0.020960,0.254753,0.254312,0.206424,0.256143
24,0.869527,0.867503,0.020236,1.529293,1.527199,0.020941,0.250951,0.250408,0.195707,0.237612
25,0.859672,0.857642,0.020300,1.517339,1.515243,0.020960,0.247148,0.246911,0.200944,0.223299
26,0.852892,0.850867,0.020252,1.509057,1.506962,0.020942,0.254753,0.254604,0.218660,0.249739
27,0.848893,0.846870,0.020231,1.506575,1.504476,0.020994,0.239544,0.239277,0.199923,0.225080
28,0.844780,0.842758,0.020219,1.510811,1.508726,0.020848,0.231939,0.231643,0.187047,0.204356
