epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,1.395964,1.385985,0.997819,1.395061,1.385315,0.974674,0.247148,0.250000,0.099085,0.061787
1,1.395853,1.385881,0.997199,1.394619,1.385179,0.944069,0.247148,0.250000,0.099085,0.061787
2,1.395654,1.385696,0.995838,1.394217,1.384964,0.925250,0.247148,0.250000,0.099085,0.061787
3,1.395280,1.385341,0.993985,1.394011,1.384742,0.926934,0.247148,0.250000,0.099085,0.061787
4,1.394888,1.384986,0.990155,1.393472,1.384367,0.910545,0.247148,0.250000,0.099085,0.061787
5,1.394437,1.384618,0.981901,1.393199,1.384225,0.897413,0.247148,0.250000,0.099085,0.061787
6,1.394140,1.384446,0.969400,1.393134,1.384021,0.911351,0.247148,0.250000,0.099085,0.061787
7,1.393613,1.384190,0.942238,1.392501,1.383712,0.878933,0.247148,0.250000,0.099085,0.061787
8,1.392421,1.383497,0.892416,1.391888,1.383543,0.834498,0.254753,0.257576,0.114399,0.312261
9,1.391195,1.382745,0.845023,1.391588,1.383803,0.778529,0.254753,0.257576,0.114399,0.312261
10,1.389940,1.381906,0.803442,1.391224,1.383891,0.733339,0.262357,0.265152,0.128880,0.312741
11,1.388719,1.381062,0.765699,1.390675,1.383601,0.707344,0.262357,0.265152,0.128880,0.312741
12,1.387371,1.380145,0.722556,1.390597,1.383784,0.681280,0.258555,0.261305,0.127240,0.262016
13,1.386122,1.379157,0.696494,1.390624,1.384110,0.651405,0.262357,0.265093,0.133784,0.218995
14,1.385058,1.378325,0.673303,1.390063,1.383607,0.645533,0.243346,0.245746,0.132768,0.135462
15,1.383951,1.377337,0.661491,1.390395,1.384119,0.627624,0.266160,0.268648,0.152754,0.147711
16,1.383180,1.376723,0.645629,1.390160,1.384020,0.614017,0.243346,0.245455,0.145927,0.126300
17,1.382402,1.375945,0.645688,1.390631,1.384611,0.601980,0.247148,0.249184,0.151713,0.127734
18,1.381425,1.375000,0.642474,1.390364,1.384340,0.602370,0.239544,0.241375,0.150846,0.122974
19,1.381153,1.374671,0.648150,1.391071,1.384985,0.608519,0.239544,0.241317,0.151538,0.119755
20,1.380255,1.373798,0.645738,1.391508,1.385339,0.616939,0.247148,0.248893,0.158285,0.124504
21,1.379726,1.373276,0.644969,1.390845,1.384594,0.625093,0.254753,0.256469,0.165060,0.130010
22,1.379034,1.372553,0.648074,1.391683,1.385546,0.613679,0.243346,0.244988,0.157203,0.122609
23,1.378414,1.371893,0.652063,1.392136,1.385979,0.615764,0.247148,0.248776,0.160071,0.123562
24,1.377761,1.371169,0.659272,1.391568,1.385271,0.629711,0.254753,0.256469,0.164546,0.128002
25,1.377297,1.370689,0.660858,1.392247,1.385755,0.649183,0.258555,0.260256,0.167596,0.129722
26,1.376606,1.370018,0.658836,1.392381,1.385851,0.652987,0.250951,0.252622,0.162129,0.124967
27,1.376072,1.369451,0.662126,1.392017,1.385553,0.646365,0.254753,0.256410,0.165000,0.125847
28,1.375595,1.368935,0.665922,1.392312,1.385785,0.652637,0.254753,0.256410,0.165179,0.126786
29,1.374942,1.368328,0.661444,1.392354,1.385933,0.642108,0.258555,0.260198,0.168256,0.128918
30,1.374296,1.367646,0.665023,1.392843,1.386345,0.649863,0.247148,0.248718,0.161110,0.123018
31,1.373997,1.367343,0.665473,1.392140,1.385668,0.647176,0.250951,0.252622,0.162647,0.124123
32,1.373450,1.366721,0.672828,1.392365,1.385852,0.651317,0.239544,0.241026,0.157603,0.120795
33,1.373061,1.366345,0.671527,1.393395,1.386867,0.652844,0.243346,0.244872,0.160026,0.121919
34,1.372998,1.366272,0.672583,1.392891,1.386297,0.659382,0.243346,0.244872,0.160192,0.122940
35,1.372135,1.365421,0.671458,1.392761,1.386149,0.661135,0.239544,0.241026,0.157843,0.120395
36,1.371695,1.364994,0.670011,1.393058,1.386427,0.663147,0.243346,0.244872,0.160054,0.122147
37,1.371394,1.364645,0.674869,1.392883,1.386198,0.668525,0.247148,0.248718,0.161855,0.123511
38,1.370903,1.364149,0.675415,1.392913,1.386252,0.666084,0.254753,0.256235,0.173273,0.189170
39,1.370634,1.363890,0.674403,1.392963,1.386261,0.670193,0.250951,0.252506,0.169703,0.174291
40,1.370439,1.363696,0.674313,1.392911,1.386231,0.667998,0.243346,0.244872,0.160026,0.121919
