epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,1.395568,1.385520,1.004782,1.398388,1.388354,1.003347,0.209125,0.209732,0.159619,0.155190
1,1.386516,1.376855,0.966091,1.390650,1.381211,0.943988,0.254753,0.256876,0.156727,0.135123
2,1.373798,1.365235,0.856284,1.387761,1.380003,0.775797,0.292776,0.293531,0.264123,0.270832
3,1.361615,1.354628,0.698663,1.386396,1.380386,0.600947,0.285171,0.285140,0.233446,0.330791
4,1.350453,1.344477,0.597555,1.391200,1.385687,0.551295,0.292776,0.292366,0.244774,0.377204
5,1.341401,1.335625,0.577562,1.397292,1.391765,0.552688,0.292776,0.292308,0.249109,0.322011
6,1.333327,1.327631,0.569604,1.399678,1.393567,0.611042,0.277567,0.276981,0.213246,0.334770
7,1.328547,1.322703,0.584413,1.400763,1.394481,0.628214,0.273764,0.273193,0.223358,0.288243
8,1.322521,1.316819,0.570146,1.408003,1.401726,0.627660,0.281369,0.281002,0.248091,0.304536
9,1.314697,1.308881,0.581602,1.404670,1.397699,0.697055,0.277567,0.277040,0.232686,0.314193
10,1.305638,1.299898,0.573979,1.420041,1.413585,0.645529,0.273764,0.273893,0.226798,0.267149
11,1.292284,1.286670,0.561392,1.430869,1.424262,0.660694,0.300380,0.300758,0.236161,0.362869
12,1.271375,1.265961,0.541358,1.457769,1.451597,0.617228,0.288973,0.289510,0.219199,0.270816
13,1.256322,1.250854,0.546839,1.484640,1.478458,0.618227,0.304182,0.304662,0.238847,0.380682
14,1.248547,1.243191,0.535602,1.506328,1.500386,0.594177,0.307985,0.308916,0.238432,0.269644
15,1.221012,1.215774,0.523782,1.561545,1.555685,0.585922,0.292776,0.293357,0.228178,0.259629
16,1.207638,1.202202,0.543593,1.547587,1.541484,0.610348,0.288973,0.288928,0.247991,0.316106
17,1.204919,1.199523,0.539563,1.545371,1.539073,0.629879,0.281369,0.281760,0.217250,0.278283
18,1.187630,1.182246,0.538353,1.609568,1.603615,0.595231,0.277567,0.277914,0.218610,0.283819
19,1.163975,1.158723,0.525185,1.554888,1.548879,0.600910,0.292776,0.293415,0.261604,0.294019
20,1.142502,1.137267,0.523531,1.507450,1.501754,0.569580,0.292776,0.293473,0.271492,0.287603
21,1.113740,1.108684,0.505650,1.551904,1.546390,0.551372,0.266160,0.266259,0.217400,0.283807
22,1.085002,1.079904,0.509780,1.564521,1.558981,0.554060,0.269962,0.269347,0.235547,0.293165
23,1.070081,1.065094,0.498685,1.609400,1.603811,0.558905,0.250951,0.250000,0.194318,0.185476
24,1.060568,1.055663,0.490509,1.592314,1.586947,0.536670,0.277567,0.276690,0.229158,0.455454
25,1.015429,1.010548,0.488059,1.593915,1.588698,0.521685,0.281369,0.280361,0.218375,0.451463
26,0.982588,0.977796,0.479254,1.635271,1.630132,0.513814,0.269962,0.269056,0.220292,0.444374
27,0.959078,0.954273,0.480467,1.608672,1.603312,0.536020,0.292776,0.291783,0.213436,0.434481
28,0.943103,0.938201,0.490134,1.659742,1.654506,0.523604,0.281369,0.280653,0.232978,0.343041
29,0.920823,0.916026,0.479625,1.699330,1.694170,0.516029,0.258555,0.258159,0.236349,0.257796
30,0.893868,0.889179,0.468856,1.635334,1.630384,0.494993,0.269962,0.269114,0.231336,0.293993
31,0.860277,0.855649,0.462815,1.633583,1.628699,0.488372,0.273764,0.272902,0.230042,0.254047
32,0.827376,0.822786,0.459005,1.708594,1.703678,0.491617,0.288973,0.289103,0.271907,0.280556
33,0.802997,0.798445,0.455238,1.649620,1.644807,0.481338,0.285171,0.284441,0.252169,0.294455
34,0.780748,0.776196,0.455139,1.646407,1.641603,0.480469,0.266160,0.265443,0.227879,0.264019
35,0.761136,0.756595,0.454100,1.663179,1.658426,0.475268,0.266160,0.265676,0.246407,0.255959
36,0.741689,0.737150,0.453920,1.628317,1.623523,0.479409,0.262357,0.261830,0.234115,0.245499
37,0.725439,0.720909,0.453003,1.630792,1.626050,0.474174,0.285171,0.284441,0.249909,0.273664
38,0.710206,0.705679,0.452700,1.636866,1.632093,0.477294,0.273764,0.273135,0.245304,0.273665
39,0.696378,0.691853,0.452557,1.648252,1.643513,0.473945,0.262357,0.261888,0.240346,0.257985
40,0.684956,0.680442,0.451368,1.647450,1.642721,0.472908,0.262357,0.261888,0.241046,0.263780
41,0.674775,0.670262,0.451313,1.649145,1.644426,0.471923,0.254753,0.254312,0.234653,0.249530
42,0.666680,0.662167,0.451313,1.657004,1.652285,0.471886,0.258555,0.258159,0.240182,0.252175
43,0.659969,0.655457,0.451187,1.652498,1.647769,0.472944,0.258555,0.258042,0.235615,0.244030
44,0.654589,0.650071,0.451838,1.659586,1.654846,0.474054,0.269962,0.269522,0.248049,0.259208
45,0.650372,0.645854,0.451818,1.666670,1.661949,0.472112,0.273764,0.273310,0.251159,0.260156
46,0.647782,0.643265,0.451666,1.667710,1.662993,0.471715,0.266160,0.265734,0.246150,0.254132
47,0.645935,0.641414,0.452075,1.664484,1.659767,0.471678,0.269962,0.269522,0.248380,0.255132
48,0.644986,0.640465,0.452087,1.668019,1.663298,0.472069,0.269962,0.269522,0.248380,0.255132
49,0.644721,0.640200,0.452083,1.667003,1.662280,0.472253,0.269962,0.269522,0.248608,0.254708
