epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,1.194704,1.387371,1.002037,1.194663,1.387442,1.001884,0.250951,0.251457,0.201063,0.206085
1,1.043280,1.422725,0.663835,1.214605,1.419870,1.009339,0.258555,0.261072,0.145732,0.395574
2,1.030367,1.457148,0.603587,1.346295,1.424866,1.267725,0.277567,0.279254,0.188124,0.266862
3,1.079105,1.416443,0.741767,1.679832,1.395045,1.964618,0.281369,0.281760,0.186283,0.150090
4,1.002953,1.387591,0.618315,1.148935,1.380981,0.916888,0.277567,0.277914,0.187860,0.268139
5,0.930258,1.369729,0.490786,1.017593,1.403920,0.631267,0.281369,0.281760,0.190933,0.270048
6,0.897443,1.369028,0.425858,1.015479,1.410340,0.620618,0.273764,0.274009,0.191459,0.268039
7,0.859038,1.364727,0.353349,0.948241,1.423065,0.473418,0.266160,0.266142,0.219036,0.255719
8,0.817379,1.342044,0.292715,0.910668,1.421592,0.399744,0.273764,0.274009,0.207586,0.216641
9,0.788941,1.337175,0.240708,0.893513,1.401282,0.385745,0.266160,0.266550,0.219244,0.259848
10,0.773055,1.333767,0.212343,0.877368,1.440521,0.314216,0.262357,0.262005,0.198169,0.333734
11,0.766692,1.336109,0.197274,0.842483,1.414043,0.270923,0.300380,0.300350,0.272633,0.322500
12,0.739291,1.313838,0.164745,0.850387,1.430369,0.270404,0.281369,0.280944,0.261986,0.297921
13,0.726594,1.298900,0.154287,0.843212,1.413204,0.273219,0.292776,0.292075,0.261733,0.317302
14,0.724893,1.296123,0.153664,0.831871,1.411861,0.251881,0.300380,0.299534,0.263284,0.378491
15,0.710015,1.278966,0.141064,0.825601,1.409562,0.241639,0.300380,0.299883,0.276008,0.316620
16,0.698625,1.263498,0.133752,0.833527,1.429807,0.237248,0.285171,0.284557,0.258098,0.284861
17,0.690406,1.253720,0.127092,0.832581,1.432645,0.232518,0.300380,0.299883,0.277713,0.316559
18,0.682737,1.241592,0.123881,0.832566,1.431650,0.233483,0.307985,0.307459,0.284572,0.325953
19,0.680676,1.238514,0.122839,0.832673,1.433941,0.231405,0.304182,0.303613,0.278890,0.314903
