epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,1.348123,1.386355,1.004038,1.372530,1.386286,1.248725,0.266160,0.265501,0.239517,0.263344
1,1.330675,1.390475,0.792475,1.443143,1.415056,1.695932,0.243346,0.245862,0.128354,0.177368
2,1.296842,1.376540,0.579555,1.333507,1.376331,0.948091,0.254753,0.256935,0.162163,0.511657
3,1.291397,1.375929,0.530607,1.318309,1.373196,0.824323,0.273764,0.274476,0.199699,0.221994
4,1.294161,1.377285,0.546042,1.401956,1.383632,1.566869,0.273764,0.274009,0.185180,0.207518
5,1.305564,1.372522,0.702943,1.386814,1.407118,1.204081,0.288973,0.289103,0.192512,0.405486
6,1.303907,1.373419,0.678301,1.401881,1.418922,1.248508,0.277567,0.277797,0.196087,0.278635
7,1.285595,1.369218,0.532995,1.356288,1.415540,0.823019,0.269962,0.270338,0.177517,0.139560
8,1.280750,1.372693,0.453264,1.312260,1.388760,0.623755,0.258555,0.259557,0.193133,0.204876
9,1.275292,1.371354,0.410731,1.314424,1.402834,0.518740,0.273764,0.274709,0.207114,0.272593
10,1.257696,1.357765,0.357077,1.312493,1.403134,0.496725,0.262357,0.262995,0.221871,0.233134
11,1.244441,1.345445,0.335405,1.326811,1.420911,0.479907,0.269962,0.271212,0.185663,0.384633
12,1.244664,1.344361,0.347386,1.312688,1.405483,0.477542,0.266160,0.266958,0.210692,0.296593
13,1.208961,1.308997,0.308639,1.345265,1.436118,0.527597,0.262357,0.261772,0.212810,0.274167
14,1.205657,1.305753,0.304789,1.360466,1.452823,0.529252,0.262357,0.261888,0.202733,0.294026
15,1.194452,1.292821,0.309123,1.346793,1.441971,0.490187,0.266160,0.266550,0.249912,0.277133
16,1.188056,1.289228,0.277501,1.342345,1.439662,0.466499,0.300380,0.300641,0.265480,0.296699
17,1.172340,1.270131,0.292221,1.305079,1.396087,0.486001,0.266160,0.266667,0.199344,0.282061
18,1.173100,1.272952,0.274434,1.353085,1.441166,0.560352,0.247148,0.246562,0.230112,0.252447
19,1.173648,1.272412,0.284772,1.400113,1.515856,0.358427,0.266160,0.265326,0.240983,0.303352
20,1.166130,1.268818,0.241935,1.381071,1.496996,0.337748,0.288973,0.288462,0.229067,0.362455
21,1.147613,1.251148,0.215798,1.446285,1.570206,0.331003,0.281369,0.281818,0.212965,0.363199
22,1.134394,1.238169,0.200413,1.349143,1.456975,0.378659,0.273764,0.273193,0.229524,0.256118
23,1.115296,1.217197,0.198182,1.391657,1.515660,0.275633,0.288973,0.288228,0.201580,0.315519
24,1.093182,1.193530,0.190046,1.377874,1.502231,0.258660,0.300380,0.299650,0.216270,0.336756
25,1.085985,1.187935,0.168435,1.374197,1.500218,0.240003,0.266160,0.266142,0.245594,0.263222
26,1.057671,1.157820,0.156336,1.392695,1.521043,0.237564,0.307985,0.307284,0.224248,0.354171
27,1.054961,1.154000,0.163605,1.388437,1.513684,0.261215,0.296578,0.295862,0.238688,0.335622
28,1.039142,1.136711,0.161022,1.377441,1.501975,0.256641,0.300380,0.299650,0.212655,0.347996
29,1.022454,1.119532,0.148750,1.382045,1.511292,0.218821,0.281369,0.280886,0.229897,0.291372
