epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,1.385435,1.385072,0.036329,1.385620,1.385329,0.029035,0.262357,0.262704,0.171831,0.133424
1,1.382810,1.382476,0.033387,1.382702,1.382396,0.030595,0.250951,0.253671,0.119990,0.362500
2,1.376799,1.376524,0.027561,1.378958,1.378715,0.024290,0.247148,0.248660,0.167114,0.248563
3,1.371912,1.371688,0.022462,1.377565,1.377384,0.018125,0.269962,0.270513,0.181062,0.141032
4,1.367919,1.367710,0.020909,1.377415,1.377234,0.018089,0.273764,0.274009,0.187929,0.175752
5,1.363658,1.363450,0.020856,1.379416,1.379222,0.019418,0.269962,0.269930,0.178237,0.171439
6,1.360341,1.360130,0.021087,1.377522,1.377292,0.023003,0.269962,0.270163,0.178185,0.147766
7,1.358832,1.358619,0.021250,1.384253,1.384026,0.022647,0.273764,0.274068,0.181427,0.148361
8,1.356632,1.356419,0.021334,1.382965,1.382716,0.024828,0.285171,0.285315,0.190977,0.405468
9,1.356547,1.356345,0.020180,1.379923,1.379712,0.021107,0.296578,0.296678,0.212263,0.353324
10,1.349994,1.349796,0.019807,1.379194,1.378985,0.020885,0.292776,0.292599,0.226619,0.325344
11,1.344603,1.344410,0.019315,1.391384,1.391193,0.019164,0.262357,0.261946,0.209189,0.332169
12,1.336526,1.336331,0.019425,1.386383,1.386185,0.019754,0.288973,0.288695,0.223698,0.390449
13,1.335620,1.335425,0.019574,1.382693,1.382495,0.019765,0.296578,0.296212,0.227202,0.336254
14,1.328694,1.328498,0.019661,1.394776,1.394584,0.019152,0.296578,0.296387,0.236575,0.419174
15,1.320750,1.320550,0.019997,1.389958,1.389765,0.019318,0.277567,0.277156,0.225566,0.274294
16,1.314649,1.314450,0.019826,1.411480,1.411277,0.020248,0.285171,0.284149,0.186876,0.228400
17,1.313052,1.312853,0.019913,1.411202,1.411001,0.020107,0.285171,0.284732,0.221793,0.456838
18,1.312555,1.312360,0.019502,1.406478,1.406299,0.017936,0.300380,0.299592,0.236228,0.339372
19,1.299997,1.299799,0.019724,1.402240,1.402053,0.018670,0.304182,0.303322,0.228822,0.305811
20,1.276240,1.276044,0.019637,1.465003,1.464821,0.018281,0.285171,0.285373,0.224833,0.293712
21,1.252916,1.252717,0.019889,1.460493,1.460284,0.020882,0.296578,0.296270,0.227788,0.308052
22,1.281321,1.281117,0.020307,1.429764,1.429576,0.018743,0.288973,0.288578,0.235261,0.282526
23,1.248962,1.248758,0.020328,1.448331,1.448150,0.018128,0.292776,0.291842,0.215738,0.366530
24,1.240270,1.240069,0.020088,1.469437,1.469245,0.019150,0.292776,0.292249,0.236643,0.341377
25,1.205190,1.204982,0.020753,1.470069,1.469866,0.020322,0.269962,0.269464,0.219969,0.260793
26,1.207899,1.207690,0.020895,1.532762,1.532560,0.020242,0.292776,0.292075,0.242700,0.332665
27,1.246260,1.246045,0.021445,1.495354,1.495164,0.018956,0.285171,0.284207,0.200382,0.390345
28,1.210485,1.210268,0.021729,1.509344,1.509148,0.019602,0.273764,0.272786,0.183799,0.238498
29,1.189438,1.189222,0.021645,1.491615,1.491418,0.019695,0.285171,0.284499,0.259185,0.288334
30,1.161522,1.161298,0.022322,1.526623,1.526412,0.021121,0.273764,0.273077,0.202028,0.315245
31,1.152869,1.152641,0.022813,1.559172,1.558945,0.022645,0.277567,0.277214,0.231594,0.297904
32,1.164708,1.164473,0.023536,1.516067,1.515861,0.020555,0.269962,0.269231,0.211800,0.294576
33,1.146844,1.146610,0.023422,1.548309,1.548103,0.020543,0.281369,0.280944,0.249669,0.291243
34,1.129673,1.129441,0.023132,1.516257,1.516063,0.019433,0.262357,0.261888,0.251054,0.256673
35,1.093619,1.093390,0.022953,1.574440,1.574236,0.020379,0.224335,0.223893,0.210007,0.223760
36,1.085024,1.084801,0.022289,1.628537,1.628345,0.019225,0.235741,0.235140,0.201487,0.222859
37,1.072161,1.071934,0.022748,1.645237,1.645045,0.019217,0.235741,0.235023,0.193325,0.265404
38,1.064039,1.063813,0.022585,1.661613,1.661417,0.019550,0.243346,0.242832,0.206805,0.236769
39,1.057852,1.057628,0.022441,1.622719,1.622537,0.018217,0.212928,0.212354,0.181310,0.220358
40,1.024083,1.023861,0.022256,1.646730,1.646532,0.019711,0.235741,0.235490,0.218739,0.222164
41,1.041629,1.041400,0.022819,1.632333,1.632151,0.018244,0.247148,0.246562,0.227010,0.250091
