epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,0.369879,0.693509,0.046250,0.362780,0.692934,0.032625,0.500284,0.500284,0.336961,0.519302
1,0.368094,0.692492,0.043696,0.361778,0.692334,0.031221,0.506243,0.506243,0.368463,0.549028
2,0.366752,0.691253,0.042250,0.360723,0.691695,0.029752,0.512486,0.512486,0.442319,0.525136
3,0.365564,0.689890,0.041239,0.359889,0.691073,0.028704,0.530363,0.530363,0.501425,0.539544
4,0.364457,0.688352,0.040562,0.359307,0.690539,0.028075,0.536322,0.536322,0.523229,0.540805
5,0.363252,0.686582,0.039922,0.358796,0.690016,0.027576,0.533485,0.533485,0.526233,0.535669
6,0.361940,0.684534,0.039347,0.358389,0.689567,0.027210,0.541146,0.541146,0.536809,0.542747
7,0.360444,0.682072,0.038816,0.357957,0.689000,0.026914,0.546538,0.546538,0.543616,0.547761
8,0.358686,0.679088,0.038284,0.357664,0.688623,0.026706,0.543417,0.543417,0.541051,0.544331
9,0.356545,0.675210,0.037880,0.357451,0.688359,0.026543,0.543700,0.543700,0.541748,0.544458
10,0.353802,0.670042,0.037561,0.357450,0.688401,0.026499,0.543984,0.543984,0.542050,0.544740
11,0.350158,0.662926,0.037389,0.357095,0.687752,0.026439,0.543417,0.543417,0.541013,0.544345
12,0.345231,0.652921,0.037542,0.357300,0.688332,0.026268,0.546538,0.546538,0.543698,0.547726
13,0.338935,0.639943,0.037927,0.357487,0.688392,0.026582,0.548524,0.548524,0.537627,0.553575
14,0.331333,0.624382,0.038284,0.357930,0.690287,0.025573,0.552213,0.552213,0.549948,0.553286
15,0.320858,0.603428,0.038287,0.358230,0.690988,0.025473,0.554200,0.554200,0.553021,0.554778
16,0.308796,0.579155,0.038438,0.361218,0.697043,0.025393,0.547673,0.547673,0.544146,0.549196
17,0.296998,0.555191,0.038805,0.363786,0.702051,0.025520,0.550511,0.550511,0.546774,0.552234
18,0.282536,0.526008,0.039065,0.366192,0.706593,0.025791,0.553632,0.553632,0.552478,0.554192
19,0.265081,0.490863,0.039299,0.370664,0.715495,0.025834,0.550227,0.550227,0.549309,0.550639
20,0.248115,0.456970,0.039260,0.374126,0.722319,0.025933,0.547106,0.547106,0.546348,0.547422
21,0.233427,0.427823,0.039030,0.373194,0.720119,0.026268,0.552781,0.552781,0.551585,0.553350
22,0.218999,0.399109,0.038890,0.380356,0.733987,0.026725,0.546822,0.546822,0.545966,0.547177
23,0.205166,0.371644,0.038687,0.386044,0.745337,0.026751,0.549376,0.549376,0.543434,0.552087
24,0.191972,0.345501,0.038442,0.388656,0.750424,0.026887,0.554200,0.554200,0.554008,0.554293
25,0.182676,0.326898,0.038455,0.393711,0.760497,0.026926,0.546822,0.546822,0.543078,0.548409
26,0.175455,0.312406,0.038504,0.401613,0.775721,0.027505,0.550227,0.550227,0.546416,0.551974
27,0.166758,0.294919,0.038596,0.407035,0.786860,0.027211,0.542565,0.542565,0.535782,0.545208
28,0.159225,0.279976,0.038474,0.417429,0.807496,0.027362,0.535471,0.535471,0.516896,0.541918
29,0.153122,0.267904,0.038340,0.411619,0.796329,0.026909,0.552213,0.552213,0.550364,0.553087
30,0.148837,0.259496,0.038178,0.420091,0.813282,0.026900,0.536890,0.536890,0.520683,0.542660
31,0.143794,0.249518,0.038071,0.412733,0.798697,0.026769,0.542565,0.542565,0.537849,0.544377
32,0.139248,0.240475,0.038021,0.417461,0.808416,0.026506,0.545119,0.545119,0.541455,0.546609
33,0.135991,0.234034,0.037948,0.422916,0.819314,0.026518,0.537174,0.537174,0.534999,0.537882
34,0.134436,0.230941,0.037931,0.424961,0.823487,0.026435,0.554200,0.554200,0.550563,0.556013
35,0.133040,0.228233,0.037847,0.433069,0.839779,0.026359,0.544552,0.544552,0.544177,0.544698
36,0.131679,0.225438,0.037920,0.437309,0.848240,0.026378,0.540295,0.540295,0.537856,0.541164
37,0.129894,0.221978,0.037810,0.436011,0.845747,0.026276,0.532917,0.532917,0.532791,0.532953
38,0.128635,0.219547,0.037724,0.439432,0.852731,0.026133,0.532066,0.532066,0.530414,0.532523
39,0.126930,0.216270,0.037589,0.437725,0.849212,0.026237,0.542282,0.542282,0.541226,0.542674
40,0.125723,0.213934,0.037511,0.437612,0.848986,0.026237,0.530647,0.530647,0.529500,0.530949
41,0.125347,0.213163,0.037530,0.434775,0.843465,0.026086,0.536606,0.536606,0.536336,0.536692
42,0.124891,0.212197,0.037585,0.438093,0.850058,0.026127,0.543133,0.543133,0.543131,0.543133
43,0.125090,0.212587,0.037593,0.430964,0.835807,0.026122,0.545970,0.545970,0.543747,0.546884
44,0.124076,0.210596,0.037557,0.435541,0.844931,0.026150,0.536890,0.536890,0.536789,0.536922
