epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,3.257625,3.253219,0.044059,3.260719,3.258255,0.024639,0.052941,0.058440,0.012143,0.011045
1,3.227524,3.223590,0.039344,3.261324,3.258120,0.032047,0.037647,0.038462,0.002791,0.001448
2,3.163720,3.160144,0.035758,3.260763,3.257417,0.033464,0.045882,0.047436,0.016986,0.035116
3,3.097738,3.094369,0.033684,3.257967,3.254563,0.034036,0.061176,0.064103,0.014811,0.009187
4,3.023591,3.020262,0.033292,3.234985,3.231827,0.031582,0.080000,0.081515,0.021483,0.031173
5,2.927577,2.924197,0.033795,3.213217,3.209984,0.032329,0.088235,0.088244,0.031921,0.030321
6,2.800383,2.796926,0.034576,3.155565,3.152083,0.034818,0.121176,0.116575,0.050167,0.081851
7,2.640031,2.636408,0.036231,3.099941,3.096393,0.035480,0.127059,0.122948,0.054947,0.065013
8,2.455441,2.451622,0.038195,3.076429,3.072793,0.036361,0.147059,0.146100,0.056383,0.047512
9,2.254684,2.250723,0.039612,2.859161,2.855180,0.039808,0.194118,0.189478,0.104259,0.150498
10,2.031871,2.027688,0.041826,2.866443,2.862353,0.040905,0.149412,0.145379,0.088018,0.196817
11,1.830285,1.825797,0.044882,2.699749,2.695347,0.044019,0.230588,0.231699,0.173176,0.308287
12,1.668182,1.663496,0.046865,2.769838,2.765358,0.044797,0.215294,0.218580,0.149775,0.245484
13,1.511629,1.506822,0.048069,2.720850,2.716452,0.043980,0.224706,0.226567,0.160913,0.296715
14,1.323340,1.318727,0.046123,2.543666,2.539372,0.042949,0.258824,0.254078,0.195265,0.382613
15,1.153098,1.148575,0.045227,2.426684,2.422404,0.042798,0.345882,0.347779,0.303350,0.480496
16,1.019285,1.014709,0.045758,2.252664,2.248252,0.044118,0.396471,0.391068,0.355055,0.428379
17,0.916696,0.912122,0.045739,2.236263,2.231942,0.043218,0.372941,0.372752,0.345721,0.469261
18,0.843126,0.838616,0.045101,2.125107,2.120759,0.043482,0.450588,0.446590,0.424650,0.516169
19,0.791773,0.787245,0.045282,2.162154,2.157774,0.043800,0.400000,0.402093,0.382275,0.493373
20,0.756086,0.751590,0.044967,2.089731,2.085287,0.044444,0.451765,0.449154,0.426739,0.512243
21,0.730585,0.726027,0.045571,2.111597,2.107127,0.044705,0.441176,0.441484,0.424037,0.506897
22,0.711972,0.707421,0.045505,2.110823,2.106321,0.045025,0.431765,0.433638,0.411679,0.496490
23,0.698276,0.693721,0.045555,2.112580,2.108090,0.044900,0.435294,0.436312,0.416175,0.489635
24,0.688026,0.683501,0.045248,2.102329,2.097835,0.044938,0.437647,0.438851,0.420993,0.480764
25,0.680205,0.675702,0.045036,2.108349,2.103860,0.044888,0.436471,0.438273,0.421457,0.492590
26,0.673841,0.669362,0.044796,2.121430,2.116937,0.044930,0.425882,0.426142,0.406124,0.486507
27,0.669125,0.664649,0.044759,2.106404,2.101912,0.044925,0.445882,0.448225,0.429282,0.503012
28,0.665521,0.661047,0.044737,2.132918,2.128422,0.044960,0.436471,0.439278,0.416106,0.486447
29,0.662317,0.657850,0.044670,2.126620,2.122122,0.044986,0.432941,0.436347,0.414066,0.491045
30,0.659806,0.655373,0.044332,2.139558,2.135066,0.044919,0.428235,0.432470,0.410731,0.488059
31,0.657734,0.653304,0.044293,2.138239,2.133731,0.045080,0.437647,0.440471,0.418520,0.499183
32,0.656143,0.651704,0.044390,2.134446,2.129966,0.044805,0.434118,0.436104,0.413386,0.477661
33,0.654679,0.650251,0.044284,2.139036,2.134546,0.044897,0.436471,0.438558,0.417195,0.485127
34,0.653458,0.649029,0.044289,2.141913,2.137429,0.044840,0.451765,0.456292,0.435744,0.504668
35,0.652446,0.648033,0.044124,2.147269,2.142791,0.044787,0.437647,0.440015,0.421297,0.496084
36,0.651563,0.647169,0.043936,2.137307,2.132834,0.044728,0.445882,0.447665,0.426191,0.491881
37,0.650804,0.646425,0.043794,2.141358,2.136891,0.044671,0.437647,0.440315,0.418500,0.486820
38,0.650249,0.645892,0.043567,2.143199,2.138725,0.044737,0.436471,0.437968,0.420971,0.494283
39,0.649729,0.645369,0.043597,2.143349,2.138882,0.044664,0.441176,0.442924,0.425697,0.499019
40,0.649373,0.645028,0.043445,2.138406,2.133935,0.044709,0.445882,0.447433,0.429726,0.503353
41,0.649046,0.644707,0.043391,2.144160,2.139692,0.044677,0.438824,0.440757,0.423296,0.500405
42,0.648789,0.644469,0.043208,2.142499,2.138033,0.044658,0.438824,0.439962,0.422311,0.494769
43,0.648569,0.644234,0.043345,2.142471,2.138008,0.044628,0.437647,0.439074,0.422043,0.493971
44,0.648371,0.644045,0.043261,2.144442,2.139982,0.044603,0.444706,0.446332,0.427956,0.494988
45,0.648280,0.643962,0.043181,2.146625,2.142167,0.044580,0.436471,0.439124,0.421817,0.488735
46,0.648189,0.643873,0.043159,2.144431,2.139972,0.044583,0.432941,0.435165,0.416098,0.482451
47,0.648100,0.643784,0.043162,2.141917,2.137458,0.044584,0.442353,0.444389,0.424892,0.490737
48,0.648125,0.643815,0.043107,2.145164,2.140705,0.044595,0.440000,0.441627,0.424399,0.499145
49,0.648107,0.643795,0.043120,2.144416,2.139955,0.044607,0.437647,0.439393,0.422069,0.496735
