epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,1.655664,3.260635,0.050693,1.641187,3.258782,0.023592,0.037647,0.043648,0.013206,0.029080
1,1.632617,3.223924,0.041310,1.641922,3.252911,0.030933,0.072941,0.064988,0.010665,0.005809
2,1.594580,3.155583,0.033577,1.634377,3.237493,0.031261,0.075294,0.075224,0.029062,0.021929
3,1.556027,3.083449,0.028604,1.625337,3.227167,0.023507,0.068235,0.070632,0.017837,0.016329
4,1.513395,3.002470,0.024320,1.615019,3.209916,0.020121,0.071765,0.074866,0.014455,0.025349
5,1.464711,2.909291,0.020130,1.595200,3.172770,0.017629,0.075294,0.078595,0.015908,0.050437
6,1.405387,2.794183,0.016591,1.565788,3.116008,0.015567,0.084706,0.086708,0.028420,0.077631
7,1.334355,2.654312,0.014398,1.525845,3.035555,0.016134,0.108235,0.107969,0.050893,0.096699
8,1.250733,2.488026,0.013440,1.486630,2.958865,0.014396,0.140000,0.138208,0.084257,0.197753
9,1.157341,2.301794,0.012888,1.447106,2.879629,0.014583,0.165882,0.162565,0.104532,0.170375
10,1.056496,2.101029,0.011962,1.407467,2.802536,0.012398,0.190588,0.189649,0.126829,0.219521
11,0.953097,1.895141,0.011053,1.376979,2.742174,0.011783,0.224706,0.224839,0.160624,0.264623
12,0.860233,1.710310,0.010155,1.350889,2.690202,0.011576,0.264706,0.265313,0.201926,0.316006
13,0.776324,1.543043,0.009604,1.327851,2.645410,0.010291,0.268235,0.266734,0.206011,0.267478
14,0.705963,1.402615,0.009311,1.321458,2.633357,0.009560,0.254118,0.251348,0.208336,0.311005
15,0.638571,1.268098,0.009043,1.299447,2.589830,0.009064,0.278824,0.276553,0.255115,0.394995
16,0.568452,1.128690,0.008214,1.267503,2.526310,0.008696,0.332941,0.334331,0.302823,0.517020
17,0.507319,1.006829,0.007808,1.261200,2.514261,0.008139,0.312941,0.319516,0.271049,0.475963
18,0.457652,0.908077,0.007228,1.253664,2.499598,0.007730,0.317647,0.323022,0.289475,0.432220
19,0.419475,0.832255,0.006696,1.194789,2.382468,0.007111,0.400000,0.396184,0.368050,0.461432
20,0.387812,0.769520,0.006104,1.190607,2.374282,0.006932,0.381176,0.379832,0.348733,0.467694
21,0.369353,0.733074,0.005633,1.182543,2.358676,0.006411,0.436471,0.433185,0.407541,0.463394
22,0.357113,0.709018,0.005208,1.178994,2.351721,0.006268,0.424706,0.419631,0.390677,0.462751
23,0.349280,0.693632,0.004929,1.182965,2.359786,0.006145,0.425882,0.423918,0.400628,0.448365
24,0.343821,0.683029,0.004612,1.182747,2.359524,0.005970,0.418824,0.415884,0.389974,0.437466
25,0.339916,0.675349,0.004483,1.187566,2.369354,0.005778,0.423529,0.423053,0.396772,0.442164
26,0.336895,0.669543,0.004247,1.189419,2.372971,0.005866,0.422353,0.421182,0.394196,0.436339
27,0.334531,0.665020,0.004043,1.192168,2.378643,0.005693,0.420000,0.419212,0.390234,0.431679
28,0.332671,0.661466,0.003877,1.195636,2.385753,0.005519,0.418824,0.418833,0.390750,0.433603
29,0.331201,0.658670,0.003733,1.197049,2.388564,0.005534,0.417647,0.417027,0.388747,0.425617
30,0.329982,0.656326,0.003638,1.200396,2.395382,0.005411,0.417647,0.417735,0.391306,0.436570
31,0.328932,0.654324,0.003540,1.201712,2.397970,0.005453,0.420000,0.419429,0.391448,0.431307
32,0.328060,0.652698,0.003422,1.203462,2.401539,0.005384,0.422353,0.421537,0.394565,0.437572
33,0.327354,0.651335,0.003373,1.206062,2.406764,0.005360,0.421176,0.420705,0.394159,0.437260
34,0.326740,0.650205,0.003275,1.206909,2.408534,0.005285,0.414118,0.413491,0.388314,0.426800
35,0.326228,0.649242,0.003214,1.208306,2.411253,0.005359,0.415294,0.414848,0.387067,0.429026
36,0.325783,0.648411,0.003154,1.209710,2.414160,0.005261,0.414118,0.413925,0.386963,0.430694
37,0.325405,0.647712,0.003098,1.210544,2.415838,0.005251,0.411765,0.411475,0.384399,0.431692
38,0.325112,0.647170,0.003054,1.211611,2.417958,0.005263,0.418824,0.418213,0.392795,0.441877
39,0.324848,0.646670,0.003026,1.212064,2.418891,0.005238,0.415294,0.414965,0.388063,0.438989
40,0.324634,0.646281,0.002987,1.212632,2.420020,0.005244,0.421176,0.420831,0.394344,0.446713
41,0.324471,0.645968,0.002975,1.212795,2.420342,0.005248,0.414118,0.413693,0.387540,0.438410
42,0.324328,0.645695,0.002961,1.213572,2.421905,0.005240,0.414118,0.413976,0.387090,0.435228
43,0.324215,0.645498,0.002932,1.213747,2.422279,0.005215,0.417647,0.417354,0.392885,0.440925
44,0.324113,0.645311,0.002915,1.214096,2.422956,0.005236,0.414118,0.413676,0.388290,0.438122
45,0.324057,0.645203,0.002910,1.214427,2.423617,0.005238,0.417647,0.416783,0.393292,0.444921
46,0.324013,0.645128,0.002899,1.214123,2.423017,0.005230,0.418824,0.418083,0.393792,0.444451
47,0.323982,0.645075,0.002889,1.214442,2.423654,0.005229,0.417647,0.417043,0.392221,0.443219
48,0.323975,0.645062,0.002887,1.214432,2.423637,0.005228,0.415294,0.414676,0.388287,0.436810
49,0.323975,0.645061,0.002889,1.214464,2.423699,0.005228,0.415294,0.414676,0.388287,0.436810
