epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,0.763729,0.689873,0.103158,0.072824,0.753725,0.687756,0.435697,0.061612,"tensor(0.6439, device='cuda:2')","tensor([0.8176, 0.1930], device='cuda:2')","tensor(0.4999, device='cuda:2')","tensor(0.5070, device='cuda:2')"
1,0.732593,0.660154,0.101750,0.071422,0.696540,0.630990,0.557488,0.059975,"tensor(0.7122, device='cuda:2')","tensor([0.9865, 0.0000], device='cuda:2')","tensor(0.4160, device='cuda:2')","tensor(0.3596, device='cuda:2')"
2,0.677993,0.609566,0.116018,0.067267,0.646291,0.583060,0.647965,0.056751,"tensor(0.7220, device='cuda:2')","tensor([1., 0.], device='cuda:2')","tensor(0.4193, device='cuda:2')","tensor(0.3610, device='cuda:2')"
3,0.652425,0.588993,0.162863,0.061803,0.625568,0.566646,0.678680,0.052135,"tensor(0.7220, device='cuda:2')","tensor([1., 0.], device='cuda:2')","tensor(0.4193, device='cuda:2')","tensor(0.3610, device='cuda:2')"
4,0.635756,0.576817,0.212150,0.056817,0.611564,0.556961,0.661063,0.047992,"tensor(0.7171, device='cuda:2')","tensor([0.9932, 0.0000], device='cuda:2')","tensor(0.4176, device='cuda:2')","tensor(0.3603, device='cuda:2')"
5,0.615550,0.558606,0.245358,0.054490,0.600664,0.547566,0.646110,0.046636,"tensor(0.7268, device='cuda:2')","tensor([0.9932, 0.0351], device='cuda:2')","tensor(0.4533, device='cuda:2')","tensor(0.6972, device='cuda:2')"
6,0.594332,0.537492,0.262830,0.054211,0.590183,0.537574,0.671292,0.045897,"tensor(0.7268, device='cuda:2')","tensor([0.9932, 0.0351], device='cuda:2')","tensor(0.4533, device='cuda:2')","tensor(0.6972, device='cuda:2')"
7,0.566199,0.508202,0.286876,0.055129,0.596267,0.543992,0.696111,0.045314,"tensor(0.7317, device='cuda:2')","tensor([0.9932, 0.0526], device='cuda:2')","tensor(0.4704, device='cuda:2')","tensor(0.7407, device='cuda:2')"
8,0.521449,0.463568,0.282847,0.055053,0.608313,0.556473,0.631152,0.045528,"tensor(0.7220, device='cuda:2')","tensor([0.9527, 0.1228], device='cuda:2')","tensor(0.5145, device='cuda:2')","tensor(0.6191, device='cuda:2')"
9,0.467226,0.407358,0.299802,0.056870,0.658357,0.605734,0.657734,0.046046,"tensor(0.6293, device='cuda:2')","tensor([0.6757, 0.5088], device='cuda:2')","tensor(0.5787, device='cuda:2')","tensor(0.5789, device='cuda:2')"
