epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,0.689774,0.687346,0.024278,0.688069,0.687657,0.004128,0.687805,0.514106,0.493358,0.530797
1,0.656303,0.653989,0.023140,0.645446,0.644919,0.005270,0.731707,0.582266,0.584577,0.649119
2,0.589936,0.587909,0.020265,0.590211,0.589429,0.007829,0.731707,0.587660,0.591855,0.649213
3,0.556465,0.554671,0.017939,0.546449,0.545443,0.010062,0.756098,0.615339,0.625694,0.702455
4,0.542123,0.540505,0.016179,0.515113,0.513996,0.011168,0.746341,0.597795,0.603659,0.683333
5,0.533624,0.532110,0.015141,0.493437,0.492290,0.011477,0.736585,0.585645,0.588415,0.660556
6,0.525630,0.524269,0.013606,0.485706,0.484564,0.011425,0.746341,0.597795,0.603659,0.683333
7,0.513750,0.512469,0.012807,0.488455,0.487318,0.011369,0.746341,0.603189,0.610722,0.681128
8,0.498029,0.496812,0.012169,0.487200,0.486167,0.010337,0.756098,0.620733,0.632142,0.699549
9,0.478766,0.477567,0.011997,0.491919,0.491120,0.007986,0.760976,0.634898,0.648395,0.705564
10,0.461751,0.460560,0.011902,0.486423,0.485815,0.006082,0.731707,0.614628,0.623225,0.652379
11,0.448314,0.447159,0.011553,0.489343,0.488807,0.005361,0.741463,0.632172,0.642140,0.668939
12,0.436655,0.435488,0.011667,0.463522,0.463005,0.005171,0.751220,0.633535,0.645365,0.685158
13,0.423434,0.422273,0.011616,0.455112,0.454630,0.004817,0.765854,0.659851,0.673567,0.708295
14,0.409131,0.407995,0.011362,0.459091,0.458628,0.004630,0.760976,0.661866,0.673747,0.699460
15,0.397206,0.396062,0.011440,0.457809,0.457343,0.004658,0.760976,0.651079,0.664328,0.700835
16,0.383689,0.382524,0.011652,0.453460,0.452983,0.004767,0.770732,0.657835,0.673179,0.718853
17,0.374234,0.373061,0.011725,0.455313,0.454821,0.004923,0.770732,0.652442,0.668091,0.721190
18,0.364792,0.363610,0.011820,0.452635,0.452126,0.005091,0.770732,0.657835,0.673179,0.718853
19,0.356416,0.355219,0.011973,0.446431,0.445912,0.005196,0.765854,0.649064,0.663659,0.711345
20,0.348190,0.346979,0.012109,0.440238,0.439709,0.005297,0.770732,0.647048,0.662746,0.724079
21,0.339712,0.338497,0.012155,0.439719,0.439176,0.005427,0.770732,0.652442,0.668091,0.721190
22,0.334271,0.333053,0.012179,0.440450,0.439892,0.005579,0.765854,0.643670,0.658333,0.713531
23,0.326927,0.325711,0.012156,0.447475,0.446909,0.005658,0.751220,0.638928,0.650627,0.684683
24,0.319325,0.318102,0.012229,0.443873,0.443291,0.005820,0.756098,0.642307,0.654929,0.693131
25,0.312782,0.311553,0.012295,0.451526,0.450945,0.005807,0.756098,0.620733,0.632142,0.699549
26,0.308606,0.307385,0.012209,0.452291,0.451691,0.006002,0.746341,0.624763,0.635630,0.676891
27,0.302496,0.301259,0.012375,0.453439,0.452833,0.006060,0.765854,0.665244,0.678179,0.707317
28,0.297297,0.296060,0.012373,0.446670,0.446069,0.006008,0.741463,0.626778,0.636926,0.668531
