epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,0.757551,0.693620,1.013275,0.624549,0.690826,0.359443,0.570732,0.459993,0.459492,0.459091
1,0.737264,0.669992,1.006352,0.672738,0.659636,0.725147,0.726829,0.551920,0.538288,0.637046
2,0.693682,0.620447,0.986623,0.876074,0.618464,1.906516,0.721951,0.586297,0.590990,0.631503
3,0.660138,0.585157,0.960061,1.073687,0.592439,2.998676,0.721951,0.597084,0.603643,0.634615
4,0.635548,0.561179,0.933025,1.058554,0.576528,2.986657,0.726829,0.600462,0.607602,0.642437
5,0.616899,0.541329,0.919179,0.976811,0.566006,2.620031,0.731707,0.593054,0.598769,0.649524
6,0.602457,0.524623,0.913794,0.912303,0.558400,2.327917,0.736585,0.591038,0.595749,0.659800
7,0.589297,0.509048,0.910294,0.845242,0.549354,2.028797,0.736585,0.585645,0.588415,0.660556
8,0.578125,0.495410,0.908988,0.792119,0.540445,1.798815,0.741463,0.589023,0.592292,0.672882
9,0.575813,0.491755,0.912048,0.851766,0.515259,2.197792,0.765854,0.611309,0.620019,0.743012
10,0.569270,0.482027,0.918241,0.790850,0.514918,1.894576,0.770732,0.620081,0.631535,0.751615
11,0.559021,0.468208,0.922271,0.743477,0.514407,1.659757,0.756098,0.582978,0.578813,0.745614
12,0.550401,0.457027,0.923898,0.726339,0.516471,1.565811,0.775610,0.618065,0.628506,0.781834
13,0.542725,0.447346,0.924239,0.701547,0.516300,1.442535,0.765854,0.589734,0.586555,0.803285
14,0.533284,0.434978,0.926510,0.686051,0.516106,1.365831,0.770732,0.598506,0.599693,0.810770
15,0.523046,0.421826,0.927927,0.670889,0.509574,1.316149,0.770732,0.593113,0.590505,0.839162
16,0.513971,0.410169,0.929178,0.664327,0.514438,1.263885,0.760976,0.634898,0.648395,0.705564
17,0.507034,0.400952,0.931365,0.668169,0.520399,1.259249,0.741463,0.551268,0.527218,0.721795
18,0.503205,0.395482,0.934095,0.651995,0.490330,1.298652,0.770732,0.652442,0.668091,0.721190
19,0.497025,0.387276,0.936019,0.653801,0.505099,1.248609,0.765854,0.627489,0.640666,0.723783
20,0.486922,0.373005,0.942591,0.627160,0.482013,1.207745,0.756098,0.572191,0.559254,0.785380
21,0.479940,0.363334,0.946365,0.619602,0.468209,1.225176,0.770732,0.630868,0.645002,0.737215
22,0.472317,0.352767,0.950514,0.626689,0.487441,1.183679,0.775610,0.661214,0.677673,0.728571
23,0.467942,0.346274,0.954614,0.616325,0.460111,1.241179,0.770732,0.647048,0.662746,0.724079
24,0.461768,0.338195,0.956057,0.609824,0.471546,1.162936,0.760976,0.640292,0.653967,0.703560
25,0.458320,0.332682,0.960872,0.633711,0.457911,1.336908,0.775610,0.661214,0.677673,0.728571
26,0.453332,0.327420,0.956978,0.627328,0.469813,1.257386,0.780488,0.680773,0.696156,0.731061
27,0.449364,0.321498,0.960826,0.604572,0.452872,1.211375,0.765854,0.649064,0.663659,0.711345
28,0.442882,0.313266,0.961346,0.597757,0.452758,1.177757,0.770732,0.657835,0.673179,0.718853
29,0.437454,0.305939,0.963514,0.594972,0.453472,1.160976,0.765854,0.654457,0.668732,0.709620
30,0.434023,0.301008,0.966082,0.591419,0.450040,1.156933,0.775610,0.666607,0.682534,0.726110
31,0.429944,0.295092,0.969356,0.590958,0.448891,1.159223,0.785366,0.684151,0.700770,0.739960
32,0.426560,0.290850,0.969400,0.591865,0.442330,1.190004,0.780488,0.675379,0.691729,0.733139
33,0.423192,0.286881,0.968433,0.593314,0.447464,1.176713,0.780488,0.675379,0.691729,0.733139
34,0.420853,0.283198,0.971474,0.594057,0.440450,1.208484,0.775610,0.666607,0.682534,0.726110
35,0.418644,0.280310,0.971982,0.596178,0.449197,1.184100,0.780488,0.686166,0.700380,0.729404
36,0.417322,0.278371,0.973128,0.598591,0.436627,1.246447,0.770732,0.663229,0.678028,0.716987
37,0.414614,0.275409,0.971433,0.598521,0.444802,1.213394,0.780488,0.686166,0.700380,0.729404
38,0.413280,0.273247,0.973413,0.595840,0.437002,1.231192,0.790244,0.682136,0.700994,0.752548
39,0.411073,0.270617,0.972898,0.596666,0.437565,1.233070,0.780488,0.675379,0.691729,0.733139
40,0.409973,0.269061,0.973621,0.596636,0.439389,1.225620,0.770732,0.674016,0.687064,0.714432
41,0.409378,0.268085,0.974551,0.597243,0.437012,1.238167,0.780488,0.680773,0.696156,0.731061
42,0.408408,0.266965,0.974180,0.598958,0.436089,1.250436,0.780488,0.680773,0.696156,0.731061
43,0.407532,0.265895,0.974081,0.599628,0.436560,1.251899,0.790244,0.692923,0.709660,0.746591
44,0.407112,0.265329,0.974244,0.600276,0.437073,1.253086,0.785366,0.689545,0.704997,0.737805
45,0.406885,0.265025,0.974325,0.600818,0.436899,1.256491,0.785366,0.684151,0.700770,0.739960
46,0.406566,0.264609,0.974395,0.601249,0.436538,1.260094,0.785366,0.684151,0.700770,0.739960
47,0.406502,0.264517,0.974442,0.601379,0.436040,1.262734,0.780488,0.675379,0.691729,0.733139
48,0.406357,0.264376,0.974281,0.601778,0.436113,1.264438,0.785366,0.684151,0.700770,0.739960
49,0.406309,0.264303,0.974330,0.602062,0.436201,1.265507,0.785366,0.684151,0.700770,0.739960
