epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,0.849870,0.693368,1.006373,0.527572,0.693141,0.362002,0.682927,0.575450,0.578603,0.587025
1,0.829986,0.687791,0.972181,13.712889,0.528157,26.897621,0.746341,0.592402,0.596212,0.686216
2,0.740763,0.665482,0.816044,3.858071,0.539552,7.176589,0.756098,0.604552,0.611742,0.710702
3,0.654225,0.603706,0.704745,2.276475,0.616936,3.936015,0.741463,0.556662,0.538229,0.706390
4,0.625606,0.601130,0.650082,1.657267,0.713995,2.600540,0.726829,0.514165,0.453333,0.697195
5,0.603950,0.570872,0.637028,1.180243,0.535668,1.824818,0.736585,0.531709,0.486930,0.767500
6,0.561381,0.546545,0.576218,1.042845,0.648738,1.436952,0.726829,0.508772,0.437696,0.862745
7,0.632842,0.722123,0.543561,0.895192,0.642849,1.147535,0.770732,0.609294,0.616517,0.773916
8,0.519318,0.569551,0.469084,0.728060,0.527013,0.929107,0.751220,0.655109,0.665000,0.684712
9,0.464259,0.483143,0.445375,0.776929,0.566419,0.987440,0.751220,0.579599,0.575017,0.722057
10,0.429270,0.465571,0.392969,0.622470,0.516709,0.728230,0.751220,0.568812,0.555655,0.750648
11,0.406312,0.432913,0.379711,0.593229,0.487877,0.698582,0.751220,0.584993,0.583881,0.713012
12,0.375780,0.413942,0.337617,0.585388,0.490081,0.680695,0.760976,0.597143,0.600199,0.743464
13,0.345167,0.386462,0.303872,0.519341,0.493781,0.544902,0.760976,0.597143,0.600199,0.743464
14,0.331156,0.378207,0.284106,0.490832,0.471667,0.509996,0.756098,0.609945,0.618902,0.706111
15,0.316314,0.363280,0.269349,0.478544,0.459783,0.497304,0.760976,0.634898,0.648395,0.705564
16,0.306193,0.352568,0.259818,0.466495,0.465830,0.467161,0.751220,0.628141,0.639843,0.685930
17,0.297497,0.343869,0.251125,0.459264,0.471596,0.446931,0.770732,0.663229,0.678028,0.716987
18,0.286149,0.333624,0.238673,0.441449,0.461720,0.421177,0.785366,0.684151,0.700770,0.739960
19,0.279563,0.323104,0.236022,0.449072,0.481745,0.416400,0.751220,0.671290,0.677524,0.686452
20,0.275130,0.319405,0.230855,0.440201,0.463205,0.417197,0.790244,0.682136,0.700994,0.752548
21,0.267449,0.308327,0.226572,0.437935,0.456227,0.419643,0.785366,0.673364,0.691687,0.745798
22,0.265462,0.307213,0.223711,0.434956,0.455820,0.414093,0.790244,0.676743,0.696338,0.756450
23,0.262612,0.301896,0.223327,0.435013,0.454095,0.415930,0.785366,0.673364,0.691687,0.745798
24,0.259083,0.297175,0.220992,0.435071,0.453118,0.417023,0.785366,0.673364,0.691687,0.745798
25,0.256031,0.292015,0.220048,0.436153,0.454193,0.418112,0.780488,0.664592,0.682214,0.738820
26,0.254820,0.291020,0.218620,0.439656,0.454600,0.424711,0.780488,0.664592,0.682214,0.738820
27,0.253744,0.289513,0.217974,0.440355,0.454171,0.426538,0.785366,0.673364,0.691687,0.745798
28,0.252698,0.287652,0.217744,0.440980,0.454486,0.427475,0.785366,0.673364,0.691687,0.745798
29,0.252081,0.286987,0.217175,0.441121,0.454558,0.427685,0.790244,0.682136,0.700994,0.752548
