epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,2.267562,2.166340,1.012217,2.248907,2.162025,0.868820,0.127027,0.158831,0.118693,0.171598
1,1.849603,1.749684,0.999190,1.376592,1.270696,1.058961,0.864865,0.874358,0.836661,0.871018
2,1.244292,1.149897,0.943948,0.736565,0.646106,0.904588,0.927027,0.935179,0.919772,0.923823
3,0.887453,0.799954,0.874991,0.422864,0.346356,0.765080,0.967568,0.970786,0.966342,0.962742
4,0.732176,0.645273,0.869030,0.319951,0.242558,0.773937,0.975676,0.980021,0.977325,0.975051
5,0.653830,0.568989,0.848419,0.290473,0.214158,0.763146,0.983784,0.986371,0.984307,0.982543
6,0.613431,0.530989,0.824421,0.253357,0.180243,0.731139,0.986486,0.986327,0.984981,0.983989
7,0.593370,0.514962,0.784077,0.256541,0.184700,0.718410,0.978378,0.978715,0.978310,0.978342
8,0.581876,0.507199,0.746773,0.231351,0.163699,0.676519,0.983784,0.983153,0.982293,0.981766
9,0.571907,0.502614,0.692930,0.237231,0.173738,0.634929,0.986486,0.986327,0.984981,0.983989
10,0.563037,0.498390,0.646474,0.270309,0.206220,0.640898,0.981081,0.979978,0.979580,0.979619
11,0.558978,0.496858,0.621198,0.249947,0.186958,0.629891,0.983784,0.985064,0.983260,0.981854
12,0.554753,0.495440,0.593134,0.220919,0.161625,0.592946,0.986486,0.986327,0.984981,0.983989
13,0.551392,0.495186,0.562062,0.229053,0.169829,0.592245,0.981081,0.981890,0.980594,0.979713
14,0.547579,0.494012,0.535665,0.255134,0.198231,0.569027,0.986486,0.988896,0.986985,0.985253
15,0.543006,0.492603,0.504037,0.229496,0.173571,0.559250,0.986486,0.988896,0.986985,0.985253
16,0.538063,0.490683,0.473800,0.233042,0.178231,0.548117,0.981081,0.982547,0.981626,0.981043
17,0.533724,0.489296,0.444279,0.235164,0.183419,0.517448,0.983784,0.985721,0.984319,0.983112
18,0.529226,0.488352,0.408735,0.229449,0.179925,0.495232,0.981081,0.982547,0.981626,0.981043
19,0.525532,0.487737,0.377953,0.230426,0.182484,0.479415,0.983784,0.985721,0.984319,0.983112
20,0.522374,0.487434,0.349399,0.226728,0.180914,0.458137,0.983784,0.985721,0.984319,0.983112
21,0.519052,0.487184,0.318679,0.227585,0.182802,0.447825,0.983784,0.985721,0.984319,0.983112
22,0.516806,0.486977,0.298294,0.228467,0.185331,0.431360,0.983784,0.985721,0.984319,0.983112
23,0.514536,0.486875,0.276612,0.225569,0.182559,0.430102,0.981081,0.982547,0.981626,0.981043
24,0.513082,0.486763,0.263182,0.226415,0.185196,0.412190,0.981081,0.982547,0.981626,0.981043
25,0.512198,0.486712,0.254854,0.225533,0.184552,0.409817,0.981081,0.982547,0.981626,0.981043
26,0.511640,0.486645,0.249952,0.224885,0.184221,0.406631,0.981081,0.982547,0.981626,0.981043
27,0.510873,0.486593,0.242796,0.224436,0.184077,0.403582,0.983784,0.985721,0.984319,0.983112
28,0.510439,0.486574,0.238654,0.224943,0.184643,0.402997,0.983784,0.985721,0.984319,0.983112
29,0.510211,0.486584,0.236266,0.224710,0.184105,0.406045,0.983784,0.985721,0.984319,0.983112
