epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,2.295187,2.194807,1.003806,2.280321,2.193435,0.868851,0.178378,0.190897,0.103111,0.116179
1,2.269615,2.169968,0.996470,2.256424,2.155572,1.008519,0.254054,0.291124,0.200167,0.220966
2,2.209553,2.112030,0.975236,2.160683,2.061317,0.993664,0.700000,0.751008,0.717439,0.815228
3,2.127480,2.035349,0.921315,2.042206,1.954649,0.875568,0.851351,0.863079,0.829649,0.861527
4,2.015312,1.932511,0.828010,1.891763,1.816129,0.756344,0.856757,0.867395,0.828155,0.865662
5,1.868672,1.795685,0.729871,1.708181,1.642428,0.657524,0.851351,0.864306,0.813789,0.865489
6,1.701513,1.637907,0.636061,1.520566,1.463185,0.573803,0.851351,0.865915,0.812801,0.865955
7,1.543173,1.486911,0.562626,1.356074,1.304889,0.511848,0.859459,0.874191,0.826448,0.873187
8,1.406876,1.355411,0.514652,1.216879,1.170273,0.466053,0.872973,0.887863,0.847527,0.887665
9,1.292244,1.244470,0.477741,1.099440,1.056151,0.432891,0.875676,0.890086,0.850579,0.886550
10,1.197054,1.151931,0.451223,0.997024,0.956502,0.405219,0.905405,0.914530,0.892879,0.907831
11,1.115925,1.073365,0.425597,0.914301,0.875228,0.390732,0.927027,0.935526,0.919188,0.924544
12,1.049901,1.008719,0.411818,0.845443,0.807486,0.379571,0.937838,0.944415,0.931160,0.932366
13,0.994001,0.954251,0.397503,0.788816,0.751504,0.373119,0.940541,0.949206,0.936239,0.934427
14,0.947860,0.909259,0.386008,0.744092,0.707196,0.368955,0.959459,0.963802,0.954088,0.950261
15,0.910450,0.872525,0.379248,0.706079,0.669492,0.365868,0.962162,0.965469,0.956620,0.952446
16,0.878379,0.841048,0.373304,0.675053,0.638506,0.365472,0.962162,0.966428,0.958430,0.953903
17,0.853099,0.816279,0.368201,0.649287,0.612952,0.363347,0.967568,0.970873,0.964769,0.960392
18,0.831794,0.795289,0.365051,0.629955,0.593518,0.364377,0.970270,0.973095,0.967556,0.963498
19,0.814872,0.778587,0.362849,0.610270,0.573967,0.363028,0.970270,0.973095,0.967556,0.963498
20,0.800376,0.764357,0.360194,0.596582,0.560320,0.362620,0.972973,0.975317,0.970453,0.966671
21,0.788752,0.752852,0.359009,0.586101,0.549804,0.362966,0.975676,0.977539,0.973936,0.971214
22,0.779563,0.743934,0.356286,0.575090,0.538892,0.361980,0.975676,0.977539,0.973936,0.971214
23,0.772024,0.736627,0.353973,0.569030,0.532563,0.364669,0.975676,0.977539,0.973936,0.971214
24,0.767461,0.732286,0.351750,0.564760,0.528383,0.363769,0.975676,0.977539,0.973936,0.971214
25,0.763608,0.728495,0.351129,0.561095,0.524753,0.363416,0.975676,0.977539,0.973936,0.971214
26,0.760927,0.725897,0.350299,0.559174,0.522704,0.364699,0.975676,0.977539,0.973936,0.971214
27,0.759334,0.724360,0.349747,0.558036,0.521591,0.364450,0.975676,0.977539,0.973936,0.971214
28,0.758431,0.723478,0.349524,0.557184,0.520732,0.364524,0.975676,0.977539,0.973936,0.971214
29,0.758011,0.723049,0.349626,0.557061,0.520602,0.364587,0.975676,0.977539,0.973936,0.971214
