epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,2.207262,2.197131,1.013091,2.199094,2.190406,0.868797,0.164865,0.194239,0.135473,0.300124
1,1.711075,1.701473,0.960196,1.023352,1.013573,0.977939,0.837838,0.854464,0.809020,0.867112
2,1.087297,1.078959,0.833799,0.510135,0.502795,0.733963,0.908108,0.922856,0.905001,0.911041
3,0.742128,0.734594,0.753418,0.252799,0.246007,0.679177,0.967568,0.975620,0.970274,0.967175
4,0.585648,0.578835,0.681323,0.150502,0.144546,0.595537,0.986486,0.987633,0.985605,0.983980
5,0.542427,0.535988,0.643891,0.156778,0.151023,0.575525,0.983784,0.985064,0.982524,0.980295
6,0.525079,0.519280,0.579915,0.163043,0.157632,0.541130,0.983784,0.981241,0.982201,0.983561
7,0.520745,0.515278,0.546706,0.153605,0.148378,0.522687,0.983784,0.983153,0.981851,0.980903
8,0.513931,0.508946,0.498413,0.157165,0.152394,0.477081,0.986486,0.986327,0.984266,0.982517
9,0.510274,0.505767,0.450713,0.172543,0.167851,0.469168,0.986486,0.988896,0.986245,0.983812
10,0.508691,0.504394,0.429691,0.149695,0.144900,0.479412,0.983784,0.981241,0.981271,0.981673
11,0.504526,0.500424,0.410180,0.159317,0.155042,0.427560,0.983784,0.983802,0.981303,0.979447
12,0.500640,0.497113,0.352625,0.164261,0.160389,0.387152,0.983784,0.983153,0.981556,0.980206
13,0.496817,0.493734,0.308337,0.170735,0.167041,0.369385,0.981081,0.979321,0.977589,0.976229
14,0.494352,0.491611,0.274158,0.160353,0.156923,0.342976,0.981081,0.979321,0.977589,0.976229
15,0.492839,0.490438,0.240122,0.162519,0.159320,0.319958,0.983784,0.983153,0.981556,0.980206
16,0.491216,0.489069,0.214756,0.166085,0.162982,0.310344,0.983784,0.983153,0.981556,0.980206
17,0.490358,0.488393,0.196511,0.165070,0.162007,0.306309,0.981081,0.979321,0.977589,0.976229
18,0.489781,0.488008,0.177255,0.166746,0.163799,0.294784,0.983784,0.983153,0.981556,0.980206
19,0.489219,0.487609,0.160977,0.168086,0.165228,0.285876,0.983784,0.983153,0.981556,0.980206
20,0.488910,0.487429,0.148155,0.167744,0.164921,0.282291,0.983784,0.983153,0.981556,0.980206
21,0.488627,0.487242,0.138521,0.169279,0.166477,0.280167,0.983784,0.983153,0.981556,0.980206
22,0.488424,0.487134,0.129025,0.167659,0.164896,0.276285,0.983784,0.983153,0.981556,0.980206
23,0.488260,0.487029,0.123006,0.168250,0.165487,0.276369,0.983784,0.983153,0.981556,0.980206
24,0.488135,0.486957,0.117789,0.168543,0.165776,0.276621,0.983784,0.983153,0.981556,0.980206
25,0.488066,0.486918,0.114788,0.168773,0.166013,0.275952,0.983784,0.983153,0.981556,0.980206
26,0.488014,0.486885,0.112929,0.168512,0.165768,0.274330,0.983784,0.983153,0.981556,0.980206
27,0.487962,0.486859,0.110314,0.168775,0.166011,0.276407,0.983784,0.983153,0.981556,0.980206
28,0.487941,0.486852,0.108929,0.168884,0.166132,0.275198,0.983784,0.983153,0.981556,0.980206
29,0.487934,0.486851,0.108287,0.169088,0.166337,0.275083,0.983784,0.983153,0.981556,0.980206
