epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,2.290375,2.190377,0.999984,2.260851,2.174449,0.864022,0.121622,0.125444,0.073414,0.114160
1,2.230538,2.130552,0.999857,2.183368,2.082944,1.004245,0.440541,0.443548,0.342095,0.301221
2,2.089870,1.989869,1.000006,1.959220,1.857699,1.015203,0.802703,0.806980,0.752098,0.826179
3,1.910066,1.810138,0.999284,1.734511,1.632257,1.022535,0.854054,0.861327,0.821380,0.854203
4,1.712869,1.614697,0.981715,1.487979,1.391402,0.965764,0.897297,0.903940,0.882250,0.894523
5,1.502139,1.409766,0.923730,1.244732,1.154183,0.905488,0.916216,0.923722,0.904580,0.912455
6,1.297403,1.209435,0.879678,1.013596,0.928418,0.851780,0.921622,0.928823,0.912352,0.915758
7,1.112358,1.029655,0.827028,0.811329,0.735438,0.758911,0.945946,0.948823,0.938593,0.936442
8,0.955036,0.879201,0.758343,0.645614,0.573419,0.721948,0.967568,0.967560,0.963557,0.961850
9,0.836382,0.763234,0.731474,0.515892,0.444944,0.709477,0.978378,0.977756,0.976441,0.975587
10,0.750871,0.679433,0.714381,0.429553,0.362347,0.672063,0.978378,0.978715,0.977726,0.977202
11,0.691925,0.623931,0.679940,0.368573,0.304686,0.638861,0.981081,0.982547,0.981626,0.981043
12,0.653415,0.587257,0.661580,0.335866,0.273460,0.624062,0.981081,0.982547,0.981626,0.981043
13,0.628103,0.563064,0.650385,0.313427,0.252727,0.606992,0.978378,0.981284,0.979458,0.977961
14,0.610568,0.547482,0.630857,0.293121,0.235178,0.579432,0.981081,0.982547,0.981626,0.981043
15,0.595997,0.535748,0.602486,0.282920,0.227436,0.554837,0.978378,0.980021,0.978801,0.977961
16,0.585503,0.527771,0.577323,0.267663,0.214136,0.535271,0.981081,0.982547,0.981626,0.981043
17,0.576391,0.521045,0.553455,0.285570,0.233966,0.516040,0.975676,0.980021,0.976743,0.974121
18,0.570266,0.517345,0.529204,0.252863,0.203550,0.493128,0.981081,0.982547,0.981626,0.981043
19,0.563538,0.513265,0.502736,0.246221,0.199176,0.470453,0.981081,0.982547,0.981626,0.981043
20,0.557254,0.509656,0.475973,0.246948,0.202202,0.447456,0.981081,0.982547,0.981626,0.981043
21,0.552453,0.507128,0.453252,0.241259,0.198397,0.428625,0.983784,0.985721,0.984319,0.983112
22,0.548461,0.504968,0.434928,0.249901,0.208297,0.416039,0.978378,0.980627,0.978129,0.976018
23,0.545218,0.503314,0.419039,0.239763,0.199544,0.402193,0.975676,0.978759,0.977135,0.976059
24,0.542273,0.501657,0.406167,0.223366,0.184735,0.386316,0.981081,0.982547,0.981626,0.981043
25,0.539421,0.500164,0.392569,0.252871,0.215056,0.378146,0.970270,0.977496,0.972689,0.969083
26,0.537213,0.499167,0.380455,0.221988,0.185264,0.367237,0.981081,0.982547,0.981626,0.981043
27,0.534902,0.497913,0.369896,0.224798,0.189286,0.355123,0.978378,0.981284,0.979158,0.977467
28,0.532955,0.497092,0.358630,0.233692,0.198950,0.347424,0.978378,0.981284,0.979158,0.977467
29,0.531334,0.496313,0.350216,0.226585,0.192511,0.340739,0.978378,0.978715,0.977901,0.977644
30,0.530102,0.495753,0.343484,0.227530,0.194021,0.335090,0.975676,0.980021,0.976743,0.974121
31,0.528953,0.495200,0.337530,0.225473,0.192407,0.330653,0.978378,0.981284,0.979158,0.977467
32,0.528075,0.494767,0.333082,0.225018,0.192329,0.326896,0.975676,0.977453,0.975436,0.973949
33,0.527112,0.494239,0.328727,0.223555,0.191238,0.323165,0.978378,0.981284,0.979158,0.977467
34,0.526382,0.493860,0.325221,0.224916,0.192838,0.320778,0.978378,0.981284,0.979158,0.977467
35,0.525703,0.493478,0.322249,0.222386,0.190544,0.318412,0.978378,0.981284,0.979158,0.977467
36,0.525143,0.493169,0.319740,0.223963,0.192319,0.316438,0.975676,0.980021,0.976743,0.974121
37,0.524701,0.492936,0.317655,0.224932,0.193421,0.315107,0.981081,0.982547,0.981626,0.981043
38,0.524368,0.492778,0.315897,0.224198,0.192817,0.313815,0.978378,0.981284,0.979158,0.977467
39,0.524022,0.492600,0.314216,0.224444,0.193158,0.312863,0.981081,0.984459,0.981851,0.979536
40,0.523794,0.492496,0.312977,0.224969,0.193737,0.312320,0.978378,0.981284,0.979158,0.977467
41,0.523577,0.492375,0.312024,0.221669,0.190511,0.311575,0.981081,0.984459,0.981851,0.979536
42,0.523367,0.492248,0.311189,0.222655,0.191542,0.311134,0.981081,0.984459,0.981851,0.979536
43,0.523254,0.492193,0.310603,0.223067,0.191995,0.310716,0.978378,0.981284,0.979158,0.977467
44,0.523160,0.492137,0.310223,0.223120,0.192081,0.310390,0.978378,0.981284,0.979158,0.977467
45,0.523052,0.492092,0.309605,0.223953,0.192935,0.310182,0.978378,0.981284,0.979158,0.977467
46,0.522960,0.492034,0.309263,0.224052,0.193050,0.310015,0.978378,0.981284,0.979158,0.977467
47,0.522934,0.492019,0.309146,0.224053,0.193061,0.309915,0.978378,0.981284,0.979158,0.977467
48,0.522922,0.492008,0.309147,0.223670,0.192678,0.309923,0.978378,0.981284,0.979158,0.977467
49,0.522916,0.492005,0.309109,0.223753,0.192758,0.309953,0.978378,0.981284,0.979158,0.977467
