epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,1.487437,2.202883,1.010472,1.490842,2.201007,1.017398,0.086486,0.111139,0.068177,0.126742
1,1.097437,1.534833,0.805840,0.684058,0.761661,0.632323,0.845946,0.867264,0.827157,0.878655
2,0.725571,0.916876,0.598035,0.477765,0.406298,0.525409,0.954054,0.964516,0.956670,0.951745
3,0.601116,0.734365,0.512284,0.446404,0.281865,0.556097,0.945946,0.958513,0.951425,0.947820
4,0.527704,0.629335,0.459950,0.363257,0.243319,0.443215,0.964865,0.972792,0.969012,0.967956
5,0.481061,0.570080,0.421715,0.325131,0.234536,0.385528,0.962162,0.966392,0.961690,0.959346
6,0.446230,0.538665,0.384607,0.316191,0.234755,0.370481,0.970270,0.972705,0.968973,0.966684
7,0.406671,0.523118,0.329039,0.275534,0.206393,0.321627,0.983784,0.982193,0.980799,0.980790
8,0.384574,0.517237,0.296132,0.268812,0.215841,0.304126,0.975676,0.978708,0.974238,0.970988
9,0.364534,0.513142,0.265463,0.252792,0.203220,0.285840,0.972973,0.974271,0.970066,0.966603
10,0.346175,0.507085,0.238901,0.235685,0.168715,0.280331,0.978378,0.979970,0.976159,0.972759
11,0.342101,0.502232,0.235348,0.240212,0.168049,0.288321,0.983784,0.985721,0.983557,0.981589
12,0.334222,0.502075,0.222319,0.234306,0.175280,0.273656,0.986486,0.983758,0.982744,0.982361
13,0.327398,0.500878,0.211744,0.227894,0.181200,0.259023,0.986486,0.983758,0.982744,0.982361
14,0.320055,0.500114,0.200015,0.212908,0.147932,0.256225,0.986486,0.983758,0.982744,0.982361
15,0.309868,0.498559,0.184074,0.237541,0.194722,0.266087,0.981081,0.983802,0.979946,0.976404
16,0.300930,0.497259,0.170044,0.231999,0.200413,0.253057,0.983784,0.987633,0.983838,0.980466
17,0.293114,0.494714,0.158715,0.219457,0.165011,0.255755,0.991892,0.991421,0.990440,0.989610
18,0.289361,0.491482,0.154615,0.221411,0.173179,0.253565,0.983784,0.982496,0.980299,0.978539
19,0.282100,0.489710,0.143694,0.226684,0.185232,0.254319,0.981081,0.981233,0.978557,0.976317
20,0.277782,0.488758,0.137132,0.222530,0.182528,0.249198,0.981081,0.981233,0.978557,0.976317
21,0.274088,0.488021,0.131465,0.215214,0.181603,0.237622,0.981081,0.981233,0.978557,0.976317
22,0.270293,0.487638,0.125397,0.210474,0.181350,0.229890,0.981081,0.981233,0.978557,0.976317
23,0.264293,0.487362,0.115579,0.206504,0.181110,0.223433,0.981081,0.981233,0.978557,0.976317
24,0.258272,0.487153,0.105685,0.206259,0.182673,0.221984,0.981081,0.981233,0.978557,0.976317
25,0.253316,0.487119,0.097448,0.201350,0.181805,0.214381,0.981081,0.981233,0.978557,0.976317
26,0.250290,0.486989,0.092491,0.200901,0.181431,0.213880,0.981081,0.981233,0.978557,0.976317
27,0.248373,0.486930,0.089335,0.201129,0.181976,0.213898,0.981081,0.981233,0.978557,0.976317
28,0.247618,0.486895,0.088100,0.201206,0.182245,0.213846,0.981081,0.981233,0.978557,0.976317
29,0.246675,0.486898,0.086527,0.200855,0.182070,0.213379,0.981081,0.981233,0.978557,0.976317
