epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,21.317428,20.810324,0.234310,0.504609,0.015251,8.743802,8.363010,0.248615,0.378306,"tensor(0.4378, device='cuda:1')","tensor([1.0000, 0.7143, 0.0000, 0.9545, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000],
       device='cuda:1')","tensor(0.3735, device='cuda:1')","tensor(0.3129, device='cuda:1')"
1,7.017969,6.575349,0.206079,0.440341,0.021877,2.551651,2.138038,0.197707,0.411635,"tensor(0.6081, device='cuda:1')","tensor([0.4194, 1.0000, 0.3864, 0.5682, 0.7586, 0.8333, 0.8750, 0.3000, 0.8966],
       device='cuda:1')","tensor(0.6706, device='cuda:1')","tensor(0.8501, device='cuda:1')"
2,3.618491,3.211405,0.177238,0.405180,0.013289,1.821991,1.425170,0.189999,0.394921,"tensor(0.7324, device='cuda:1')","tensor([0.8065, 1.0000, 0.4773, 0.5227, 0.9310, 1.0000, 0.9500, 0.5600, 1.0000],
       device='cuda:1')","tensor(0.7739, device='cuda:1')","tensor(0.8492, device='cuda:1')"
3,2.630531,2.243774,0.158051,0.385086,0.009097,1.698440,1.302560,0.150363,0.394377,"tensor(0.7081, device='cuda:1')","tensor([0.9677, 1.0000, 0.4659, 0.5682, 0.9310, 0.8750, 0.4750, 0.7800, 0.8621],
       device='cuda:1')","tensor(0.7385, device='cuda:1')","tensor(0.8128, device='cuda:1')"
4,2.416431,2.038846,0.149371,0.376004,0.008688,2.143025,1.757061,0.147598,0.384488,"tensor(0.5946, device='cuda:1')","tensor([0.3871, 1.0000, 0.1250, 0.7955, 0.9655, 0.7500, 0.2250, 0.8600, 1.0000],
       device='cuda:1')","tensor(0.6423, device='cuda:1')","tensor(0.8430, device='cuda:1')"
5,2.304025,1.941864,0.138666,0.360681,0.009355,0.982543,0.603709,0.155716,0.377276,"tensor(0.8189, device='cuda:1')","tensor([0.9677, 1.0000, 0.6250, 0.9545, 1.0000, 0.6250, 0.7500, 0.8000, 0.9310],
       device='cuda:1')","tensor(0.8315, device='cuda:1')","tensor(0.8618, device='cuda:1')"
6,2.315118,1.966234,0.131488,0.347453,0.011606,1.349138,1.001861,0.126884,0.346008,"tensor(0.7568, device='cuda:1')","tensor([0.7742, 1.0000, 0.5568, 0.6364, 0.8966, 0.8750, 0.9750, 0.6200, 0.9310],
       device='cuda:1')","tensor(0.8061, device='cuda:1')","tensor(0.8860, device='cuda:1')"
7,2.263860,1.927799,0.130367,0.334617,0.013988,2.208420,1.862188,0.122406,0.345008,"tensor(0.6405, device='cuda:1')","tensor([0.9677, 1.0000, 0.1250, 0.6136, 0.8621, 0.8750, 1.0000, 0.4200, 0.9310],
       device='cuda:1')","tensor(0.7007, device='cuda:1')","tensor(0.8276, device='cuda:1')"
8,2.901930,2.580830,0.126232,0.319706,0.013098,1.043486,0.723436,0.121071,0.318839,"tensor(0.8135, device='cuda:1')","tensor([0.7742, 1.0000, 0.5341, 0.6818, 0.7586, 1.0000, 1.0000, 1.0000, 1.0000],
       device='cuda:1')","tensor(0.8397, device='cuda:1')","tensor(0.8773, device='cuda:1')"
9,2.295626,1.989405,0.113985,0.305041,0.004126,0.445336,0.141682,0.100338,0.302650,"tensor(0.9514, device='cuda:1')","tensor([0.9355, 1.0000, 0.9659, 0.8636, 1.0000, 1.0000, 1.0000, 0.9200, 0.8966],
       device='cuda:1')","tensor(0.9523, device='cuda:1')","tensor(0.9529, device='cuda:1')"
10,2.083165,1.779544,0.103023,0.302581,0.000939,0.450854,0.147646,0.098744,0.302221,"tensor(0.9541, device='cuda:1')","tensor([0.9677, 1.0000, 0.9545, 0.9545, 1.0000, 0.9583, 1.0000, 0.8600, 0.9310],
       device='cuda:1')","tensor(0.9520, device='cuda:1')","tensor(0.9482, device='cuda:1')"
11,1.961537,1.657766,0.101342,0.302750,0.000832,0.432948,0.129456,0.096785,0.302524,"tensor(0.9541, device='cuda:1')","tensor([0.9677, 1.0000, 0.9205, 0.9773, 1.0000, 1.0000, 0.9750, 0.9000, 0.9310],
       device='cuda:1')","tensor(0.9554, device='cuda:1')","tensor(0.9490, device='cuda:1')"
12,1.863090,1.558536,0.101487,0.303531,0.000836,0.433723,0.129778,0.095611,0.302989,"tensor(0.9568, device='cuda:1')","tensor([0.9677, 1.0000, 0.9318, 0.9773, 1.0000, 1.0000, 0.9750, 0.9000, 0.9310],
       device='cuda:1')","tensor(0.9576, device='cuda:1')","tensor(0.9518, device='cuda:1')"
13,1.762221,1.457656,0.100679,0.303550,0.000785,0.433238,0.128717,0.096290,0.303558,"tensor(0.9622, device='cuda:1')","tensor([0.9677, 1.0000, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9000, 0.9310],
       device='cuda:1')","tensor(0.9612, device='cuda:1')","tensor(0.9566, device='cuda:1')"
14,1.659878,1.354923,0.101383,0.303933,0.000817,0.439911,0.134985,0.096757,0.303958,"tensor(0.9568, device='cuda:1')","tensor([0.9355, 1.0000, 0.9318, 0.9773, 1.0000, 1.0000, 0.9750, 0.9200, 0.9310],
       device='cuda:1')","tensor(0.9597, device='cuda:1')","tensor(0.9567, device='cuda:1')"
15,1.592281,1.287731,0.100717,0.303536,0.000704,0.442752,0.138217,0.095116,0.303584,"tensor(0.9541, device='cuda:1')","tensor([0.9355, 1.0000, 0.9432, 0.9545, 1.0000, 1.0000, 0.9500, 0.9200, 0.9310],
       device='cuda:1')","tensor(0.9553, device='cuda:1')","tensor(0.9521, device='cuda:1')"
16,1.582562,1.277294,0.100889,0.304253,0.000699,0.447531,0.142814,0.094938,0.303767,"tensor(0.9514, device='cuda:1')","tensor([0.9355, 1.0000, 0.9318, 0.9545, 1.0000, 1.0000, 0.9500, 0.9200, 0.9310],
       device='cuda:1')","tensor(0.9525, device='cuda:1')","tensor(0.9484, device='cuda:1')"
17,1.571934,1.266812,0.100977,0.304106,0.000700,0.449461,0.144784,0.094914,0.303728,"tensor(0.9514, device='cuda:1')","tensor([0.9355, 1.0000, 0.9318, 0.9545, 1.0000, 1.0000, 0.9500, 0.9200, 0.9310],
       device='cuda:1')","tensor(0.9525, device='cuda:1')","tensor(0.9484, device='cuda:1')"
18,1.560003,1.254911,0.101106,0.304074,0.000686,0.450799,0.146008,0.095263,0.303838,"tensor(0.9541, device='cuda:1')","tensor([0.9355, 1.0000, 0.9318, 0.9545, 1.0000, 1.0000, 0.9750, 0.9200, 0.9310],
       device='cuda:1')","tensor(0.9557, device='cuda:1')","tensor(0.9519, device='cuda:1')"
