epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.402379,2.198758,0.070725,0.168245,0.001354,2.378864,2.183792,0.082120,0.154012,"tensor(0.2243, device='cuda:1')","tensor([0.2903, 0.0000, 0.8068, 0.0227, 0.0000, 0.0000, 0.0000, 0.0000, 0.0690],
       device='cuda:1')","tensor(0.0942, device='cuda:1')","tensor(0.0908, device='cuda:1')"
1,2.387494,2.185764,0.069024,0.167214,0.000427,2.357322,2.160199,0.081272,0.156488,"tensor(0.3000, device='cuda:1')","tensor([0.5484, 0.0000, 0.9432, 0.1136, 0.0000, 0.0000, 0.0000, 0.0000, 0.2069],
       device='cuda:1')","tensor(0.1437, device='cuda:1')","tensor(0.1463, device='cuda:1')"
2,2.351180,2.152365,0.068010,0.164807,0.000291,2.312217,2.115528,0.084426,0.154476,"tensor(0.4622, device='cuda:1')","tensor([0.8710, 0.0286, 1.0000, 0.2045, 0.0000, 0.7917, 0.3250, 0.0000, 0.4828],
       device='cuda:1')","tensor(0.3718, device='cuda:1')","tensor(0.4815, device='cuda:1')"
3,2.294185,2.098509,0.068298,0.161524,0.000277,2.243196,2.048266,0.086738,0.151561,"tensor(0.6459, device='cuda:1')","tensor([0.9677, 0.1143, 1.0000, 0.5682, 0.3103, 1.0000, 0.9750, 0.0000, 0.6897],
       device='cuda:1')","tensor(0.5909, device='cuda:1')","tensor(0.7284, device='cuda:1')"
4,2.210524,2.017995,0.069376,0.157838,0.000281,2.132617,1.940022,0.088340,0.148425,"tensor(0.7784, device='cuda:1')","tensor([0.9677, 0.3714, 1.0000, 0.9773, 0.9655, 1.0000, 1.0000, 0.0000, 0.7586],
       device='cuda:1')","tensor(0.7370, device='cuda:1')","tensor(0.7583, device='cuda:1')"
5,2.083813,1.893857,0.071229,0.154338,0.000289,1.958510,1.768833,0.090334,0.144510,"tensor(0.8324, device='cuda:1')","tensor([1.0000, 0.8000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.0200, 0.7931],
       device='cuda:1')","tensor(0.7969, device='cuda:1')","tensor(0.8835, device='cuda:1')"
6,1.918987,1.731065,0.075235,0.150301,0.000303,1.769161,1.582559,0.091810,0.140697,"tensor(0.8649, device='cuda:1')","tensor([1.0000, 0.9143, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.1800, 0.7931],
       device='cuda:1')","tensor(0.8397, device='cuda:1')","tensor(0.8847, device='cuda:1')"
7,1.755156,1.570057,0.078070,0.146061,0.000315,1.602353,1.418372,0.092647,0.137657,"tensor(0.9081, device='cuda:1')","tensor([1.0000, 0.9429, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.4800, 0.8276],
       device='cuda:1')","tensor(0.8962, device='cuda:1')","tensor(0.9097, device='cuda:1')"
8,1.606179,1.424195,0.079904,0.142029,0.000322,1.450101,1.269536,0.092807,0.134162,"tensor(0.9432, device='cuda:1')","tensor([1.0000, 0.9429, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.7200, 0.8621],
       device='cuda:1')","tensor(0.9371, device='cuda:1')","tensor(0.9385, device='cuda:1')"
9,1.466440,1.288087,0.080835,0.137933,0.000335,1.305461,1.128073,0.094647,0.130065,"tensor(0.9595, device='cuda:1')","tensor([1.0000, 0.9429, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.8400, 0.8621],
       device='cuda:1')","tensor(0.9530, device='cuda:1')","tensor(0.9524, device='cuda:1')"
10,1.335806,1.160212,0.083097,0.134043,0.000363,1.167797,0.992315,0.096584,0.127190,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9143, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9200, 0.8966],
       device='cuda:1')","tensor(0.9645, device='cuda:1')","tensor(0.9646, device='cuda:1')"
11,1.214116,1.041220,0.085189,0.130298,0.000401,1.039523,0.865511,0.099211,0.124407,"tensor(0.9649, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9200, 0.8966],
       device='cuda:1')","tensor(0.9629, device='cuda:1')","tensor(0.9625, device='cuda:1')"
12,1.105239,0.934307,0.087501,0.127177,0.000448,0.924348,0.751612,0.102419,0.121526,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9400, 0.9310],
       device='cuda:1')","tensor(0.9664, device='cuda:1')","tensor(0.9657, device='cuda:1')"
13,1.010554,0.842447,0.089059,0.123572,0.000479,0.823311,0.650170,0.108042,0.119120,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9600, 0.9310],
       device='cuda:1')","tensor(0.9693, device='cuda:1')","tensor(0.9690, device='cuda:1')"
14,0.933515,0.766432,0.092778,0.120689,0.000489,0.735231,0.562085,0.112341,0.116976,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9722, device='cuda:1')","tensor(0.9724, device='cuda:1')"
15,0.871210,0.705149,0.095482,0.118315,0.000547,0.662994,0.483911,0.126002,0.116082,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9722, device='cuda:1')","tensor(0.9724, device='cuda:1')"
16,0.824569,0.656692,0.101731,0.117005,0.000658,0.609206,0.433569,0.121863,0.114705,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9722, device='cuda:1')","tensor(0.9724, device='cuda:1')"
17,0.786653,0.619595,0.104236,0.114931,0.000861,0.559152,0.385785,0.122970,0.111882,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9730, device='cuda:1')","tensor(0.9739, device='cuda:1')"
18,0.755477,0.590681,0.104246,0.112664,0.000911,0.511562,0.338412,0.125338,0.110480,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9730, device='cuda:1')","tensor(0.9739, device='cuda:1')"
19,0.730721,0.568668,0.099895,0.112096,0.000895,0.483939,0.315298,0.117926,0.109678,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9730, device='cuda:1')","tensor(0.9739, device='cuda:1')"
20,0.712057,0.552763,0.097032,0.110769,0.000867,0.482393,0.314548,0.117054,0.109318,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:1')","tensor(0.9727, device='cuda:1')","tensor(0.9722, device='cuda:1')"
21,0.698562,0.541201,0.094388,0.110159,0.000871,0.446927,0.279951,0.116416,0.108769,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9692, device='cuda:1')","tensor(0.9705, device='cuda:1')"
22,0.687271,0.532518,0.090390,0.109549,0.000920,0.436219,0.272533,0.113063,0.107155,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9726, device='cuda:1')"
23,0.678221,0.525516,0.090202,0.107594,0.000962,0.425592,0.262997,0.111722,0.106733,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:1')","tensor(0.9764, device='cuda:1')","tensor(0.9767, device='cuda:1')"
24,0.669399,0.519362,0.084899,0.107578,0.000887,0.424475,0.262809,0.112411,0.105460,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9706, device='cuda:1')"
25,0.662832,0.514887,0.083010,0.106429,0.000963,0.411072,0.251344,0.109019,0.105219,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9669, device='cuda:1')"
26,0.657600,0.511024,0.081599,0.105766,0.000982,0.411212,0.251894,0.108412,0.105112,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9714, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9731, device='cuda:1')","tensor(0.9703, device='cuda:1')"
27,0.652739,0.508135,0.079325,0.104931,0.000957,0.399147,0.241237,0.108569,0.103625,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9726, device='cuda:1')"
28,0.648873,0.505888,0.077763,0.104093,0.000997,0.392801,0.234764,0.109804,0.103135,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9669, device='cuda:1')"
29,0.646375,0.503625,0.077483,0.103999,0.000995,0.406534,0.249541,0.107157,0.103414,"tensor(0.9622, device='cuda:1')","tensor([1.0000, 0.9143, 0.9318, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9641, device='cuda:1')","tensor(0.9616, device='cuda:1')"
30,0.643501,0.502230,0.076337,0.103092,0.000979,0.384236,0.227303,0.108611,0.102628,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9706, device='cuda:1')"
31,0.641335,0.500519,0.075920,0.102846,0.001011,0.378609,0.222929,0.108513,0.101423,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:1')","tensor(0.9719, device='cuda:1')","tensor(0.9705, device='cuda:1')"
32,0.639138,0.499804,0.074587,0.102031,0.000980,0.398362,0.242024,0.108732,0.101973,"tensor(0.9649, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9545, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9667, device='cuda:1')","tensor(0.9670, device='cuda:1')"
33,0.637619,0.498555,0.074215,0.101946,0.000993,0.374856,0.219681,0.107489,0.101431,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9669, device='cuda:1')"
34,0.634686,0.497269,0.072668,0.101073,0.001000,0.386734,0.231789,0.107605,0.101143,"tensor(0.9649, device='cuda:1')","tensor([1.0000, 0.9143, 0.9432, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9665, device='cuda:1')","tensor(0.9651, device='cuda:1')"
35,0.632896,0.496078,0.071753,0.100932,0.001011,0.381849,0.226772,0.108826,0.100664,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9674, device='cuda:1')","tensor(0.9654, device='cuda:1')"
36,0.631959,0.495360,0.071390,0.100894,0.001037,0.374722,0.221168,0.105648,0.100730,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9706, device='cuda:1')"
37,0.630529,0.494791,0.071066,0.100195,0.001031,0.385680,0.230542,0.109426,0.100424,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9714, 0.9432, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9707, device='cuda:1')","tensor(0.9669, device='cuda:1')"
38,0.628865,0.493945,0.070163,0.099829,0.001019,0.367109,0.214435,0.106420,0.099464,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9706, device='cuda:1')"
39,0.627587,0.493308,0.068543,0.099996,0.001054,0.375560,0.222211,0.106735,0.099981,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9669, device='cuda:1')"
40,0.626789,0.492806,0.068892,0.099527,0.001036,0.377282,0.224094,0.106436,0.099970,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9143, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9669, device='cuda:1')"
41,0.625515,0.492304,0.068212,0.099095,0.001005,0.368762,0.215986,0.106938,0.099308,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9726, device='cuda:1')"
42,0.623888,0.491968,0.066118,0.098851,0.001017,0.377072,0.224510,0.106149,0.099487,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9705, device='cuda:1')","tensor(0.9683, device='cuda:1')"
