epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.223766,2.199547,0.079625,0.162514,0.000427,2.228946,2.206062,0.079576,0.149266,"tensor(0.0784, device='cuda:2')","tensor([0.0000, 0.6857, 0.0000, 0.0000, 0.0000, 0.0000, 0.0250, 0.0400, 0.0690],
       device='cuda:2')","tensor(0.0373, device='cuda:2')","tensor(0.0321, device='cuda:2')"
1,2.218089,2.193975,0.078741,0.162383,0.000175,2.214844,2.191701,0.078714,0.152721,"tensor(0.1081, device='cuda:2')","tensor([0.0000, 0.8571, 0.0000, 0.0000, 0.0000, 0.0000, 0.1500, 0.0400, 0.0690],
       device='cuda:2')","tensor(0.0565, device='cuda:2')","tensor(0.0465, device='cuda:2')"
2,2.195563,2.171662,0.077097,0.161899,0.000167,2.178090,2.155016,0.078320,0.152422,"tensor(0.2405, device='cuda:2')","tensor([0.0645, 0.9714, 0.0682, 0.0455, 0.0345, 0.3333, 0.6000, 0.0800, 0.2759],
       device='cuda:2')","tensor(0.2236, device='cuda:2')","tensor(0.3345, device='cuda:2')"
3,2.149647,2.125826,0.077116,0.161076,0.000168,2.110457,2.087183,0.081426,0.151306,"tensor(0.5676, device='cuda:2')","tensor([0.3871, 1.0000, 0.4318, 0.3636, 0.8966, 1.0000, 0.9500, 0.0800, 0.5862],
       device='cuda:2')","tensor(0.5924, device='cuda:2')","tensor(0.6576, device='cuda:2')"
4,2.067552,2.043512,0.080177,0.160208,0.000171,1.981085,1.957217,0.088222,0.150454,"tensor(0.7973, device='cuda:2')","tensor([0.8710, 0.9714, 0.8523, 0.8864, 1.0000, 1.0000, 1.0000, 0.0800, 0.7931],
       device='cuda:2')","tensor(0.7840, device='cuda:2')","tensor(0.7950, device='cuda:2')"
5,1.913046,1.888213,0.088537,0.159780,0.000177,1.750284,1.725123,0.101047,0.150564,"tensor(0.8514, device='cuda:2')","tensor([1.0000, 0.9714, 0.9205, 0.9773, 1.0000, 1.0000, 1.0000, 0.2000, 0.7931],
       device='cuda:2')","tensor(0.8334, device='cuda:2')","tensor(0.8635, device='cuda:2')"
6,1.709497,1.683476,0.099968,0.160218,0.000196,1.529741,1.504014,0.106322,0.150945,"tensor(0.8730, device='cuda:2')","tensor([1.0000, 0.9714, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.3200, 0.7931],
       device='cuda:2')","tensor(0.8589, device='cuda:2')","tensor(0.8776, device='cuda:2')"
7,1.533709,1.507185,0.105062,0.160160,0.000189,1.356458,1.330805,0.105992,0.150531,"tensor(0.9162, device='cuda:2')","tensor([1.0000, 0.9714, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.5600, 0.8621],
       device='cuda:2')","tensor(0.9118, device='cuda:2')","tensor(0.9163, device='cuda:2')"
8,1.384475,1.358125,0.103599,0.159875,0.000172,1.203315,1.177975,0.102907,0.150494,"tensor(0.9622, device='cuda:2')","tensor([1.0000, 1.0000, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.8600, 0.8966],
       device='cuda:2')","tensor(0.9605, device='cuda:2')","tensor(0.9579, device='cuda:2')"
9,1.247367,1.221369,0.100635,0.159327,0.000166,1.059445,1.034010,0.104953,0.149394,"tensor(0.9730, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9600, 0.8966],
       device='cuda:2')","tensor(0.9711, device='cuda:2')","tensor(0.9706, device='cuda:2')"
10,1.122197,1.096413,0.099639,0.158184,0.000166,0.931902,0.906811,0.101350,0.149558,"tensor(0.9784, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9779, device='cuda:2')","tensor(0.9776, device='cuda:2')"
11,1.016141,0.990672,0.097390,0.157290,0.000168,0.825915,0.800843,0.103749,0.146975,"tensor(0.9784, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9779, device='cuda:2')","tensor(0.9776, device='cuda:2')"
12,0.927730,0.902439,0.097085,0.155809,0.000169,0.731622,0.706613,0.103011,0.147076,"tensor(0.9784, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9779, device='cuda:2')","tensor(0.9776, device='cuda:2')"
13,0.855296,0.830549,0.092737,0.154721,0.000172,0.652903,0.628004,0.103917,0.145076,"tensor(0.9784, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9779, device='cuda:2')","tensor(0.9776, device='cuda:2')"
14,0.795732,0.771269,0.091753,0.152861,0.000175,0.587056,0.562292,0.102833,0.144806,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9756, device='cuda:2')","tensor(0.9763, device='cuda:2')"
15,0.748113,0.723885,0.090439,0.151820,0.000183,0.534119,0.509965,0.098758,0.142778,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
16,0.709918,0.685952,0.088801,0.150842,0.000186,0.489773,0.465682,0.099335,0.141577,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
17,0.678844,0.655062,0.088781,0.149021,0.000194,0.453053,0.428865,0.101556,0.140324,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
18,0.654077,0.630419,0.088605,0.147964,0.000197,0.421918,0.397297,0.106657,0.139558,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
19,0.633724,0.610307,0.086980,0.147172,0.000206,0.399533,0.375759,0.098660,0.139077,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
20,0.616661,0.593518,0.085355,0.146047,0.000204,0.378924,0.355104,0.099538,0.138658,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
21,0.603145,0.580150,0.084724,0.145210,0.000213,0.357309,0.333452,0.100863,0.137714,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
22,0.591852,0.569018,0.083845,0.144467,0.000220,0.342271,0.318492,0.101540,0.136244,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
23,0.582483,0.559783,0.083726,0.143255,0.000229,0.327502,0.304136,0.097367,0.136293,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
24,0.574461,0.552148,0.080407,0.142701,0.000223,0.322405,0.298914,0.099434,0.135475,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
25,0.568322,0.546061,0.080314,0.142272,0.000234,0.305733,0.282474,0.097704,0.134887,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
26,0.562283,0.540171,0.080036,0.141062,0.000240,0.305370,0.282250,0.096912,0.134290,"tensor(0.9757, device='cuda:2')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:2')","tensor(0.9746, device='cuda:2')","tensor(0.9739, device='cuda:2')"
