epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.234882,2.208683,0.079905,0.182056,0.000254,2.226539,2.200533,0.090296,0.169770,"tensor(0.1297, device='cuda:1')","tensor([0.0000, 0.0000, 0.0000, 0.0227, 0.1034, 0.0000, 0.0000, 0.7600, 0.2069],
       device='cuda:1')","tensor(0.0622, device='cuda:1')","tensor(0.0616, device='cuda:1')"
1,2.232685,2.206508,0.079820,0.181937,0.000121,2.221699,2.195252,0.091519,0.172950,"tensor(0.1324, device='cuda:1')","tensor([0.0000, 0.0000, 0.0000, 0.0227, 0.1724, 0.0000, 0.0000, 0.7400, 0.2069],
       device='cuda:1')","tensor(0.0734, device='cuda:1')","tensor(0.0943, device='cuda:1')"
2,2.223949,2.197858,0.079276,0.181621,0.000116,2.207580,2.181119,0.091762,0.172846,"tensor(0.1676, device='cuda:1')","tensor([0.0000, 0.0000, 0.0341, 0.0909, 0.3103, 0.0417, 0.0000, 0.7200, 0.3103],
       device='cuda:1')","tensor(0.1212, device='cuda:1')","tensor(0.2492, device='cuda:1')"
3,2.206335,2.180212,0.080194,0.181034,0.000113,2.182573,2.155914,0.094506,0.172090,"tensor(0.3189, device='cuda:1')","tensor([0.0000, 0.0857, 0.2045, 0.3864, 0.7241, 0.4167, 0.0250, 0.7000, 0.4483],
       device='cuda:1')","tensor(0.3073, device='cuda:1')","tensor(0.5208, device='cuda:1')"
4,2.177264,2.151056,0.081764,0.180309,0.000108,2.143866,2.116885,0.098476,0.171337,"tensor(0.5811, device='cuda:1')","tensor([0.1290, 0.2857, 0.5909, 0.6591, 0.9655, 0.9583, 0.4500, 0.7200, 0.5172],
       device='cuda:1')","tensor(0.5834, device='cuda:1')","tensor(0.7598, device='cuda:1')"
5,2.133553,2.107006,0.085952,0.179510,0.000100,2.084755,2.057318,0.102820,0.171548,"tensor(0.8027, device='cuda:1')","tensor([0.6129, 0.6857, 0.8864, 0.8409, 1.0000, 1.0000, 0.8500, 0.7000, 0.5862],
       device='cuda:1')","tensor(0.8024, device='cuda:1')","tensor(0.8345, device='cuda:1')"
6,2.067891,2.040806,0.091784,0.179055,0.000092,1.994894,1.966741,0.109787,0.171747,"tensor(0.8811, device='cuda:1')","tensor([0.8710, 0.8286, 0.9432, 0.9318, 1.0000, 1.0000, 0.9500, 0.7000, 0.6897],
       device='cuda:1')","tensor(0.8763, device='cuda:1')","tensor(0.8821, device='cuda:1')"
7,1.973487,1.945514,0.100928,0.178800,0.000083,1.873953,1.845114,0.115846,0.172539,"tensor(0.9189, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.6400, 0.7931],
       device='cuda:1')","tensor(0.9135, device='cuda:1')","tensor(0.9108, device='cuda:1')"
8,1.859128,1.830388,0.108333,0.179059,0.000072,1.743321,1.713845,0.122484,0.172278,"tensor(0.9297, device='cuda:1')","tensor([1.0000, 0.9714, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.6600, 0.8621],
       device='cuda:1')","tensor(0.9247, device='cuda:1')","tensor(0.9213, device='cuda:1')"
9,1.738365,1.708965,0.115997,0.178000,0.000062,1.609844,1.580032,0.126864,0.171252,"tensor(0.9432, device='cuda:1')","tensor([1.0000, 0.9714, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.7200, 0.8621],
       device='cuda:1')","tensor(0.9392, device='cuda:1')","tensor(0.9383, device='cuda:1')"
