epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.271879,2.054837,0.110657,0.161703,0.000972,1.998280,1.800149,0.108514,0.143874,"tensor(0.7811, device='cuda:0')","tensor([0.9677, 0.9143, 0.9659, 1.0000, 0.8621, 1.0000, 1.0000, 0.1400, 0.0690],
       device='cuda:0')","tensor(0.6966, device='cuda:0')","tensor(0.8204, device='cuda:0')"
1,1.894640,1.686228,0.109852,0.153481,0.000479,1.616672,1.421767,0.108203,0.140804,"tensor(0.8919, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 1.0000, 1.0000, 1.0000, 1.0000, 0.4800, 0.6552],
       device='cuda:0')","tensor(0.8730, device='cuda:0')","tensor(0.8875, device='cuda:0')"
2,1.607156,1.405833,0.108923,0.146857,0.000477,1.352553,1.161241,0.110450,0.136088,"tensor(0.9378, device='cuda:0')","tensor([1.0000, 0.9714, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.6800, 0.8621],
       device='cuda:0')","tensor(0.9311, device='cuda:0')","tensor(0.9299, device='cuda:0')"
3,1.393314,1.195172,0.111868,0.142203,0.000503,1.143595,0.955366,0.112731,0.131863,"tensor(0.9568, device='cuda:0')","tensor([1.0000, 0.9143, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.8600, 0.8621],
       device='cuda:0')","tensor(0.9532, device='cuda:0')","tensor(0.9533, device='cuda:0')"
4,1.224271,1.030449,0.112232,0.137701,0.000573,0.980970,0.794730,0.115185,0.128648,"tensor(0.9649, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9200, 0.8621],
       device='cuda:0')","tensor(0.9613, device='cuda:0')","tensor(0.9605, device='cuda:0')"
5,1.093216,0.903344,0.111593,0.134070,0.000621,0.851358,0.668457,0.115661,0.125071,"tensor(0.9676, device='cuda:0')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.8966],
       device='cuda:0')","tensor(0.9657, device='cuda:0')","tensor(0.9654, device='cuda:0')"
6,0.993165,0.806992,0.111326,0.130503,0.000647,0.752571,0.570770,0.119602,0.122000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9707, device='cuda:0')","tensor(0.9703, device='cuda:0')"
7,0.917962,0.734831,0.111599,0.127325,0.000666,0.672169,0.492317,0.120158,0.119774,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9707, device='cuda:0')","tensor(0.9703, device='cuda:0')"
8,0.861477,0.680895,0.111190,0.124981,0.000689,0.608806,0.429854,0.123298,0.117303,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9723, device='cuda:0')","tensor(0.9726, device='cuda:0')"
9,0.819059,0.640453,0.110994,0.123101,0.000721,0.562789,0.379639,0.134361,0.115969,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9723, device='cuda:0')","tensor(0.9726, device='cuda:0')"
10,0.787671,0.610071,0.111963,0.121610,0.000784,0.529061,0.347496,0.132696,0.115218,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9723, device='cuda:0')","tensor(0.9726, device='cuda:0')"
11,0.763290,0.587066,0.112088,0.120171,0.000853,0.492784,0.316248,0.124931,0.114070,"tensor(0.9703, device='cuda:0')","tensor([1.0000, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9706, device='cuda:0')","tensor(0.9706, device='cuda:0')"
12,0.742174,0.569060,0.109547,0.118331,0.000897,0.480419,0.306354,0.122894,0.112618,"tensor(0.9703, device='cuda:0')","tensor([1.0000, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9706, device='cuda:0')","tensor(0.9706, device='cuda:0')"
13,0.725327,0.555030,0.106564,0.117006,0.000895,0.465054,0.292841,0.121930,0.111248,"tensor(0.9703, device='cuda:0')","tensor([1.0000, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9706, device='cuda:0')","tensor(0.9706, device='cuda:0')"
14,0.713144,0.544228,0.105223,0.116296,0.000918,0.445921,0.275962,0.118940,0.110489,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9723, device='cuda:0')","tensor(0.9726, device='cuda:0')"
15,0.702008,0.535743,0.102907,0.114802,0.000939,0.428300,0.256687,0.125716,0.108755,"tensor(0.9703, device='cuda:0')","tensor([1.0000, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9706, device='cuda:0')","tensor(0.9706, device='cuda:0')"
16,0.693774,0.529052,0.101595,0.113915,0.000948,0.409608,0.239619,0.122561,0.108709,"tensor(0.9757, device='cuda:0')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9756, device='cuda:0')","tensor(0.9763, device='cuda:0')"
17,0.686722,0.522841,0.101255,0.113244,0.000999,0.430849,0.264126,0.117780,0.107833,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9729, device='cuda:0')","tensor(0.9720, device='cuda:0')"
18,0.679797,0.518548,0.098511,0.111983,0.001012,0.433850,0.266374,0.119878,0.107537,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9746, device='cuda:0')","tensor(0.9739, device='cuda:0')"
19,0.675092,0.514808,0.098198,0.111175,0.001042,0.382317,0.217635,0.117826,0.105769,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9723, device='cuda:0')","tensor(0.9726, device='cuda:0')"
20,0.670962,0.511330,0.098474,0.110384,0.001066,0.397895,0.232766,0.118252,0.106002,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9729, device='cuda:0')","tensor(0.9720, device='cuda:0')"
