epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.343104,2.194806,0.131931,0.134887,0.021742,2.324278,2.197712,0.138567,0.112710,"tensor(0.1162, device='cuda:0')","tensor([0.0968, 0.0000, 0.0000, 0.0000, 0.3103, 0.3750, 0.0000, 0.3200, 0.2069],
       device='cuda:0')","tensor(0.1091, device='cuda:0')","tensor(0.1692, device='cuda:0')"
1,2.306873,2.161398,0.127272,0.132657,0.009068,2.250707,2.126066,0.143941,0.110247,"tensor(0.3676, device='cuda:0')","tensor([0.4194, 0.0000, 0.6250, 0.0909, 1.0000, 1.0000, 0.0250, 0.0200, 0.3103],
       device='cuda:0')","tensor(0.2908, device='cuda:0')","tensor(0.4571, device='cuda:0')"
2,2.190421,2.051577,0.139758,0.124809,0.005871,2.104925,1.984799,0.199073,0.100219,"tensor(0.6351, device='cuda:0')","tensor([0.9355, 0.1429, 0.9091, 1.0000, 1.0000, 1.0000, 0.4250, 0.0200, 0.2069],
       device='cuda:0')","tensor(0.5503, device='cuda:0')","tensor(0.8021, device='cuda:0')"
3,2.007907,1.875880,0.179722,0.113999,0.005588,1.889569,1.772560,0.244373,0.092571,"tensor(0.6919, device='cuda:0')","tensor([1.0000, 0.2857, 0.9205, 1.0000, 1.0000, 1.0000, 0.7000, 0.0200, 0.2759],
       device='cuda:0')","tensor(0.6267, device='cuda:0')","tensor(0.8231, device='cuda:0')"
4,1.768052,1.643044,0.209774,0.103964,0.006634,1.605731,1.492389,0.214704,0.091871,"tensor(0.7459, device='cuda:0')","tensor([1.0000, 0.3143, 0.9545, 1.0000, 1.0000, 1.0000, 0.9500, 0.1400, 0.2759],
       device='cuda:0')","tensor(0.6858, device='cuda:0')","tensor(0.8395, device='cuda:0')"
5,1.490112,1.372781,0.212354,0.096006,0.008921,1.285290,1.172047,0.218248,0.091418,"tensor(0.8324, device='cuda:0')","tensor([1.0000, 0.6286, 0.9773, 1.0000, 1.0000, 1.0000, 0.9750, 0.4400, 0.3793],
       device='cuda:0')","tensor(0.8004, device='cuda:0')","tensor(0.8590, device='cuda:0')"
6,1.223248,1.113838,0.217731,0.087499,0.013804,0.976180,0.861424,0.255411,0.089215,"tensor(0.9162, device='cuda:0')","tensor([1.0000, 0.8857, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.7200, 0.5517],
       device='cuda:0')","tensor(0.8986, device='cuda:0')","tensor(0.9168, device='cuda:0')"
7,1.012466,0.909972,0.216092,0.080700,0.018490,0.729449,0.613490,0.310212,0.084938,"tensor(0.9541, device='cuda:0')","tensor([1.0000, 0.9143, 0.9886, 1.0000, 1.0000, 1.0000, 1.0000, 0.8800, 0.7586],
       device='cuda:0')","tensor(0.9462, device='cuda:0')","tensor(0.9501, device='cuda:0')"
8,0.865400,0.769700,0.221294,0.073296,0.027519,0.554408,0.445270,0.325586,0.076580,"tensor(0.9514, device='cuda:0')","tensor([1.0000, 0.9143, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.8800, 0.8276],
       device='cuda:0')","tensor(0.9465, device='cuda:0')","tensor(0.9473, device='cuda:0')"
9,0.769025,0.678745,0.217866,0.068149,0.034508,0.442855,0.343328,0.289561,0.070571,"tensor(0.9595, device='cuda:0')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9400, 0.8621],
       device='cuda:0')","tensor(0.9565, device='cuda:0')","tensor(0.9536, device='cuda:0')"
10,0.706804,0.619872,0.218875,0.064601,0.044392,0.385016,0.294667,0.246997,0.065649,"tensor(0.9649, device='cuda:0')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9400, 0.9310],
       device='cuda:0')","tensor(0.9641, device='cuda:0')","tensor(0.9603, device='cuda:0')"
