epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.191537,2.037096,0.116173,0.142824,1.868404,1.738665,0.153408,0.114398,"tensor(0.8135, device='cuda:1')","tensor([0.9677, 0.8571, 0.9659, 0.9773, 0.9655, 1.0000, 1.0000, 0.3400, 0.1379],
       device='cuda:1')","tensor(0.7551, device='cuda:1')","tensor(0.8421, device='cuda:1')"
1,1.726885,1.585540,0.137258,0.127620,1.397046,1.269361,0.137901,0.113895,"tensor(0.9027, device='cuda:1')","tensor([1.0000, 0.9714, 0.9432, 1.0000, 1.0000, 1.0000, 1.0000, 0.4800, 0.8621],
       device='cuda:1')","tensor(0.8943, device='cuda:1')","tensor(0.8986, device='cuda:1')"
2,1.378175,1.244391,0.144479,0.119336,1.035381,0.913211,0.139121,0.108258,"tensor(0.9243, device='cuda:1')","tensor([1.0000, 0.9714, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.6600, 0.7931],
       device='cuda:1')","tensor(0.9171, device='cuda:1')","tensor(0.9179, device='cuda:1')"
3,1.134227,1.009159,0.148424,0.110226,0.784275,0.670521,0.146706,0.099083,"tensor(0.9459, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.8400, 0.8276],
       device='cuda:1')","tensor(0.9424, device='cuda:1')","tensor(0.9420, device='cuda:1')"
4,0.977647,0.860841,0.155306,0.101276,0.633582,0.526148,0.152604,0.092174,"tensor(0.9541, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.8800, 0.8621],
       device='cuda:1')","tensor(0.9514, device='cuda:1')","tensor(0.9498, device='cuda:1')"
5,0.873410,0.763745,0.159622,0.093703,0.537864,0.437342,0.148648,0.085657,"tensor(0.9649, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9400, 0.8621],
       device='cuda:1')","tensor(0.9611, device='cuda:1')","tensor(0.9605, device='cuda:1')"
6,0.799320,0.695761,0.157294,0.087829,0.465132,0.369182,0.150353,0.080914,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9600, 0.8966],
       device='cuda:1')","tensor(0.9678, device='cuda:1')","tensor(0.9669, device='cuda:1')"
7,0.744250,0.645930,0.155694,0.082750,0.415247,0.323568,0.147263,0.076953,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9707, device='cuda:1')","tensor(0.9703, device='cuda:1')"
8,0.703190,0.609316,0.151572,0.078717,0.384972,0.297057,0.148116,0.073104,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
9,0.671520,0.580739,0.148372,0.075943,0.357733,0.272181,0.148461,0.070706,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
10,0.647366,0.559235,0.145335,0.073597,0.328240,0.245489,0.147040,0.068047,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
11,0.630824,0.544603,0.143592,0.071862,0.323765,0.242585,0.146230,0.066557,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
12,0.616920,0.532123,0.142004,0.070597,0.322048,0.241221,0.146544,0.066173,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
13,0.606337,0.523458,0.138915,0.068987,0.302553,0.223429,0.141974,0.064927,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
14,0.599293,0.517072,0.137434,0.068477,0.302579,0.224605,0.142532,0.063720,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
15,0.593581,0.512667,0.134562,0.067458,0.298358,0.220826,0.144139,0.063118,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
16,0.590386,0.509870,0.133572,0.067159,0.291831,0.214994,0.142642,0.062573,"tensor(0.9784, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:1')","tensor(0.9783, device='cuda:1')","tensor(0.9773, device='cuda:1')"
17,0.587978,0.508053,0.131184,0.066806,0.284681,0.208878,0.138988,0.061905,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
18,0.582393,0.503476,0.130360,0.065881,0.275522,0.200585,0.136975,0.061239,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9724, device='cuda:1')","tensor(0.9709, device='cuda:1')"
19,0.578220,0.500468,0.125283,0.065224,0.274608,0.200301,0.135772,0.060730,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9746, device='cuda:1')","tensor(0.9739, device='cuda:1')"
