epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.371093,2.208348,0.066639,0.162079,2.383480,2.226443,0.060824,0.156428,"tensor(0.0784, device='cuda:1')","tensor([0.9032, 0.0286, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000],
       device='cuda:1')","tensor(0.0210, device='cuda:1')","tensor(0.0121, device='cuda:1')"
1,2.223168,2.067562,0.062378,0.154982,1.995442,1.863002,0.061328,0.131827,"tensor(0.8486, device='cuda:1')","tensor([0.9677, 0.9714, 0.8068, 0.9545, 1.0000, 1.0000, 1.0000, 0.4000, 0.8276],
       device='cuda:1')","tensor(0.8492, device='cuda:1')","tensor(0.8610, device='cuda:1')"
2,1.918825,1.777044,0.078205,0.140999,1.632886,1.502736,0.103876,0.129111,"tensor(0.8973, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9318, 1.0000, 1.0000, 1.0000, 0.5000, 0.8276],
       device='cuda:1')","tensor(0.8907, device='cuda:1')","tensor(0.8968, device='cuda:1')"
3,1.605750,1.474118,0.143204,0.130199,1.297917,1.173061,0.181410,0.123042,"tensor(0.9270, device='cuda:1')","tensor([1.0000, 0.9714, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.6000, 0.8966],
       device='cuda:1')","tensor(0.9221, device='cuda:1')","tensor(0.9234, device='cuda:1')"
4,1.302390,1.178315,0.176665,0.122308,0.990114,0.871483,0.171662,0.116914,"tensor(0.9243, device='cuda:1')","tensor([0.9032, 0.9714, 0.9659, 0.9091, 1.0000, 1.0000, 0.9750, 0.7000, 0.9655],
       device='cuda:1')","tensor(0.9218, device='cuda:1')","tensor(0.9262, device='cuda:1')"
5,1.057606,0.934329,0.185798,0.121419,0.765752,0.650027,0.211515,0.113610,"tensor(0.9243, device='cuda:1')","tensor([0.8710, 0.9429, 0.9432, 0.9091, 1.0000, 1.0000, 0.9750, 0.7800, 0.9655],
       device='cuda:1')","tensor(0.9234, device='cuda:1')","tensor(0.9278, device='cuda:1')"
6,0.889698,0.769799,0.210875,0.117791,0.596066,0.483219,0.234594,0.110501,"tensor(0.9243, device='cuda:1')","tensor([0.8710, 0.9429, 0.9432, 0.8409, 1.0000, 1.0000, 0.9750, 0.8200, 1.0000],
       device='cuda:1')","tensor(0.9241, device='cuda:1')","tensor(0.9310, device='cuda:1')"
7,0.793440,0.674777,0.227278,0.116390,0.516978,0.404816,0.250879,0.109652,"tensor(0.9216, device='cuda:1')","tensor([0.8710, 0.9429, 0.9545, 0.8636, 1.0000, 1.0000, 0.9500, 0.7800, 1.0000],
       device='cuda:1')","tensor(0.9213, device='cuda:1')","tensor(0.9304, device='cuda:1')"
8,0.734062,0.617520,0.242727,0.114116,0.429943,0.319882,0.263919,0.107422,"tensor(0.9459, device='cuda:1')","tensor([0.9032, 0.9714, 0.9545, 0.9091, 1.0000, 1.0000, 0.9750, 0.8600, 1.0000],
       device='cuda:1')","tensor(0.9474, device='cuda:1')","tensor(0.9473, device='cuda:1')"
9,0.691063,0.578034,0.246008,0.110568,0.402985,0.295913,0.255406,0.104518,"tensor(0.9486, device='cuda:1')","tensor([0.9355, 0.9714, 0.9659, 0.9545, 1.0000, 1.0000, 0.9750, 0.8000, 1.0000],
       device='cuda:1')","tensor(0.9497, device='cuda:1')","tensor(0.9494, device='cuda:1')"
10,0.658182,0.548561,0.240848,0.107212,0.399768,0.295990,0.237841,0.101399,"tensor(0.9541, device='cuda:1')","tensor([1.0000, 0.9429, 0.9886, 0.9545, 1.0000, 1.0000, 1.0000, 0.8400, 0.8621],
       device='cuda:1')","tensor(0.9529, device='cuda:1')","tensor(0.9542, device='cuda:1')"
11,0.638034,0.532390,0.227963,0.103365,0.371945,0.270392,0.237184,0.099181,"tensor(0.9541, device='cuda:1')","tensor([1.0000, 0.8857, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.8600, 0.9655],
       device='cuda:1')","tensor(0.9550, device='cuda:1')","tensor(0.9572, device='cuda:1')"
12,0.626577,0.523048,0.218258,0.101346,0.311656,0.211032,0.228919,0.098335,"tensor(0.9730, device='cuda:1')","tensor([0.9677, 0.9143, 0.9659, 0.9545, 1.0000, 1.0000, 1.0000, 1.0000, 0.9655],
       device='cuda:1')","tensor(0.9745, device='cuda:1')","tensor(0.9759, device='cuda:1')"
13,0.613462,0.512270,0.212610,0.099066,0.318687,0.220529,0.211739,0.096041,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.8857, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9310],
       device='cuda:1')","tensor(0.9663, device='cuda:1')","tensor(0.9659, device='cuda:1')"
14,0.604024,0.505312,0.198369,0.096728,0.336956,0.240746,0.200846,0.094202,"tensor(0.9595, device='cuda:1')","tensor([1.0000, 0.9429, 1.0000, 0.9773, 1.0000, 1.0000, 0.9750, 0.8000, 0.9655],
       device='cuda:1')","tensor(0.9590, device='cuda:1')","tensor(0.9612, device='cuda:1')"
15,0.601895,0.505251,0.188664,0.094757,0.341207,0.247914,0.193313,0.091359,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9143, 1.0000, 0.9545, 1.0000, 1.0000, 1.0000, 0.9200, 0.9655],
       device='cuda:1')","tensor(0.9730, device='cuda:1')","tensor(0.9742, device='cuda:1')"
16,0.595640,0.500962,0.182297,0.092854,0.302504,0.210942,0.189407,0.089668,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9655],
       device='cuda:1')","tensor(0.9753, device='cuda:1')","tensor(0.9737, device='cuda:1')"
17,0.590332,0.497932,0.177714,0.090623,0.305113,0.216454,0.185718,0.086802,"tensor(0.9703, device='cuda:1')","tensor([0.9677, 0.9143, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9600, 0.9655],
       device='cuda:1')","tensor(0.9685, device='cuda:1')","tensor(0.9659, device='cuda:1')"
18,0.588230,0.496515,0.170663,0.090008,0.321695,0.233264,0.179071,0.086640,"tensor(0.9676, device='cuda:1')","tensor([0.9677, 0.8857, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9655],
       device='cuda:1')","tensor(0.9660, device='cuda:1')","tensor(0.9655, device='cuda:1')"
19,0.587542,0.496086,0.169141,0.089765,0.309175,0.220419,0.175011,0.087005,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.8857, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9000, 0.9655],
       device='cuda:1')","tensor(0.9700, device='cuda:1')","tensor(0.9717, device='cuda:1')"
20,0.586347,0.496221,0.163806,0.088488,0.299810,0.212095,0.168538,0.086030,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 1.0000, 0.9773, 1.0000, 1.0000, 0.9750, 0.9200, 0.9310],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9736, device='cuda:1')"
21,0.585693,0.495823,0.161361,0.088256,0.329247,0.243163,0.169580,0.084388,"tensor(0.9811, device='cuda:1')","tensor([1.0000, 0.9714, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9600, 0.9310],
       device='cuda:1')","tensor(0.9779, device='cuda:1')","tensor(0.9753, device='cuda:1')"
22,0.582853,0.494436,0.158112,0.086836,0.290158,0.204820,0.167167,0.083666,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.8857, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9200, 1.0000],
       device='cuda:1')","tensor(0.9768, device='cuda:1')","tensor(0.9789, device='cuda:1')"
23,0.581239,0.493246,0.153677,0.086456,0.305296,0.220616,0.158354,0.083096,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.8857, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9655],
       device='cuda:1')","tensor(0.9747, device='cuda:1')","tensor(0.9761, device='cuda:1')"
24,0.579314,0.491949,0.151321,0.085852,0.303908,0.220293,0.158124,0.082034,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9200, 0.9310],
       device='cuda:1')","tensor(0.9743, device='cuda:1')","tensor(0.9748, device='cuda:1')"
25,0.577160,0.490903,0.148145,0.084776,0.307927,0.224382,0.159789,0.081947,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 1.0000, 0.9000, 0.9655],
       device='cuda:1')","tensor(0.9707, device='cuda:1')","tensor(0.9697, device='cuda:1')"
26,0.576255,0.490365,0.147009,0.084420,0.300728,0.217740,0.153277,0.081455,"tensor(0.9811, device='cuda:1')","tensor([1.0000, 0.9429, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9655],
       device='cuda:1')","tensor(0.9799, device='cuda:1')","tensor(0.9798, device='cuda:1')"
27,0.575064,0.489556,0.144576,0.084062,0.299876,0.217319,0.152153,0.081035,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9143, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9310],
       device='cuda:1')","tensor(0.9733, device='cuda:1')","tensor(0.9736, device='cuda:1')"
28,0.574674,0.489178,0.143547,0.084060,0.295649,0.213261,0.151669,0.080871,"tensor(0.9757, device='cuda:1')","tensor([0.9677, 0.9143, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9600, 0.9655],
       device='cuda:1')","tensor(0.9725, device='cuda:1')","tensor(0.9711, device='cuda:1')"
29,0.573764,0.488701,0.141292,0.083650,0.307879,0.226047,0.149729,0.080334,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9200, 0.9655],
       device='cuda:1')","tensor(0.9747, device='cuda:1')","tensor(0.9737, device='cuda:1')"
30,0.572952,0.488467,0.139380,0.083092,0.305135,0.223443,0.150291,0.080188,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9200, 0.9655],
       device='cuda:1')","tensor(0.9747, device='cuda:1')","tensor(0.9737, device='cuda:1')"
31,0.572396,0.488088,0.137682,0.082931,0.298377,0.217020,0.145972,0.079898,"tensor(0.9784, device='cuda:1')","tensor([0.9677, 0.9143, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9600, 0.9655],
       device='cuda:1')","tensor(0.9748, device='cuda:1')","tensor(0.9742, device='cuda:1')"
32,0.571964,0.487894,0.135335,0.082717,0.298816,0.217838,0.145348,0.079525,"tensor(0.9838, device='cuda:1')","tensor([1.0000, 0.9429, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9600, 0.9655],
       device='cuda:1')","tensor(0.9817, device='cuda:1')","tensor(0.9810, device='cuda:1')"
33,0.571518,0.487691,0.135280,0.082474,0.308886,0.227724,0.145136,0.079711,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9200, 0.9655],
       device='cuda:1')","tensor(0.9747, device='cuda:1')","tensor(0.9737, device='cuda:1')"
34,0.571020,0.487548,0.133001,0.082143,0.297153,0.216444,0.142897,0.079280,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9143, 1.0000, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9310],
       device='cuda:1')","tensor(0.9733, device='cuda:1')","tensor(0.9736, device='cuda:1')"
35,0.570670,0.487390,0.132339,0.081957,0.302467,0.221965,0.145588,0.079046,"tensor(0.9784, device='cuda:1')","tensor([1.0000, 0.9429, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9655],
       device='cuda:1')","tensor(0.9776, device='cuda:1')","tensor(0.9766, device='cuda:1')"
36,0.570171,0.487264,0.131665,0.081590,0.307151,0.226526,0.145489,0.079171,"tensor(0.9730, device='cuda:1')","tensor([0.9677, 0.9429, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9310],
       device='cuda:1')","tensor(0.9697, device='cuda:1')","tensor(0.9682, device='cuda:1')"
37,0.569283,0.487160,0.133526,0.080788,0.302362,0.221771,0.143141,0.079160,"tensor(0.9784, device='cuda:1')","tensor([1.0000, 0.9429, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9655],
       device='cuda:1')","tensor(0.9776, device='cuda:1')","tensor(0.9766, device='cuda:1')"
38,0.569584,0.487056,0.130376,0.081224,0.302207,0.221871,0.142176,0.078915,"tensor(0.9784, device='cuda:1')","tensor([1.0000, 0.9429, 0.9886, 0.9773, 1.0000, 1.0000, 1.0000, 0.9400, 0.9655],
       device='cuda:1')","tensor(0.9776, device='cuda:1')","tensor(0.9766, device='cuda:1')"
