epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.424651,2.217895,0.132325,0.193523,2.379579,2.186588,0.138216,0.179170,0.135135,0.111111,0.026774,0.015221
1,2.401287,2.196827,0.123601,0.192100,2.328697,2.140122,0.125639,0.176011,0.178378,0.148990,0.091760,0.233259
2,2.336393,2.136458,0.113307,0.188605,2.236567,2.054214,0.123246,0.170028,0.681081,0.659115,0.689383,0.854827
3,2.236284,2.040058,0.116855,0.184541,2.104329,1.924162,0.136630,0.166504,0.954054,0.952271,0.949885,0.952159
4,2.096823,1.904242,0.129521,0.179630,1.915362,1.735744,0.151773,0.164441,0.929730,0.934840,0.924621,0.927154
5,1.905210,1.717397,0.142765,0.173536,1.657621,1.481601,0.161428,0.159877,0.921622,0.928420,0.914225,0.917028
6,1.666604,1.483190,0.153967,0.168018,1.353714,1.182851,0.167741,0.154088,0.937838,0.945028,0.933842,0.934928
7,1.418362,1.240138,0.167352,0.161489,1.054944,0.889435,0.183098,0.147199,0.948649,0.953051,0.945551,0.946572
8,1.203417,1.032231,0.184653,0.152721,0.813098,0.655286,0.194218,0.138391,0.956757,0.958765,0.954120,0.953424
9,1.044538,0.884254,0.194755,0.140808,0.644544,0.498207,0.202430,0.126095,0.962162,0.964170,0.959753,0.957694
10,0.934187,0.784444,0.200052,0.129738,0.539217,0.401379,0.210331,0.116805,0.967568,0.967005,0.964829,0.964406
11,0.857139,0.715370,0.203680,0.121401,0.465480,0.334500,0.211812,0.109798,0.970270,0.970843,0.969036,0.968426
12,0.799462,0.664745,0.203865,0.114330,0.412198,0.286415,0.215008,0.104282,0.975676,0.978506,0.976670,0.975437
13,0.756518,0.627083,0.202886,0.109146,0.373616,0.251886,0.216652,0.100065,0.978378,0.981681,0.979343,0.977432
14,0.723103,0.598145,0.198813,0.105076,0.347334,0.229485,0.217681,0.096081,0.978378,0.981681,0.979343,0.977432
15,0.696952,0.575101,0.199048,0.101947,0.329331,0.214219,0.214517,0.093660,0.978378,0.981681,0.979343,0.977432
16,0.677509,0.558477,0.193943,0.099637,0.315112,0.201529,0.217616,0.091822,0.975676,0.977849,0.975618,0.974034
17,0.661648,0.544997,0.190662,0.097585,0.303207,0.191265,0.217853,0.090156,0.978378,0.981681,0.979343,0.977432
18,0.649611,0.534847,0.188140,0.095951,0.295799,0.185728,0.212109,0.088860,0.978378,0.981681,0.979343,0.977432
19,0.640094,0.527458,0.182158,0.094421,0.291034,0.182213,0.213135,0.087508,0.978378,0.981681,0.979343,0.977432
20,0.633417,0.521802,0.182091,0.093405,0.289625,0.181868,0.212583,0.086499,0.978378,0.981681,0.979343,0.977432
21,0.627742,0.517313,0.181107,0.092318,0.280267,0.173862,0.208049,0.085600,0.978378,0.981681,0.979343,0.977432
22,0.623465,0.513837,0.177183,0.091910,0.277142,0.171441,0.208951,0.084806,0.978378,0.981024,0.978264,0.976097
23,0.619675,0.510963,0.176203,0.091091,0.279551,0.174193,0.208243,0.084533,0.981081,0.984855,0.981989,0.979496
24,0.615947,0.508339,0.173064,0.090302,0.271377,0.166595,0.206342,0.084148,0.981081,0.984855,0.981989,0.979496
25,0.613309,0.506482,0.170259,0.089801,0.266582,0.162122,0.208188,0.083641,0.981081,0.984855,0.981989,0.979496
26,0.610905,0.504677,0.168920,0.089335,0.280308,0.176263,0.208612,0.083184,0.975676,0.977193,0.975139,0.973975
27,0.608741,0.503249,0.166604,0.088831,0.268024,0.164226,0.206368,0.083161,0.981081,0.984855,0.981989,0.979496
28,0.607193,0.502104,0.166249,0.088464,0.261378,0.158073,0.206475,0.082657,0.981081,0.984855,0.981989,0.979496
29,0.605483,0.500894,0.165451,0.088044,0.265072,0.162070,0.207662,0.082236,0.981081,0.984855,0.981989,0.979496
30,0.603830,0.499918,0.162827,0.087629,0.269539,0.166720,0.208063,0.082013,0.978378,0.981024,0.978936,0.977384
31,0.602579,0.499091,0.160797,0.087408,0.264916,0.162466,0.207328,0.081717,0.981081,0.984855,0.981989,0.979496
32,0.601596,0.498381,0.160404,0.087174,0.261637,0.159303,0.206803,0.081653,0.981081,0.984855,0.981989,0.979496
33,0.600588,0.497733,0.159376,0.086918,0.265022,0.162687,0.207197,0.081615,0.981081,0.984855,0.981989,0.979496
34,0.599768,0.497288,0.157827,0.086698,0.265102,0.162991,0.206377,0.081474,0.981081,0.984855,0.981989,0.979496
35,0.599227,0.496875,0.157137,0.086639,0.265726,0.163624,0.206807,0.081422,0.978378,0.981024,0.978936,0.977384
36,0.598691,0.496506,0.157002,0.086485,0.262947,0.161015,0.207401,0.081192,0.978378,0.981024,0.978936,0.977384
37,0.598058,0.496289,0.155557,0.086214,0.264185,0.162529,0.206341,0.081022,0.978378,0.981024,0.978936,0.977384
38,0.597468,0.495960,0.154132,0.086095,0.263457,0.161827,0.206832,0.080946,0.978378,0.981024,0.978936,0.977384
39,0.597355,0.495792,0.155076,0.086056,0.262782,0.161139,0.207055,0.080937,0.978378,0.981024,0.978936,0.977384
40,0.596757,0.495580,0.153693,0.085807,0.264070,0.162447,0.207279,0.080895,0.978378,0.981024,0.978936,0.977384
41,0.596771,0.495422,0.153731,0.085977,0.262871,0.161232,0.207141,0.080925,0.983784,0.987633,0.985279,0.983200
42,0.596309,0.495295,0.153041,0.085710,0.264371,0.162895,0.206807,0.080795,0.978378,0.981024,0.978936,0.977384
43,0.596344,0.495174,0.153399,0.085830,0.264231,0.162699,0.207373,0.080794,0.978378,0.981024,0.978936,0.977384
44,0.596232,0.495118,0.152651,0.085849,0.265466,0.163881,0.207633,0.080822,0.978378,0.981024,0.978936,0.977384
45,0.596124,0.495068,0.153222,0.085734,0.265132,0.163682,0.207513,0.080699,0.978378,0.981024,0.978936,0.977384
46,0.596031,0.494999,0.152945,0.085738,0.265082,0.163711,0.207150,0.080656,0.978378,0.981024,0.978936,0.977384
47,0.595999,0.494999,0.152037,0.085796,0.264663,0.163248,0.207898,0.080625,0.978378,0.981024,0.978936,0.977384
48,0.595825,0.494961,0.152110,0.085653,0.264146,0.162827,0.207587,0.080561,0.978378,0.981024,0.978936,0.977384
49,0.595850,0.494983,0.152104,0.085657,0.264198,0.162805,0.207882,0.080605,0.978378,0.981024,0.978936,0.977384
