epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.457661,2.215578,0.123521,0.229731,2.423585,2.196684,0.117281,0.215173,0.135135,0.113822,0.038587,0.038195
1,2.352753,2.115372,0.101806,0.227201,2.154088,1.937460,0.103868,0.206241,0.832432,0.835796,0.820921,0.842698
2,2.081735,1.839047,0.130736,0.229614,1.740795,1.501256,0.184351,0.221104,0.870270,0.886994,0.871332,0.895440
3,1.711699,1.460796,0.160873,0.234816,1.240249,0.994692,0.164728,0.229084,0.932432,0.945413,0.933676,0.933307
4,1.338301,1.093807,0.147843,0.229709,0.847354,0.610083,0.151458,0.222125,0.959459,0.969653,0.961557,0.956552
5,1.094903,0.864204,0.143801,0.216318,0.598372,0.383802,0.152103,0.199360,0.978378,0.985108,0.980955,0.977514
6,0.944180,0.727950,0.158204,0.200410,0.461255,0.263587,0.161561,0.181512,0.978378,0.983845,0.980421,0.977570
7,0.839023,0.638376,0.168380,0.183809,0.383937,0.198345,0.175110,0.168081,0.981081,0.985108,0.981839,0.978967
8,0.763513,0.578291,0.174535,0.167769,0.333007,0.161807,0.179564,0.153244,0.983784,0.986371,0.983567,0.981102
9,0.714178,0.542853,0.181018,0.153223,0.319282,0.160270,0.184963,0.140516,0.983784,0.986118,0.982956,0.980108
10,0.680661,0.521081,0.180912,0.141489,0.290383,0.141056,0.187788,0.130548,0.986486,0.987381,0.985416,0.983684
11,0.661128,0.510052,0.180018,0.133075,0.295009,0.152506,0.186800,0.123823,0.989189,0.990158,0.988706,0.987388
12,0.648481,0.504141,0.176933,0.126646,0.291701,0.154383,0.188080,0.118510,0.986486,0.987381,0.985416,0.983684
13,0.639306,0.500018,0.173094,0.121979,0.304983,0.172810,0.183498,0.113824,0.983784,0.986118,0.983696,0.981549
14,0.632479,0.497976,0.169597,0.117544,0.311552,0.183115,0.185528,0.109885,0.983784,0.986118,0.982956,0.980108
15,0.627735,0.496414,0.167881,0.114533,0.303224,0.177795,0.182894,0.107140,0.983784,0.986118,0.983696,0.981549
16,0.623008,0.495064,0.163565,0.111588,0.280963,0.156484,0.179931,0.106486,0.986486,0.987381,0.985416,0.983684
17,0.619189,0.494059,0.160230,0.109107,0.266428,0.143689,0.181707,0.104569,0.989189,0.990158,0.988706,0.987388
18,0.615379,0.492909,0.156186,0.106851,0.271402,0.151329,0.180160,0.102057,0.986486,0.987381,0.985416,0.983684
19,0.612418,0.492054,0.153934,0.104971,0.289931,0.173423,0.176147,0.098894,0.983784,0.986118,0.982956,0.980108
20,0.610062,0.491334,0.150312,0.103697,0.286087,0.172139,0.172848,0.096664,0.981081,0.984855,0.981989,0.979496
21,0.607464,0.490464,0.145988,0.102401,0.273347,0.159116,0.171315,0.097100,0.989189,0.990158,0.988706,0.987388
22,0.604851,0.489847,0.143683,0.100636,0.265852,0.152425,0.170152,0.096412,0.989189,0.990158,0.988706,0.987388
23,0.602446,0.489367,0.139417,0.099137,0.270643,0.158907,0.170477,0.094689,0.986486,0.987381,0.985416,0.983684
24,0.600506,0.488727,0.136128,0.098166,0.283675,0.172776,0.171021,0.093797,0.983784,0.986118,0.982956,0.980108
25,0.599268,0.488341,0.135031,0.097423,0.279561,0.169970,0.168353,0.092755,0.986486,0.987381,0.985416,0.983684
26,0.597550,0.487656,0.132906,0.096603,0.268889,0.159331,0.170166,0.092541,0.986486,0.987381,0.985416,0.983684
27,0.596159,0.487294,0.131635,0.095702,0.268848,0.160176,0.171120,0.091559,0.989189,0.990158,0.988706,0.987388
28,0.595168,0.487021,0.130696,0.095078,0.277799,0.169796,0.169717,0.091031,0.989189,0.990158,0.988706,0.987388
29,0.593995,0.486778,0.128579,0.094359,0.276800,0.169198,0.167759,0.090826,0.989189,0.990158,0.988706,0.987388
30,0.593247,0.486578,0.126372,0.094033,0.274664,0.166998,0.167125,0.090953,0.986486,0.987381,0.985416,0.983684
31,0.592448,0.486419,0.125127,0.093516,0.275902,0.168787,0.167382,0.090378,0.986486,0.987381,0.985416,0.983684
32,0.591924,0.486265,0.123778,0.093281,0.275633,0.168692,0.167138,0.090227,0.986486,0.987381,0.985416,0.983684
33,0.591187,0.486163,0.122125,0.092811,0.275035,0.168354,0.166239,0.090057,0.989189,0.990158,0.988706,0.987388
34,0.590559,0.486074,0.120269,0.092458,0.276820,0.170578,0.164267,0.089816,0.986486,0.988896,0.986985,0.985253
35,0.589973,0.486012,0.119197,0.092041,0.276432,0.170777,0.163067,0.089348,0.989189,0.990158,0.988706,0.987388
36,0.589614,0.485943,0.117650,0.091905,0.276324,0.170908,0.162878,0.089128,0.986486,0.988896,0.986985,0.985253
37,0.589081,0.485890,0.115724,0.091619,0.276624,0.171438,0.162414,0.088944,0.986486,0.988896,0.986985,0.985253
38,0.588702,0.485849,0.114651,0.091387,0.276822,0.171662,0.162319,0.088929,0.986486,0.988896,0.986985,0.985253
39,0.588468,0.485817,0.114148,0.091236,0.276832,0.171935,0.160284,0.088868,0.986486,0.987381,0.985416,0.983684
40,0.588040,0.485785,0.112740,0.090981,0.276695,0.171923,0.160236,0.088748,0.989189,0.990158,0.988706,0.987388
41,0.587935,0.485764,0.112190,0.090952,0.276741,0.171972,0.160193,0.088750,0.989189,0.990158,0.988706,0.987388
42,0.587724,0.485737,0.111309,0.090857,0.276459,0.171848,0.160272,0.088583,0.989189,0.990158,0.988706,0.987388
43,0.587562,0.485722,0.111126,0.090728,0.276415,0.171954,0.160293,0.088432,0.986486,0.988896,0.986985,0.985253
44,0.587416,0.485711,0.110592,0.090645,0.276602,0.172115,0.160010,0.088486,0.986486,0.988896,0.986985,0.985253
45,0.587297,0.485704,0.110245,0.090569,0.276640,0.172057,0.160418,0.088541,0.986486,0.988896,0.986985,0.985253
46,0.587259,0.485698,0.110334,0.090527,0.276581,0.172077,0.160176,0.088486,0.989189,0.990158,0.988706,0.987388
47,0.587228,0.485699,0.110177,0.090512,0.276624,0.172165,0.159825,0.088477,0.989189,0.990158,0.988706,0.987388
