epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
0,2.192913,2.182797,1.011671,2.184121,2.178820,0.530129,0.218919,0.188283,0.148233,0.127743
1,2.109513,2.099810,0.970318,2.063270,2.055154,0.811574,0.589189,0.562607,0.471447,0.520518
2,1.915631,1.907358,0.827356,1.727759,1.720967,0.679224,0.824324,0.815216,0.779084,0.835838
3,1.700574,1.694488,0.608678,1.487487,1.482094,0.539344,0.878378,0.874861,0.854264,0.880265
4,1.504410,1.499980,0.442968,1.274892,1.270351,0.454064,0.916216,0.918492,0.902189,0.908553
5,1.309311,1.305858,0.345309,1.058178,1.054502,0.367586,0.935135,0.938325,0.926218,0.927000
6,1.119915,1.117068,0.284727,0.856910,0.853736,0.317409,0.956757,0.957712,0.950659,0.948579
7,0.956596,0.954126,0.247005,0.679870,0.677122,0.274772,0.967568,0.966601,0.961711,0.959910
8,0.826096,0.823883,0.221339,0.535788,0.533304,0.248403,0.970270,0.971399,0.968556,0.966919
9,0.726155,0.724107,0.204795,0.427021,0.424814,0.220737,0.978378,0.978715,0.977901,0.977644
10,0.654573,0.652625,0.194730,0.361156,0.359092,0.206372,0.978378,0.978059,0.976622,0.975862
11,0.608643,0.606776,0.186686,0.318096,0.316155,0.194144,0.975676,0.974884,0.973929,0.973793
12,0.579161,0.577360,0.180054,0.297608,0.295694,0.191392,0.978378,0.978715,0.977901,0.977644
13,0.558898,0.557169,0.172901,0.266901,0.265030,0.187081,0.978378,0.978715,0.977901,0.977644
14,0.545528,0.543885,0.164248,0.244696,0.242915,0.178133,0.978378,0.978715,0.977901,0.977644
15,0.536149,0.534594,0.155464,0.236711,0.235026,0.168507,0.978378,0.978715,0.977901,0.977644
16,0.527904,0.526448,0.145657,0.244260,0.242632,0.162809,0.975676,0.975938,0.974611,0.973940
17,0.522469,0.521092,0.137715,0.232077,0.230479,0.159777,0.978378,0.978715,0.977901,0.977644
18,0.517822,0.516498,0.132390,0.217378,0.215796,0.158198,0.975676,0.975938,0.974611,0.973940
19,0.513621,0.512343,0.127849,0.224457,0.222906,0.155126,0.978378,0.979112,0.977304,0.976009
20,0.510449,0.509206,0.124316,0.234036,0.232568,0.146755,0.975676,0.975281,0.973395,0.972398
21,0.508418,0.507218,0.120067,0.202591,0.201090,0.150114,0.978378,0.979112,0.977304,0.976009
22,0.506295,0.505132,0.116320,0.209034,0.207564,0.147016,0.978378,0.979112,0.976546,0.974368
23,0.504647,0.503528,0.111901,0.220944,0.219522,0.142112,0.981081,0.982287,0.979971,0.978150
24,0.502876,0.501784,0.109252,0.212847,0.211427,0.141936,0.975676,0.975938,0.974611,0.973940
25,0.501107,0.500048,0.105918,0.204852,0.203438,0.141469,0.978378,0.979112,0.975871,0.973054
26,0.500097,0.499066,0.103024,0.210093,0.208718,0.137578,0.978378,0.979112,0.977304,0.976009
27,0.498840,0.497833,0.100751,0.206044,0.204694,0.135017,0.981081,0.982287,0.979971,0.978150
28,0.497981,0.497000,0.098070,0.204348,0.203028,0.132040,0.978378,0.979112,0.976546,0.974368
29,0.497382,0.496422,0.096066,0.216017,0.214709,0.130748,0.981081,0.982287,0.979971,0.978150
30,0.496697,0.495763,0.093340,0.204722,0.203419,0.130294,0.978378,0.979112,0.976546,0.974368
31,0.496164,0.495253,0.091138,0.206487,0.205178,0.130949,0.978378,0.979112,0.976546,0.974368
32,0.495738,0.494844,0.089456,0.210940,0.209647,0.129346,0.981081,0.982287,0.979971,0.978150
33,0.495212,0.494330,0.088200,0.207526,0.206240,0.128586,0.978378,0.979112,0.976546,0.974368
34,0.494863,0.493993,0.087017,0.208820,0.207537,0.128256,0.978378,0.979112,0.976546,0.974368
35,0.494549,0.493692,0.085722,0.206553,0.205279,0.127336,0.978378,0.979112,0.976546,0.974368
36,0.494257,0.493415,0.084162,0.208228,0.206957,0.127110,0.978378,0.979112,0.976546,0.974368
37,0.494032,0.493200,0.083223,0.208308,0.207037,0.127119,0.978378,0.979112,0.976546,0.974368
38,0.493854,0.493028,0.082625,0.207566,0.206302,0.126458,0.978378,0.979112,0.976546,0.974368
39,0.493707,0.492889,0.081820,0.208047,0.206788,0.125956,0.978378,0.979112,0.976546,0.974368
40,0.493559,0.492747,0.081159,0.207771,0.206509,0.126167,0.978378,0.979112,0.976546,0.974368
41,0.493450,0.492645,0.080484,0.207778,0.206520,0.125749,0.978378,0.979112,0.976546,0.974368
42,0.493366,0.492565,0.080049,0.207152,0.205895,0.125652,0.978378,0.979112,0.976546,0.974368
43,0.493297,0.492500,0.079714,0.206665,0.205407,0.125757,0.978378,0.979112,0.976546,0.974368
44,0.493249,0.492452,0.079637,0.206186,0.204926,0.126006,0.978378,0.979112,0.976546,0.974368
45,0.493195,0.492401,0.079417,0.207321,0.206064,0.125701,0.978378,0.979112,0.976546,0.974368
46,0.493176,0.492384,0.079150,0.206865,0.205610,0.125488,0.978378,0.979112,0.976546,0.974368
47,0.493138,0.492348,0.079063,0.206427,0.205173,0.125384,0.978378,0.979112,0.976546,0.974368
48,0.493132,0.492343,0.078945,0.206467,0.205213,0.125401,0.978378,0.979112,0.976546,0.974368
49,0.493127,0.492338,0.078893,0.206329,0.205075,0.125322,0.978378,0.979112,0.976546,0.974368
