epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.275027,0.528576,0.746451,0.087286,1.491804,0.808098,0.683707,0.113558,1.410338,0.808245
1,1.085655,0.504136,0.581519,0.125687,1.334654,0.798960,0.535694,0.148822,1.389537,0.798948
2,0.951592,0.498842,0.452750,0.153331,1.211609,0.792470,0.419139,0.173965,1.377242,0.792653
3,0.835517,0.495623,0.339895,0.173482,1.094863,0.789252,0.305611,0.189513,1.369490,0.789253
4,0.736820,0.492359,0.244460,0.188444,1.005324,0.786676,0.218648,0.201115,1.363494,0.786308
5,0.670191,0.489846,0.180345,0.199648,0.951141,0.783080,0.168060,0.210722,1.356184,0.782603
6,0.635679,0.487924,0.147755,0.208051,0.924505,0.781124,0.143381,0.214643,1.352913,0.781266
7,0.618267,0.486575,0.131692,0.212002,0.911233,0.779301,0.131932,0.220533,1.347607,0.779208
8,0.609233,0.485893,0.123340,0.217654,0.902778,0.777778,0.124999,0.228426,1.346119,0.778249
9,0.603786,0.484984,0.118802,0.222136,0.900137,0.778630,0.121508,0.226683,1.345410,0.778573
10,0.600720,0.484467,0.116253,0.227694,0.895427,0.777014,0.118413,0.232378,1.341080,0.776779
11,0.596927,0.483193,0.113734,0.233420,0.892750,0.775345,0.117405,0.237692,1.338223,0.775614
12,0.595944,0.483340,0.112604,0.237589,0.890822,0.775637,0.115184,0.237007,1.338795,0.775824
13,0.594679,0.483148,0.111530,0.244344,0.888484,0.774056,0.114428,0.243408,1.333764,0.773792
14,0.593437,0.482659,0.110778,0.247204,0.887001,0.773790,0.113211,0.247335,1.334501,0.774002
15,0.592442,0.481728,0.110714,0.250036,0.886052,0.772541,0.113511,0.248544,1.331747,0.772606
16,0.590914,0.480588,0.110326,0.252910,0.883191,0.770478,0.112713,0.249908,1.327876,0.770291
17,0.589733,0.480565,0.109168,0.254094,0.882956,0.771408,0.111548,0.254942,1.331344,0.771710
18,0.588524,0.479651,0.108873,0.258699,0.881983,0.770541,0.111442,0.258721,1.328542,0.770698
0,1.275027,0.528576,0.746451,0.087286,1.491804,0.808098,0.683707,0.113558,1.410338,0.808245
1,1.085655,0.504136,0.581519,0.125687,1.334654,0.798960,0.535694,0.148822,1.389537,0.798948
2,0.951592,0.498842,0.452750,0.153331,1.211609,0.792470,0.419139,0.173965,1.377242,0.792653
3,0.835517,0.495623,0.339895,0.173482,1.094863,0.789252,0.305611,0.189513,1.369490,0.789253
4,0.736820,0.492359,0.244460,0.188444,1.005324,0.786676,0.218648,0.201115,1.363494,0.786308
5,0.670191,0.489846,0.180345,0.199648,0.951141,0.783080,0.168060,0.210722,1.356184,0.782603
6,0.635679,0.487924,0.147755,0.208051,0.924505,0.781124,0.143381,0.214643,1.352913,0.781266
7,0.618267,0.486575,0.131692,0.212002,0.911233,0.779301,0.131932,0.220533,1.347607,0.779208
8,0.609233,0.485893,0.123340,0.217654,0.902778,0.777778,0.124999,0.228426,1.346119,0.778249
9,0.603786,0.484984,0.118802,0.222136,0.900137,0.778630,0.121508,0.226683,1.345410,0.778573
10,0.600720,0.484467,0.116253,0.227694,0.895427,0.777014,0.118413,0.232378,1.341080,0.776779
11,0.596927,0.483193,0.113734,0.233420,0.892750,0.775345,0.117405,0.237692,1.338223,0.775614
12,0.595944,0.483340,0.112604,0.237589,0.890822,0.775637,0.115184,0.237007,1.338795,0.775824
13,0.594679,0.483148,0.111530,0.244344,0.888484,0.774056,0.114428,0.243408,1.333764,0.773792
14,0.593437,0.482659,0.110778,0.247204,0.887001,0.773790,0.113211,0.247335,1.334501,0.774002
15,0.592442,0.481728,0.110714,0.250036,0.886052,0.772541,0.113511,0.248544,1.331747,0.772606
16,0.590914,0.480588,0.110326,0.252910,0.883191,0.770478,0.112713,0.249908,1.327876,0.770291
17,0.589733,0.480565,0.109168,0.254094,0.882956,0.771408,0.111548,0.254942,1.331344,0.771710
18,0.588524,0.479651,0.108873,0.258699,0.881983,0.770541,0.111442,0.258721,1.328542,0.770698
