epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.331119,0.578431,0.752688,0.075096,1.529077,0.890238,0.638840,0.097075,1.669345,0.890559
1,1.113985,0.562290,0.551695,0.102675,1.371965,0.884141,0.487824,0.117942,1.656241,0.883987
2,0.955571,0.557243,0.398328,0.119245,1.206292,0.878753,0.327539,0.134721,1.645780,0.878490
3,0.820268,0.553926,0.266343,0.135531,1.093810,0.872727,0.221083,0.149893,1.634101,0.872996
4,0.740090,0.550542,0.189548,0.150842,1.031412,0.867449,0.163962,0.162068,1.621239,0.867300
5,0.696112,0.548152,0.147960,0.163101,0.998911,0.866949,0.131961,0.171986,1.622647,0.866922
6,0.671344,0.545934,0.125410,0.172284,0.977612,0.863160,0.114452,0.179244,1.612083,0.863463
7,0.658565,0.544771,0.113794,0.179184,0.970777,0.865023,0.105754,0.185734,1.619472,0.864806
8,0.650609,0.543324,0.107285,0.183394,0.961352,0.861420,0.099932,0.187668,1.607542,0.861383
9,0.645137,0.542496,0.102641,0.186731,0.957235,0.860552,0.096682,0.190607,1.602868,0.860390
10,0.640668,0.541351,0.099317,0.190365,0.953658,0.859943,0.093715,0.193507,1.604780,0.859956
11,0.637431,0.540747,0.096684,0.194034,0.952623,0.861089,0.091534,0.199709,1.608700,0.861322
12,0.633829,0.539261,0.094568,0.197731,0.949344,0.859482,0.089862,0.202821,1.604192,0.858945
13,0.630881,0.538056,0.092825,0.201183,0.948794,0.860361,0.088433,0.201551,1.607423,0.860240
14,0.628034,0.536548,0.091487,0.203799,0.948696,0.861870,0.086826,0.206118,1.610668,0.861808
15,0.625789,0.535396,0.090393,0.206880,0.946440,0.859840,0.086600,0.209214,1.609457,0.859958
0,1.327473,0.578433,0.749040,0.081017,1.533240,0.891228,0.642012,0.103989,1.672406,0.891543
1,1.114844,0.562544,0.552301,0.109713,1.371350,0.884600,0.486750,0.129410,1.658367,0.884435
2,0.956022,0.557641,0.398382,0.130058,1.203516,0.879656,0.323860,0.148860,1.647856,0.879390
3,0.817691,0.554122,0.263569,0.144502,1.088017,0.871858,0.216159,0.155692,1.631138,0.872133
4,0.735474,0.550453,0.185021,0.152632,1.029414,0.869451,0.159963,0.161640,1.624378,0.869297
5,0.693257,0.548094,0.145163,0.159380,0.996331,0.866444,0.129887,0.167770,1.618229,0.866412
6,0.670800,0.545858,0.124941,0.164789,0.977497,0.863344,0.114153,0.169495,1.609648,0.863651
7,0.658701,0.544868,0.113833,0.169789,0.968311,0.862389,0.105922,0.174329,1.608612,0.862180
8,0.650556,0.543231,0.107325,0.174507,0.960927,0.860243,0.100684,0.177898,1.602575,0.860209
9,0.645319,0.542199,0.103121,0.179544,0.957354,0.859901,0.097452,0.184331,1.601317,0.859742
10,0.641036,0.540963,0.100074,0.184250,0.955751,0.860616,0.095135,0.187445,1.604651,0.860597
11,0.637901,0.540189,0.097713,0.188201,0.956665,0.863543,0.093122,0.189680,1.613283,0.863760
12,0.634705,0.538823,0.095882,0.192001,0.954245,0.863427,0.090819,0.195927,1.612165,0.862882
