epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.497232,0.572075,0.925157,0.062220,1.522028,0.563840,0.958189,0.074920,0.653023,0.563801
1,1.454598,0.563982,0.890616,0.066963,1.475355,0.557120,0.918235,0.074801,0.642906,0.557101
2,1.412138,0.558991,0.853147,0.071876,1.434173,0.554040,0.880133,0.081969,0.638810,0.553924
3,1.375164,0.556245,0.818919,0.078662,1.398259,0.552228,0.846031,0.088577,0.636447,0.552151
4,1.342237,0.554758,0.787479,0.085548,1.363866,0.551047,0.812819,0.095931,0.634856,0.550922
5,1.312124,0.554572,0.757552,0.091646,1.332619,0.550721,0.781898,0.102989,0.635430,0.550814
6,1.283735,0.553485,0.730250,0.097637,1.303842,0.549585,0.754257,0.107879,0.633435,0.549640
7,1.256296,0.551249,0.705047,0.101954,1.275842,0.548643,0.727199,0.113025,0.631274,0.548504
8,1.232961,0.551947,0.681014,0.106503,1.253372,0.548077,0.705295,0.117217,0.631303,0.548289
9,1.210050,0.551499,0.658551,0.110935,1.231218,0.548331,0.682887,0.121710,0.631402,0.548073
10,1.187977,0.550905,0.637072,0.114978,1.207614,0.546801,0.660814,0.124986,0.628583,0.546947
11,1.165654,0.549336,0.616318,0.119482,1.186714,0.547091,0.639623,0.130757,0.629311,0.546796
12,1.145607,0.549678,0.595929,0.123234,1.163426,0.546160,0.617266,0.135645,0.628580,0.546294
13,1.125176,0.548845,0.576332,0.127354,1.144556,0.546057,0.598499,0.138724,0.628489,0.546188
14,1.105267,0.548664,0.556603,0.131332,1.123786,0.545111,0.578676,0.142707,0.626295,0.545126
15,1.086558,0.548961,0.537597,0.134907,1.103867,0.545143,0.558725,0.146454,0.626105,0.544904
16,1.065895,0.546684,0.519211,0.138244,1.083675,0.544281,0.539394,0.150776,0.625712,0.544439
17,1.048651,0.547240,0.501412,0.142121,1.065560,0.544835,0.520725,0.155823,0.626427,0.544722
18,1.031136,0.546811,0.484325,0.146154,1.046410,0.543923,0.502487,0.160143,0.625217,0.543960
19,1.014280,0.546527,0.467754,0.150175,1.029412,0.543358,0.486054,0.165110,0.623926,0.543346
20,0.998074,0.546843,0.451231,0.154282,1.013000,0.542965,0.470035,0.167274,0.623182,0.543014
21,0.982783,0.547192,0.435591,0.157502,0.997174,0.542945,0.454229,0.171312,0.624177,0.543131
22,0.967347,0.546483,0.420865,0.160814,0.982053,0.542671,0.439382,0.175535,0.623105,0.542543
23,0.952280,0.545345,0.406935,0.164431,0.966910,0.542606,0.424304,0.179451,0.623463,0.542707
24,0.939025,0.545618,0.393407,0.167916,0.954330,0.542829,0.411501,0.182672,0.623650,0.542688
25,0.926334,0.544819,0.381515,0.170292,0.942283,0.543626,0.398656,0.186541,0.625872,0.543348
0,1.497232,0.572075,0.925157,0.062220,1.522028,0.563840,0.958189,0.074920,0.653023,0.563801
1,1.454598,0.563982,0.890616,0.066963,1.475355,0.557120,0.918235,0.074801,0.642906,0.557101
2,1.412138,0.558991,0.853147,0.071876,1.434173,0.554040,0.880133,0.081969,0.638810,0.553924
3,1.375164,0.556245,0.818919,0.078662,1.398259,0.552228,0.846031,0.088577,0.636447,0.552151
4,1.342237,0.554758,0.787479,0.085548,1.363866,0.551047,0.812819,0.095931,0.634856,0.550922
5,1.312124,0.554572,0.757552,0.091646,1.332619,0.550721,0.781898,0.102989,0.635430,0.550814
6,1.283735,0.553485,0.730250,0.097637,1.303842,0.549585,0.754257,0.107879,0.633435,0.549640
7,1.256296,0.551249,0.705047,0.101954,1.275842,0.548643,0.727199,0.113025,0.631274,0.548504
8,1.232961,0.551947,0.681014,0.106503,1.253372,0.548077,0.705295,0.117217,0.631303,0.548289
9,1.210050,0.551499,0.658551,0.110935,1.231218,0.548331,0.682887,0.121710,0.631402,0.548073
10,1.187977,0.550905,0.637072,0.114978,1.207614,0.546801,0.660814,0.124986,0.628583,0.546947
11,1.165654,0.549336,0.616318,0.119482,1.186714,0.547091,0.639623,0.130757,0.629311,0.546796
12,1.145607,0.549678,0.595929,0.123234,1.163426,0.546160,0.617266,0.135645,0.628580,0.546294
13,1.125176,0.548845,0.576332,0.127354,1.144556,0.546057,0.598499,0.138724,0.628489,0.546188
14,1.105267,0.548664,0.556603,0.131332,1.123786,0.545111,0.578676,0.142707,0.626295,0.545126
15,1.086558,0.548961,0.537597,0.134907,1.103867,0.545143,0.558725,0.146454,0.626105,0.544904
16,1.065895,0.546684,0.519211,0.138244,1.083675,0.544281,0.539394,0.150776,0.625712,0.544439
17,1.048651,0.547240,0.501412,0.142121,1.065560,0.544835,0.520725,0.155823,0.626427,0.544722
18,1.031136,0.546811,0.484325,0.146154,1.046410,0.543923,0.502487,0.160143,0.625217,0.543960
19,1.014280,0.546527,0.467754,0.150175,1.029412,0.543358,0.486054,0.165110,0.623926,0.543346
20,0.998074,0.546843,0.451231,0.154282,1.013000,0.542965,0.470035,0.167274,0.623182,0.543014
21,0.982783,0.547192,0.435591,0.157502,0.997174,0.542945,0.454229,0.171312,0.624177,0.543131
22,0.967347,0.546483,0.420865,0.160814,0.982053,0.542671,0.439382,0.175535,0.623105,0.542543
23,0.952280,0.545345,0.406935,0.164431,0.966910,0.542606,0.424304,0.179451,0.623463,0.542707
24,0.939025,0.545618,0.393407,0.167916,0.954330,0.542829,0.411501,0.182672,0.623650,0.542688
25,0.926334,0.544819,0.381515,0.170292,0.942283,0.543626,0.398656,0.186541,0.625872,0.543348
