epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.489463,0.489463,1.000000,0.427142,0.427142,0.000000,0.000000,0.394381,0.427092
1,0.475831,0.475831,1.000000,0.419825,0.419825,0.000000,0.000000,0.386314,0.419991
2,0.469930,0.469930,1.000000,0.416509,0.416509,0.000000,0.000000,0.382708,0.416565
3,0.467107,0.467107,1.000000,0.414484,0.414484,0.000000,0.000000,0.380720,0.414816
4,0.465457,0.465457,1.000000,0.413272,0.413272,0.000000,0.000000,0.379711,0.413634
5,0.463784,0.463784,1.000000,0.412556,0.412556,0.000000,0.000000,0.378580,0.412659
6,0.462065,0.462065,1.000000,0.411756,0.411756,0.000000,0.000000,0.377594,0.411799
7,0.461225,0.461225,1.000000,0.411509,0.411509,0.000000,0.000000,0.377772,0.411498
8,0.460135,0.460135,1.000000,0.411251,0.411251,0.000000,0.000000,0.377597,0.411236
9,0.459309,0.459309,1.000000,0.410609,0.410609,0.000000,0.000000,0.376729,0.410456
10,0.459226,0.459226,1.000000,0.410024,0.410024,0.000000,0.000000,0.376195,0.409935
11,0.458180,0.458180,1.000000,0.409302,0.409302,0.000000,0.000000,0.375372,0.409312
12,0.458160,0.458160,1.000000,0.409554,0.409554,0.000000,0.000000,0.376013,0.409459
13,0.457421,0.457421,1.000000,0.408403,0.408403,0.000000,0.000000,0.374850,0.408725
14,0.455881,0.455881,1.000000,0.408493,0.408493,0.000000,0.000000,0.374321,0.408395
15,0.455276,0.455276,1.000000,0.407861,0.407861,0.000000,0.000000,0.374553,0.408022
16,0.455255,0.455255,1.000000,0.407696,0.407696,0.000000,0.000000,0.374137,0.407839
17,0.454810,0.454810,1.000000,0.407754,0.407754,0.000000,0.000000,0.374294,0.407766
18,0.454119,0.454119,1.000000,0.408280,0.408280,0.000000,0.000000,0.374990,0.407923
