epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.569575,0.569575,1.000000,0.557195,0.557195,0.000000,0.000000,0.642853,0.557162
1,0.557025,0.557025,1.000000,0.549602,0.549602,0.000000,0.000000,0.631993,0.549587
2,0.551944,0.551944,1.000000,0.546871,0.546871,0.000000,0.000000,0.628325,0.546760
3,0.549468,0.549468,1.000000,0.544101,0.544101,0.000000,0.000000,0.623371,0.544009
4,0.548238,0.548238,1.000000,0.543392,0.543392,0.000000,0.000000,0.622701,0.543271
5,0.547963,0.547963,1.000000,0.544323,0.544323,0.000000,0.000000,0.625910,0.544418
6,0.546899,0.546899,1.000000,0.543148,0.543148,0.000000,0.000000,0.623768,0.543196
7,0.544454,0.544454,1.000000,0.542725,0.542725,0.000000,0.000000,0.622853,0.542594
8,0.544964,0.544964,1.000000,0.542228,0.542228,0.000000,0.000000,0.623673,0.542452
9,0.544340,0.544340,1.000000,0.543782,0.543782,0.000000,0.000000,0.626592,0.543525
10,0.543855,0.543855,1.000000,0.541488,0.541488,0.000000,0.000000,0.622653,0.541641
11,0.542093,0.542093,1.000000,0.541893,0.541893,0.000000,0.000000,0.623543,0.541595
12,0.542408,0.542408,1.000000,0.542306,0.542306,0.000000,0.000000,0.626170,0.542454
