epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.443473,0.443473,1.000000,0.550901,0.550901,0.000000,0.000000,0.699785,0.551140
1,0.425937,0.425937,1.000000,0.544610,0.544610,0.000000,0.000000,0.684030,0.544622
2,0.419350,0.419350,1.000000,0.541589,0.541589,0.000000,0.000000,0.678854,0.541924
3,0.415633,0.415633,1.000000,0.540588,0.540588,0.000000,0.000000,0.673444,0.540545
4,0.413066,0.413066,1.000000,0.540179,0.540179,0.000000,0.000000,0.673626,0.540332
5,0.411372,0.411372,1.000000,0.540919,0.540919,0.000000,0.000000,0.671539,0.541179
6,0.410431,0.410431,1.000000,0.537913,0.537913,0.000000,0.000000,0.669972,0.538151
7,0.409643,0.409643,1.000000,0.538331,0.538331,0.000000,0.000000,0.668592,0.538654
8,0.408781,0.408781,1.000000,0.537894,0.537894,0.000000,0.000000,0.667427,0.537927
9,0.408289,0.408289,1.000000,0.539239,0.539239,0.000000,0.000000,0.668051,0.539580
10,0.405582,0.405582,1.000000,0.537460,0.537460,0.000000,0.000000,0.665420,0.537319
11,0.405220,0.405220,1.000000,0.537432,0.537432,0.000000,0.000000,0.666104,0.537652
12,0.405148,0.405148,1.000000,0.538482,0.538482,0.000000,0.000000,0.667052,0.538321
13,0.405153,0.405153,1.000000,0.537401,0.537401,0.000000,0.000000,0.666443,0.537617
14,0.405052,0.405052,1.000000,0.537778,0.537778,0.000000,0.000000,0.665849,0.538098
15,0.404966,0.404966,1.000000,0.537092,0.537092,0.000000,0.000000,0.664602,0.537040
16,0.404958,0.404958,1.000000,0.537328,0.537328,0.000000,0.000000,0.666030,0.537729
17,0.404922,0.404922,1.000000,0.538189,0.538189,0.000000,0.000000,0.666260,0.537957
