epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.007120,0.501317,0.505803,0.099175,0.965268,0.685968,0.279300,0.124048,1.057238,0.685960
1,0.671759,0.480716,0.191044,0.135097,0.798625,0.667974,0.130651,0.145674,1.025656,0.667776
2,0.583466,0.472692,0.110774,0.151901,0.753918,0.662282,0.091637,0.158293,1.012443,0.662440
3,0.553901,0.468299,0.085602,0.164903,0.736366,0.658457,0.077909,0.168985,1.005441,0.658834
4,0.539184,0.465474,0.073710,0.176807,0.725528,0.657860,0.067668,0.181564,1.002743,0.657812
5,0.529241,0.463550,0.065691,0.187460,0.717285,0.656358,0.060927,0.192972,1.001011,0.656509
6,0.521986,0.462004,0.059981,0.197215,0.712363,0.656715,0.055648,0.199114,0.998904,0.656667
7,0.516440,0.460850,0.055590,0.205553,0.706044,0.654649,0.051395,0.207047,0.997571,0.655247
8,0.511966,0.459771,0.052195,0.211232,0.702438,0.653991,0.048447,0.213287,0.993217,0.654271
9,0.508659,0.458997,0.049662,0.215803,0.701303,0.654756,0.046547,0.217512,0.995323,0.654769
10,0.505928,0.458249,0.047679,0.219645,0.700143,0.655418,0.044725,0.219445,0.995447,0.655382
